ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10220401,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220402,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10220403,hide,hide,hide,hide,hide,下午两点。休息室里的光线是灰白色的，从结着霜的窗户透进来。日向夏实坐在沙发上，腿蜷起来，膝上放着一个旧饼干盒。铁皮的，盖子上印着圣诞节的图案——圣诞老人，雪橇，麋鹿。盒子边缘掉漆了，露出下面银灰色的铁皮。她打开盖子的时候，里面有一股旧纸张的味道。很干燥。像图书馆的角落。,RestRoom,Silent_Night,,,
10220404,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10220405,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Silent_Night,,,微笑
10220406,hide,hide,hide,hide,hide,经理——来看。这是我的黑历史。,RestRoom,Silent_Night,,,
10220407,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10220408,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10220409,hide,hide,hide,hide,hide,"她说的""黑历史""，语气是那种很熟练的自嘲。像是把同一个笑话讲了很多遍，每一遍都在同样的地方停顿，等着听的人也笑。她从盒子里拿出一叠照片。最上面那张——七个女孩子穿着亮闪闪的演出服，站在一个很小的舞台上。背景是廉价的反光纸，已经皱巴巴的。她们的动作很齐。笑容也很齐。",RestRoom,Silent_Night,,,
10220410,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10220411,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10220412,hide,hide,hide,hide,hide,Solar Flare。十六岁出道。平均年龄十五点三岁。我是最老的——十六岁半。,RestRoom,Unreal_Memory,,,
10220413,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220414,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220415,hide,hide,hide,hide,hide,"她把照片翻过来。背面用圆珠笔写了日期和地点。字迹很幼稚，像是小学生写的。""涉谷·Take Off 7""。下面还有一行小字——""加油！目标是武道馆！""——后面的感叹号画了三个。她把另一张照片抽出来。是她自己的单人照。穿着蓬蓬裙，头发染成了很亮的橙色，手里举着一个麦克风。她在笑。眼睛弯弯的，嘴角的弧度很大。不是假笑。至少——那时候不是。",RestRoom,Unreal_Memory,,,
10220416,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220417,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,指着照片
10220418,hide,hide,hide,hide,hide,你看——这个时候我还会用真睫毛。,RestRoom,Unreal_Memory,,,
10220419,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220420,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220421,hide,hide,hide,hide,hide,"她说这句话的时候，手指从照片上轻轻滑过去。滑得很慢。像是在摸一个已经不在的皮肤。她把照片翻过去。背面写着一句话——""夏实。不要忘记今天的感觉。""——字迹和前面不同。更成熟。更用力。是她自己写的。不是在同一天写的。是后来补的。",RestRoom,Unreal_Memory,,,
10220422,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220423,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220424,hide,hide,hide,hide,hide,……那时候不假笑。,RestRoom,Unreal_Memory,,,
10220425,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220426,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,笑容停了一瞬
10220427,hide,hide,hide,hide,hide,对。那时候不用。因为台下只有二十个人。二十个都是来看你的。不是来看你笑的——是来看你的。,RestRoom,Unreal_Memory,,,
10220428,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220429,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220430,hide,hide,hide,hide,hide,她把照片放回盒子里。动作很轻，但放下去的时候铁皮盒底响了一声。很空。盒子里的照片不多。一个十七岁的地下偶像，整个青春期的记忆，就装了半个铁皮盒。,RestRoom,Unreal_Memory,,,
10220431,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220432,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10220433,hide,hide,hide,hide,hide,"后来——有一天台下坐了三百个人。但没有人是来看我的。是来看""我们""的。""我们""是谁——我不知道。我只知道——我笑的时候，开始数台下有多少人在看我，有多少人在看别人。",Rooftop,Unreal_Memory,,,
10220434,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220435,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220436,hide,hide,hide,hide,hide,……数清了么。,Rooftop,Unreal_Memory,,,
10220437,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220438,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,摇头
10220439,hide,hide,hide,hide,hide,数不清。数着数着——就不知道自己在笑了。,Rooftop,Unreal_Memory,,,
10220440,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220441,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220442,hide,hide,hide,hide,hide,她把盒子盖回去。圣诞老人的脸被压扁了一点。她把盒子放进柜子深处，用一件旧外套盖住。然后转过身来，脸上又是那个标准的、弯弯的、不会出错的微笑。,Rooftop,Unreal_Memory,,,
10220443,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220444,黄鹂姬·日向夏实,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220445,hide,hide,hide,hide,hide,好了——黑历史回顾结束。不要告诉别人哦，经理。,Rooftop,Unreal_Memory,,,
10220446,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220447,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220448,hide,hide,hide,hide,hide,……不会。,Rooftop,Unreal_Memory,,,
10220449,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220450,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220451,hide,hide,hide,hide,hide,"她说""不要告诉别人""的时候，笑得很真。和照片上那个十六岁的女孩一样。但我分不清——这个""真""，是真的，还是""笑得很真""只是她所有假笑里最熟练的一种。",Rooftop,Unreal_Memory,,,
10220452,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
