ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10430601,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430602,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430603,hide,hide,hide,hide,hide,宴会厅里的桌椅已经全部摆好了。十二张圆桌。每张十二个座位。一共一百四十四个位置。桌布是白色的，椅子套了深蓝色的椅套。每个座位前面都放了一张名牌——手写的，用很小的毛笔字写的人名。墨迹已经干了，在灯光下泛着一层暗光。,Club_lobby,Silent_Night,,,
10430604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430606,hide,hide,hide,hide,hide,雪代带着育子走进宴会厅。育子手里拿着一个文件夹，里面夹着座位表。她跟在雪代后面，步子很小，但跟得很紧。雪代走到哪里，她就跟到哪里。雪代停下来，她就停下来。像一个很认真的学徒。,Club_lobby,Silent_Night,,,
10430607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430609,hide,hide,hide,hide,hide,空气里有新桌布的味道。布料刚从包装里拆出来，有一种很淡的工业浆粉味。混合着地板蜡的松香。还有更淡的——大概是窗外的庭院里有人在烧落叶，烟味从窗户缝里挤进来，很薄，但很固执。,Club_lobby,Silent_Night,,,
10430610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430611,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430612,hide,hide,hide,hide,hide,育子。丽莎走之后，会计位空出来了。,Club_lobby,Silent_Night,,,
10430613,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430614,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430615,hide,hide,hide,hide,hide,育子把文件夹打开。会计位——第12桌。位置在最靠近侧门的那一桌。不是主桌。不是前排。是后排。但后排有后排的好处。,Club_lobby,Silent_Night,,,
10430616,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430617,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430618,hide,hide,hide,hide,hide,那天晚上你坐第12桌。负责记录。每一笔交易、每一个名字、每一张名片——都记下来。,Club_lobby,Silent_Night,,,
10430619,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430620,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430621,hide,hide,hide,hide,hide,育子低头看座位表。第12桌在宴会厅的西北角。旁边就是侧门。侧门通向楼梯。楼梯通向大门口。从第12桌走到侧门——三步。从侧门走到楼梯——五步。从楼梯走到大门口——十二步。总共二十步。二十步之内，她就能离开宴会厅。,Club_lobby,Silent_Night,,,
10430622,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430623,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430624,hide,hide,hide,hide,hide,……这里。离门很近。,Club_lobby,Silent_Night,,,
10430625,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430626,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430627,hide,hide,hide,hide,hide,雪代没有看她。她继续往前走。走到第12桌旁边。用手指在桌布上划了一下。白色桌布上出现了一条很细的折痕。,Club_lobby,Silent_Night,,,
10430628,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430629,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430630,hide,hide,hide,hide,hide,会计位离门近——是为了方便进出。你要去厨房核对单据。要去前台核对预定。要去衣帽间核对名单。会计位的人不需要坐着。你可以随时站起来。随时走。,Club_lobby,Silent_Night,,,
10430631,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430632,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430633,hide,hide,hide,hide,hide,她转过来。看着育子。育子今天穿了那件深色的毛衣。袖口的起球已经修剪过了——大概是用小剪刀一颗一颗剪的。她站在那里，文件夹抱在胸前。像抱着一块盾牌。,Club_lobby,Silent_Night,,,
10430634,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430635,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430636,hide,hide,hide,hide,hide,育子。你妈妈收到你的信了吗。,Club_lobby,Silent_Night,,,
10430637,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430638,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430639,hide,hide,hide,hide,hide,育子愣了一下。不是因为问题难——是因为太突然。她低下头。看着自己的鞋尖。鞋是黑色的圆头皮鞋。鞋头有一点磨损。,Club_lobby,Silent_Night,,,
10430640,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430641,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430642,hide,hide,hide,hide,hide,……收到了。她回信了。说——「长大了。」,Club_lobby,Silent_Night,,,
10430643,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430644,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430645,hide,hide,hide,hide,hide,雪代看着她低下的头。看了很久。然后她伸出手。把育子额头前的一缕头发撩到耳后。动作很轻。像在整理一件很易碎的东西。,Club_lobby,Silent_Night,,,
10430646,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430647,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430648,hide,hide,hide,hide,hide,那天晚上——不管发生什么。你记住。你的位置离门很近。,Club_lobby,Silent_Night,,,
10430649,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430650,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10430651,hide,hide,hide,hide,hide,她转身。继续往前走。和服的下摆拖在地板上，发出很轻的沙沙声。育子站在原地。手里抱着文件夹。她看着雪代的背影。看了很久。然后她把文件夹打开。翻到座位表那一页。在「第12桌·会计位」旁边，用铅笔写了两个字。字很小。但很用力。,Club_lobby,Silent_Night,,,
10430652,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
