ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10590501,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590502,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590503,hide,hide,hide,hide,hide,傍晚六点。紫坐在院子角落。就是育子放鸟窝的那棵矮树旁边。她坐在草地上。背靠着树干。占卜牌盒子放在膝盖上。没有打开。她只是抱着。她的银色短发在傍晚的光里看起来几乎是白色的。树上的叶子已经有些黄了——不是枯，是秋天的颜色。,DressingRoom,Mixed_Emotion,,,
10590504,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590505,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590506,hide,hide,hide,hide,hide,院子里的空气很凉。不是冷——是凉。傍晚的凉。草上有很淡的泥土味。还有那棵矮树的树皮味——很干，带一点苦。远处不知道谁在烧东西。大概是邻居在烧落叶。烟味很淡，但很确定。那种烧落叶的烟——不是刺鼻的，是香的。植物被火烧了之后那种有点甜的气味。,DressingRoom,Mixed_Emotion,,,
10590507,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590508,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590509,hide,hide,hide,hide,hide,我走到她旁边。没有坐下。只是站着。她没有抬头。但她知道我在。,DressingRoom,Mixed_Emotion,,,
10590510,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590511,神鸦姬·神乐坂紫,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590512,hide,hide,hide,hide,hide,我今天没有占卜。第一次没有用。,DressingRoom,Mixed_Emotion,,,
10590513,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590514,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590515,hide,hide,hide,hide,hide,她把牌盒抱得更紧了一点。手指在盒盖上来回摸。盒子上的吉普赛月亮已经快看不见了——只剩下一个银色的轮廓。,DressingRoom,Mixed_Emotion,,,
10590516,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590517,神鸦姬·神乐坂紫,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590518,hide,hide,hide,hide,hide,因为我不想再抽到什么东西了。昨天是「星星」——那就够了。就让「星星」是最后一次。不要再用第二次。第二次不准。不准的不要。,DressingRoom,Mixed_Emotion,,,
10590519,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590520,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10590521,hide,hide,hide,hide,hide,她抬起头看我。眼睛里没有平时的嬉皮笑脸。但也不是悲伤。是一种很奇怪的平静。像一个人把所有硬币都投进机器里了，最后剩下一枚——不投了。留着。,DressingRoom,Melancholy_Rain,,,
10590522,hide,hide,hide,hide,hide,,DressingRoom,Melancholy_Rain,,,
10590523,神鸦姬·神乐坂紫,hide,hide,hide,hide,,DressingRoom,Melancholy_Rain,,,
10590524,hide,hide,hide,hide,hide,明天。我会在大厅。有人需要抽牌的话——我可以。免费。但我不给自己抽。给自己抽太多次了。够了。,Club_lobby,Melancholy_Rain,,,
10590525,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10590526,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10590527,hide,hide,hide,hide,hide,她站起来。拍了拍裙子上的草。把牌盒塞进卫衣口袋。口袋又鼓起来了。她看了我一眼。然后往俱乐部的方向走。走了几步。停下来。没有回头。,Club_lobby,Melancholy_Rain,,,
10590528,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10590529,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10590530,hide,hide,hide,hide,hide,经理。明天晚上——如果有人开枪。你趴下。不是勇敢的时候。是活下去的时候。,Club_lobby,Melancholy_Rain,,,
10590531,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10590532,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
10590533,hide,hide,hide,hide,hide,她走了。我站在矮树旁边。育子放在树上的鸟窝还在。两个月了。风来了又走。鸟窝还在。没有鸟。但窝在。空的窝——也是一个承诺。,Club_lobby,Melancholy_Rain,,,
10590534,hide,hide,hide,hide,hide,,Club_lobby,Melancholy_Rain,,,
