ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10020001,hide,hide,hide,hide,hide,时间拉回到一周以前，那个街角的拉面店里。,Noodles_Store,,,"bgfade(Sitting,1.2)",
10020002,hide,hide,hide,hide,hide,我当时刚刚作为新人来到大阪警署报道。,Noodles_Store,,,,
10020003,hide,hide,hide,hide,hide,以为那会是自己的新上司因为新人到来的一场普通的宴请。,Noodles_Store,,,,
10020004,hide,hide,hide,hide,hide,但是，显然，命运的齿轮在那个时候就已经开始吱呀转动起来。,Noodles_Store,,,,
10020005,hide,hide,hide,hide,hide,他带我来的拉面店基本没什么顾客，也不需要预约。,Noodles_Store,,,,
10020006,hide,hide,hide,hide,hide,但是，端上来的拉面，味道出奇的好。,Noodles_Sample,,,"bgfade(Sitting,1.2)",
10020007,hide,hide,hide,hide,hide,拉面的热气扑在脸上时，带着食材的香味。,Noodles_Sample,,,,
10020008,hide,hide,hide,hide,hide,我看着那碗酱油拉面，拉面里的笋干切得极薄。,Noodles_Sample,,,,
10020009,hide,hide,hide,hide,hide,像是半透明的翅膀，三片叉烧叠成山形。,Noodles_Sample,,,,
10020010,hide,hide,hide,hide,hide,浮在上面的溏心蛋对半切开，蛋黄像凝固的落日一样的漂亮。,Noodles_Sample,,,,
10020011,hide,hide,hide,hide,hide,增田课长坐在我对面，已经吃了半碗。,Noodles_Store,,,"bgfade(Sitting,1.2)",
10020012,增田课长,hide,hide,Masuda_base,hide,怎么样？这家拉面店？跟你家乡的比。,Noodles_Store,,,,
10020013,hide,hide,hide,Masuda_base,hide,我的家乡么？我的家乡在北海道一个小渔港。,Noodles_Store,,,,
10020014,hide,hide,hide,Masuda_base,hide,在那个渔港，冬天的海是铁灰色的，风像刀子一样。,Noodles_Store,,,,
10020015,hide,hide,hide,Masuda_base,hide,那里有一个拉面店我经常去，老板是个退伍的老水手，做的味噌拉面味道浓，和眼前这碗完全不一样。,Noodles_Store,,,,
10020016,我,hide,hide,Masuda_base,hide,不一样。,Noodles_Store,,,,
10020017,增田课长,hide,hide,Masuda_base,hide,哪种更好？,Noodles_Store,,,,
10020018,我,hide,hide,Masuda_base,hide,没有更好。,Noodles_Store,,,,
10020019,hide,hide,hide,Masuda_base,hide,刚好，增田课长吃完眼前最后一口面，把碗推向前，双手合十。,Noodles_Store,,,,
10020020,增田课长,hide,hide,Masuda_base,hide,多谢款待。,Noodles_Store,,,,
10020021,hide,hide,hide,hide,hide,老板在柜台后点了点头，继续看他的报纸。店里自始至终只有我们两个客人。,Noodles_Store,,,,
10020022,增田课长,hide,hide,Masuda_base,hide,你调来关西多久了？,Noodles_Store,,,,
10020023,我,hide,hide,Masuda_base,hide,刚刚十二天。,Noodles_Store,,,,
10020024,hide,hide,hide,Masuda_base,hide,眼前这个男人就是我这个新人警察职业生涯的第一个领导。,Noodles_Store,,,,
10020025,hide,hide,hide,Masuda_base,hide,这十二天下来，他似乎对我格外关照。,Noodles_Store,,,,
10020026,hide,hide,hide,Masuda_base,hide,不过听其他的警察说，似乎他对大家都是这样。,Noodles_Store,,,,
10020027,增田课长,hide,hide,Masuda_base,hide,组里认识你的人多吗？,Noodles_Store,,,,
10020028,我,hide,hide,Masuda_base,hide,没有，各种各样的手续和培训就用掉了七八天，我现在基本认不得什么人……,Noodles_Store,,,,
10020029,hide,hide,hide,Masuda_base,hide,确实如此，而且大多数时候，增田课长都会主动招呼我去帮他做些事……,Noodles_Store,,,,
10020030,增田课长,hide,hide,Masuda_base,hide,我是说他们认识你，不是你认识他们。,Noodles_Store,,,,
10020031,hide,hide,hide,Masuda_base,hide,课长看起来很在意这种逻辑上的事情……,Noodles_Store,,,,
10020032,hide,hide,hide,Masuda_base,hide,看来以后说话要多注意了。,Noodles_Store,,,,
10020033,我,hide,hide,Masuda_base,hide,不超过十个，大多只知道名字，没打过照面。,Noodles_Store,,,,
10020034,增田课长,hide,hide,Masuda_base,hide,交通课和搜查一课呢？,Noodles_Store,,,,
10020035,我,hide,hide,Masuda_base,hide,更少。除了入职培训时的教官，基本没人记得我的脸。,Noodles_Store,,,,
10020036,hide,hide,hide,Masuda_base,hide,我们是搜查二课，据说还有很多事情要和搜查一课合作。,Noodles_Store,,,,
10020037,hide,hide,hide,Masuda_base,hide,听到这里，增田课长从背包里掏出一个牛皮纸袋，放在桌上。,Noodles_Store,,,,
10020038,hide,hide,hide,Masuda_base,hide,纸袋很旧，边缘起毛，像是被反复打开过很多次。,Noodles_Store,,,,
10020039,增田课长,hide,hide,Masuda_base,hide,有一个任务，你可以看看，你是否合适。,Noodles_Store,,,,
10020040,增田课长,hide,hide,Masuda_base,hide,他从纸袋里抽出一份文件，推到我面前。,Noodles_Store,,,,
10020041,hide,hide,hide,Masuda_base,hide,“黑羽哲也，29岁，早稻田商学部中退。父亲经营的小建材公司破产，去年三月在仓库上吊。留下债务……三千万円。”,Noodles_Store,,,,
10020042,hide,hide,hide,Masuda_base,hide,我拿起文件。伪造的毕业证书、离职证明、银行催款单、甚至还有一张牙科诊疗记录。资料一应俱全。,Noodles_Store,,,,
10020043,hide,hide,hide,Masuda_base,hide,我一时间有些懵，但似乎这是一份需要我来执行的卧底任务的材料……,Noodles_Store,,,,
10020044,hide,hide,hide,Masuda_base,hide,我不知道该从哪里问起，想了想还是开了口。,Noodles_Store,,,,
10020045,我,hide,hide,Masuda_base,hide,为什么辍学？,Noodles_Store,,,,
10020046,增田课长,hide,hide,Masuda_base,hide,父亲破产后，你试图打工还债，但杯水车薪。,Noodles_Store,,,,
10020047,增田课长,hide,hide,Masuda_base,hide,最后去了银座一家高级俱乐部当侍应，因为长得端正，三年后升到副经理。,Noodles_Store,,,,
10020048,增田课长,hide,hide,Masuda_base,hide,这个解释怎么样？,Noodles_Store,,,,
10020049,hide,hide,hide,Masuda_base,hide,我翻到最后一页，果然有一封措辞冷淡的推荐信，落款是一家银座的俱乐部。,Noodles_Store,,,,
10020050,我,hide,hide,Masuda_base,hide,所以，这是需要我做什么？,Noodles_Store,,,,
10020051,增田课长,hide,hide,Masuda_base,hide,去卧底一个高级俱乐部，俱乐部的名字叫“十二飞鸟”。,Noodles_Store,,,,
10020052,hide,hide,hide,Masuda_base,hide,课长又从纸袋里抽出几张打印纸。,Noodles_Store,,,,
10020053,hide,hide,hide,Masuda_base,hide,但是他没有递给我，而是朝着柜台后面的老板方向看过去。,Noodles_Store,,,,
10020054,hide,hide,hide,Masuda_base,hide,老板点了点头，起身走向后厨。帘子落下，厨房传来冲洗锅具的水声。,Noodles_Store,,,,
10020055,hide,hide,hide,Masuda_base,hide,等水声响起，增田课长才把纸张递给我。,Noodles_Store,,,,
10020056,增田课长,hide,hide,Masuda_base,hide,所以得增补一些资料。,Noodles_Store,,,,
10020057,hide,hide,hide,Masuda_base,hide,纸上是伪造的LINE聊天记录，虚构的“黑羽哲也”和“女友”的对话。,Noodles_Store,,,,
