ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10440501,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440502,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440503,hide,hide,hide,hide,hide,从大阪到奈良的火车开了两个小时。沿途的风景从城市变成了乡村——高楼变成了矮房，柏油路变成了碎石路，然后变成了田埂。傍晚的阳光是橙色的，照在稻田上，把整片田染成了金色。火车到站的时候，空气里有一股很浓的稻草燃烧的味道。远处有人在烧田埂上的枯草。,RestRoom,Unreal_Memory,,,
10440504,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440505,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440506,hide,hide,hide,hide,hide,景子从车站出来。她穿了一件灰色的风衣。风衣很旧了，袖口有一点磨损。她没有带包。口袋里只有手机、钱包、和那颗纽扣。她站在车站出口，看了一眼站牌——「奈良站」。然后她沿着路往学校走。走了大概十五分钟。,RestRoom,Unreal_Memory,,,
10440507,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440508,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440509,hide,hide,hide,hide,hide,学校的围墙是红砖的。不高。但很整齐。围墙上爬了一些藤蔓，藤蔓在秋天已经变红了。校门是铁制的，黑色的，上面挂了一个校徽——一本打开的书和一只展翅的鸟。校门关着。旁边有一个警卫室。警卫室的窗户亮着灯。里面坐着一个穿制服的老人。老人在看报纸。没有抬头。,RestRoom,Unreal_Memory,,,
10440510,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440511,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440512,hide,hide,hide,hide,hide,景子没有进校门。她站在校门对面的街边。站在那里。没有动。没有看表。没有拿手机。她只是站在那里。看着校门。看着围墙上那些变红的藤蔓。看着操场上那根旗杆——旗已经降了，只有一根空杆子立在暮色里。,RestRoom,Unreal_Memory,,,
10440513,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440514,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440515,hide,hide,hide,hide,hide,空气里有操场跑道上的橡胶味。混合着稻草燃烧的烟味。还有更近的——大概是路边的桂花开了，甜得有些过分。景子深深吸了一口气。桂花的甜味充满她的肺。她呼出来的时候，呼出的是大阪的空气。十二飞鸟的空气。帝国酒店1802号房的空气——虽然她没去过那里，但她知道那里会是什么味道。消毒水。雪茄。旧地毯。,RestRoom,Unreal_Memory,,,
10440516,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440517,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440518,hide,hide,hide,hide,hide,她站在奈良的校门口。站了半个小时。,RestRoom,Unreal_Memory,,,
10440519,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440520,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440521,hide,hide,hide,hide,hide,警卫室里的老人中途抬头看了她一眼。大概是在奇怪——这个女人为什么一直站在那里。但她没有要进来的意思。也没有要走的意思。老人低头继续看报纸。景子继续站在那里。太阳沉到了围墙下面。藤蔓的红色从亮红变成了暗红。路灯亮了。灯光把她一个人的影子投在人行道上。,RestRoom,Unreal_Memory,,,
10440522,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440523,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440524,hide,hide,hide,hide,hide,她看着校门口的值班表。上面写着——「寄宿学生。周末在校。外来人员需登记。」她把那行字看了好几遍。每一个字都确认过了。然后她把手伸进口袋。摸到那颗纽扣。纽扣已经被体温焐得很暖了。她用拇指摸着纽扣上的燕子。燕子的翅膀。燕子的头。燕子的尾。,RestRoom,Unreal_Memory,,,
10440525,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440526,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440527,hide,hide,hide,hide,hide,妈妈在努力。,RestRoom,Unreal_Memory,,,
10440528,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440529,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10440530,hide,hide,hide,hide,hide,她说完这句话。转身。沿着原路走回车站。火车是七点十五分的。她还有时间在车站买一杯热咖啡。她买了。咖啡很烫。纸杯外面套了一层瓦楞纸。她把杯子捧在手里。看着热气升起来。火车的汽笛从远处传来。由远及近。像一声很长的回答。,Cafe,Unreal_Memory,,,
10440531,hide,hide,hide,hide,hide,,Cafe,Unreal_Memory,,,
