ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570601,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10570602,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10570603,hide,hide,hide,hide,hide,深夜十一点。茶室的门开着。里面只有一根蜡烛。白色的。烧了一半。烛泪在铜盘上凝成不规则的形状。雪代坐在榻榻米上。穿着浴衣——不是和服。白色的浴衣。头发放下来了。没有戴白色羽毛发饰。她面前放着两个茶碗。空的。没有茶。两个空碗。,Club_lobby,Silent_Night,,,
10570604,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570605,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570606,hide,hide,hide,hide,hide,空气里的白檀和冷杉味道很淡。大概是蜡烛快烧完了——蜡油的味道盖过了香。蜡油的味道是暖的。带一点烟。还有榻榻米的蔺草味。旧的。干草的。被很多人坐过的。,Club_lobby,Silent_Night,,,
10570607,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570608,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570609,hide,hide,hide,hide,hide,她看着我坐下。然后把一个空茶碗推到我面前。空的。没有茶。,Club_lobby,Silent_Night,,,
10570610,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570611,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570612,hide,hide,hide,hide,hide,明天。我会做选择。不是为你。不是为俱乐部。是为我自己。三年前——雪鹤姐做选择的时候。我在门外。明天——我会在门里。,Club_door,Silent_Night,,,
10570613,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570614,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570615,hide,hide,hide,hide,hide,她停了一下。手指在空茶碗的碗沿上走了一圈。空的碗——手指碰上去的声音比有茶的时候更脆。更响。,Club_door,Silent_Night,,,
10570616,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570617,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570618,hide,hide,hide,hide,hide,但我不知道我会选什么。我对自己说了三年——选自己。选活下去。选权力。不要选别人。别人会死。别人会走。别人会背叛。只有权力不会。只有椅子不会。,Club_door,Silent_Night,,,
10570619,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570620,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570621,hide,hide,hide,hide,hide,她抬起头。看着我。烛光在她眼睛里变成一个小小的亮点。那个亮点在晃——不是蜡烛在晃，是她的眼睛在晃。不是泪——是光。光在水面上晃。,Club_door,Silent_Night,,,
10570622,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570623,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570624,hide,hide,hide,hide,hide,但这三年——你来了。你什么都没做。只是在这里。每天。在角落里。手插在口袋里。口袋里有一把钥匙。你不说话。但你在。你在——就是一个问题。一个我回答了三年都回答不了的问题——「我可以选别人吗」。,Club_door,Silent_Night,,,
10570625,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570626,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570627,hide,hide,hide,hide,hide,她停了一下。把空茶碗拿起来。对着蜡烛。碗底在烛光里是白色的。什么都没有。她把碗放下。,Club_door,Silent_Night,,,
10570628,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570629,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570630,hide,hide,hide,hide,hide,明天。如果我选错了——不要原谅我。不要理解我。不要替我找理由。错就是错。我桂原雪代——选错过一次。三年前。在门外。明天——可能还会选错。在门里。如果选错了——你恨我。不要原谅。,Club_door,Silent_Night,,,
10570631,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570632,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570633,hide,hide,hide,hide,hide,她站起来。走到门口。没有回头。浴衣的下摆擦过榻榻米。然后她停了一下。,Club_door,Silent_Night,,,
10570634,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570635,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570636,hide,hide,hide,hide,hide,但如果——我选对了。,Club_door,Silent_Night,,,
10570637,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570638,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10570639,hide,hide,hide,hide,hide,她没有说完。走了。走廊里的应急灯绿光涌进来。蜡烛晃了一下。然后稳住。茶室里只剩下两个空茶碗。和半根白蜡烛。和我。,Corridor,Silent_Night,,,
10570640,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
