ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600603,hide,hide,hide,hide,hide,雪代站起来的那一刻，宴会厅里的空气被抽走了。不是比喻——是真的。所有人的呼吸都停了。她今天穿了和服。白色的。袖口绣了银线。头发盘起来了。戴了那支白色羽毛发饰。她的站姿和第一天我看到她时一模一样。但她站起来的时候，村上的脸色变了。不是愤怒——是某种比愤怒更深的恐惧。一个人被另一个人看了很久之后突然发现——看的人不是在欣赏。是在测量。,Corridor,Coming_Dangerous,,,
10600604,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600605,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600606,hide,hide,hide,hide,hide,"雪代的手从袖子里伸出来。她拿起那盘录音带。翻过来。看着标签上的字。看了一会儿。然后她抬起头。看着村上。她的眼睛——不是平时那种""看虫子一样的眼神""。是另一种。更冷的。更像冬天的窗台上的霜。但更亮。",Corridor,Coming_Dangerous,,,
10600607,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600608,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600609,hide,hide,hide,hide,hide,这盘磁带——你告诉我销毁了。,Corridor,Coming_Dangerous,,,
10600610,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600611,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600612,hide,hide,hide,hide,hide,她说这句话的时候，声音和平时一样平稳。但宴会厅里的温度像是突然降了几度。村上的嘴张开了。然后又合上。他的手下开始往他身边聚拢。但他们的动作很慢——不是因为忠诚。是因为肌肉松弛剂开始生效了。,Corridor,Coming_Dangerous,,,
10600613,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600614,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600615,hide,hide,hide,hide,hide,宴会厅里弥漫着香槟和恐惧的混合气味。恐惧没有味道。但汗水有。几个人的额头上开始冒汗。那种咸的、微微发酸的气味，和古龙水混在一起。村上的手指在桌沿上抓着。指节发白。,Corridor,Coming_Dangerous,,,
10600616,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600617,村上道也,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600618,hide,hide,hide,hide,hide,你在说什么——,Corridor,Coming_Dangerous,,,
10600619,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600620,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600621,hide,hide,hide,hide,hide,雪鹤姬。如月冬雪。你让我处理掉这盘磁带。我处理了。我把它交给了该交的人。,Corridor,Coming_Dangerous,,,
10600622,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600623,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600624,hide,hide,hide,hide,hide,村上的眼睛睁大了。他看着雪代。然后又看着那盘录音带。然后又看着雪代。他的嘴唇在动，但没有声音。雪代把录音带放在桌上。然后她看着村上。看了很久。不是看一个敌人。是看一个已经完了的人。,Corridor,Coming_Dangerous,,,
10600625,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600626,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10600627,hide,hide,hide,hide,hide,二十一年。你以为我会一直当你的棋子。你错了。我不是你的棋子。我是那个把你将死的人。,Corridor,Coming_Dangerous,,,
10600628,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
