ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10290501,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290502,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10290503,hide,hide,hide,hide,hide,傍晚六点。化妆间里只有春奈一个人。她站在全身镜前面，穿着和雪代平时穿的那件深灰色便装——款式不是一样，是接近。头发散在肩上，走了一步——左脚先迈，右手自然垂，下巴微抬。是雪代的步态。,DressingRoom,Silent_Night,,,
10290504,hide,hide,hide,hide,hide,空气里有粉底和定型喷雾的味道，还有春奈自己用的香水——橘子味，甜的。和她身上这套装扮不搭。,DressingRoom,Silent_Night,,,
10290505,hide,hide,hide,hide,hide,门突然开了。紫站在门口，手里拿着一个茶杯。看见春奈的瞬间停住了。,DressingRoom,Silent_Night,,,
10290506,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290507,神鸦姬·神乐坂紫,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290508,hide,hide,hide,hide,hide,你干嘛学她。,DressingRoom,Silent_Night,,,
10290509,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290510,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290511,hide,hide,hide,hide,hide,春奈回头。脸转过来的时候——妆还是春奈的妆，但眼神在那一秒里不是春奈的。像戴了一张还没做好的面具。,DressingRoom,Silent_Night,,,
10290512,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290513,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290514,hide,hide,hide,hide,hide,没学。只是试一下衣服。,DressingRoom,Silent_Night,,,
10290515,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290516,神鸦姬·神乐坂紫,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290517,hide,hide,hide,hide,hide,你连走路都学。,DressingRoom,Silent_Night,,,
10290518,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290519,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290520,hide,hide,hide,hide,hide,紫把茶杯放在旁边的桌上。走到春奈面前，很近——紫不是高个子，但气势从来不靠身高。她看着春奈的眼睛。春奈没躲。,DressingRoom,Silent_Night,,,
10290521,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290522,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290523,hide,hide,hide,hide,hide,我是模仿师。这是我的工作。你又不是第一天认识我。,DressingRoom,Silent_Night,,,
10290524,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290525,神鸦姬·神乐坂紫,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290526,hide,hide,hide,hide,hide,工作是在台上。不是在镜子前面一个人练别人的走路。,DressingRoom,Silent_Night,,,
10290527,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290528,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290529,hide,hide,hide,hide,hide,春奈脱掉那件灰色便装。动作很自然——但脱完之后用手指在衣领上摸了一下。很轻。像在量一件道具的尺寸。,DressingRoom,Silent_Night,,,
10290530,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290531,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290532,hide,hide,hide,hide,hide,紫姐。如果有一天我不在了——你会不会记得我的脸。,DressingRoom,Silent_Night,,,
10290533,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290534,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10290535,hide,hide,hide,hide,hide,紫没有回答。她拿起茶杯走出去了。门没关好，从门缝里能看到春奈还站在镜子前面。她在拆头发。拆完之后对着镜子看。看了很久。,DressingRoom,Silent_Night,,,
10290536,hide,hide,hide,hide,hide,然后她从化妆包最底层拿出一只小盒子。盒子里是一片狐狸形状的发饰——不是饰品，是道具用的那种，纸做的，涂了金粉。她把它别在头发上。看了一眼。取下来。放回盒子里。,DressingRoom,Silent_Night,,,
10290537,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
