ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10520601,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520602,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520603,hide,hide,hide,hide,hide,景子站起来。她把枪零件重新排列。弹匣。枪管。复进簧。枪机。每一个零件都放回原位。然后用布包起来。布是深蓝色的，上面印着白色的小花——大概是小澪小时候用过的襁褓布。布包得很紧。系了一个死结。她把布包放进铁架子下面的一个铁盒子里。铁盒子是旧的，上面印着「饼干」两个字。盒盖合上的时候，铁皮的摩擦声很刺耳。,Hospital,Melancholy_Rain,,,
10520604,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520605,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520606,hide,hide,hide,hide,hide,然后她拿起那颗纽扣。放在手心里看了很久。白色的纽扣。塑料的。边上有一点磨损——大概是洗衣服的时候在洗衣机里磕的。她把它举到灯光下。透过纽扣看灯管。灯光在纽扣的孔里变成四个很小的光点。,Hospital,Melancholy_Rain,,,
10520607,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520608,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520609,hide,hide,hide,hide,hide,她转过来。把纽扣放在我手心里。她的手指碰到我的手掌。很凉。不是体温低——是血液循环不好。练换弹练了太多次，手指一直用力，血都挤出去了。纽扣是温的。被她握了太久的体温。,Hospital,Melancholy_Rain,,,
10520610,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520611,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520612,hide,hide,hide,hide,hide,帮我保管一晚。,Hospital,Melancholy_Rain,,,
10520613,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520614,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520615,hide,hide,hide,hide,hide,她把手收回去。插进口袋里。,Hospital,Melancholy_Rain,,,
10520616,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520617,巢燕姬·谷川景子,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520618,hide,hide,hide,hide,hide,明天晚上——如果你还在这里——还给我。如果我不在这里——帮我寄给小澪。地址写在铁盒子里面。,Hospital,Melancholy_Rain,,,
10520619,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520620,hide,hide,hide,hide,hide,,Hospital,Melancholy_Rain,,,
10520621,hide,hide,hide,hide,hide,她说完就走了。没有等我的回答。脚步在走廊里很快。很稳。不像刚才练习时那种机械的稳——是一个知道自己要去哪里的人的稳。她的背影在走廊尽头晃了一下。然后消失了。,Corridor,Melancholy_Rain,,,
10520622,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10520623,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10520624,hide,hide,hide,hide,hide,我低头看手心里的纽扣。白色的。很轻。轻得几乎没有重量。但它不是空的。它里面装着三样东西——一个母亲在衣帽间里反复练习的八步。一个女儿在电话里多说的三个字。还有一个明天晚上不知道会不会发生的结局。,Corridor,Melancholy_Rain,,,
10520625,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10520626,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10520627,hide,hide,hide,hide,hide,我蹲下来。打开铁盒子。把纽扣放回去——放在子弹旁边。纽扣和子弹。白色的塑料和暗金色的铜。然后盖上盒盖。铁皮的摩擦声再次响起。比刚才短。比刚才轻。,Corridor,Melancholy_Rain,,,
10520628,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10520629,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10520630,hide,hide,hide,hide,hide,衣帽间里只剩下我一个人。荧光灯嗡嗡响。墙上的海报继续模糊。空气中的枪油味和洗衣皂味混在一起。我把手插进口袋里。手指碰到了自己的翻盖机。屏幕是暗的。但我知道——明天晚上它大概会亮。很多次。,Corridor,Melancholy_Rain,,,
10520631,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
