ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10120501,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120502,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120503,hide,hide,hide,hide,hide,下午四点半。营业准备时间。神乐坂紫的占卜牌摊在茶几上，排成一个标准的凯尔特十字。她盘腿缩在沙发上，银色的短发还没弄造型，随意散在耳侧。右脸颊的星形贴纸被换了——今天的颜色是银色。,Club_away,Mixed_Emotion,,,
10120504,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120505,hide,hide,hide,hide,hide,她翻起中间那张牌。看了一眼。然后抬头看到我站在门口。,Club_away,Mixed_Emotion,,,
10120506,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120507,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120508,hide,hide,hide,hide,hide,经理，今天的第一次占卜还没用。要不要来。,Club_away,Mixed_Emotion,,,
10120509,hide,hide,hide,hide,hide,——不是昨天的倒吊人了。今天的牌不一样。,Club_away,Mixed_Emotion,,,
10120510,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120511,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120512,hide,hide,hide,hide,hide,她把刚翻起的牌面转向我。图案是一轮金色的太阳，下面站着一个裸体的小孩骑在白马上，举着一面红色的旗帜。色调明亮得不像是这副旧牌的一部分。,Club_away,Mixed_Emotion,,,
10120513,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120514,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120515,hide,hide,hide,hide,hide,……什么意思。,Club_away,Mixed_Emotion,,,
10120516,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120517,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120518,hide,hide,hide,hide,hide,"""太阳""——正位。成功、光明、真相即将大白。",Club_away,Mixed_Emotion,,,
10120519,hide,hide,hide,hide,hide,在塔罗里这是最好的一张牌。好到我怀疑这副破牌是不是在逗我。,Club_away,Mixed_Emotion,,,
10120520,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120521,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120522,hide,hide,hide,hide,hide,她把牌收回来。捏在指尖上。银色的星形贴纸在牌面的金色太阳下面显得有点暗淡。,Club_away,Mixed_Emotion,,,
10120523,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120524,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120525,hide,hide,hide,hide,hide,"——但也可能是骗我的。因为太好的牌让人放松警惕。放松警惕的人会做蠢事。我的家乡有一句老话——""好事说完，坏事就敲门。""大概是这个意思。",Club_away,Mixed_Emotion,,,
10120526,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120527,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10120528,hide,hide,hide,hide,hide,她开始洗牌。牌在她手指间像被磁铁吸附一样流畅——翻面、交叉、叠放。沙沙的声音在安静的休息室里重复。,RestRoom,Silent_Night,,,
10120529,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120530,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120531,hide,hide,hide,hide,hide,经理，上次我说有人在注意你。不是开玩笑。,RestRoom,Silent_Night,,,
10120532,hide,hide,hide,hide,hide,不是占卜说的。是我自己看到的。,RestRoom,Silent_Night,,,
10120533,hide,hide,hide,hide,hide,白鹤姐看你的眼神，和我刚来的时候她看我的眼神不一样。她不会对没必要的人用那种眼神。,RestRoom,Silent_Night,,,
10120534,hide,hide,hide,hide,hide,所以——你不是没必要的人。这就够了。,RestRoom,Silent_Night,,,
10120535,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120536,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120537,hide,hide,hide,hide,hide,她把牌收好。放回牌盒里。牌盒上那个吉普赛风的月亮图案已经掉漆掉得只剩半边。但她每次放回去的动作还是很小心的——先从牌盒里取出一块包牌用的深蓝色绒布，把整副牌用绒布包好，再慢慢推回牌盒里。像是怕刮伤牌面——哪怕牌面已经刮伤很多次了。,RestRoom,Silent_Night,,,
10120538,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10120539,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
