ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10130501,hide,hide,hide,hide,hide,,Club_Storage,Mixed_Emotion,,,
10130502,hide,hide,hide,hide,hide,,Club_Storage,Mixed_Emotion,,,
10130503,hide,hide,hide,hide,hide,"下午四点。谷川景子站在办公室门口。手里拿着手机，屏幕上是一张小澪在客厅过生日的照片——穿着简单的白色T恤，面前放着一个圆形的巧克力蛋糕。蛋糕上插着数字蜡烛：14。蜡烛旁边的桌上有一张手写卡片，上面写着""妈妈""两个字，字迹圆圆的。景子的眼眶是红的。但没哭。",Manager_Office,Mixed_Emotion,,,
10130504,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10130505,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10130506,hide,hide,hide,hide,hide,经理——今晚的预约能不能调一下。今晚有一个客人的指名是专门来找我的——但今天是她的生日。今晚是她十四岁的生日。十四岁了。我第一次陪她过生日是她四岁的时候——前面四年我都不在。因为那段我和她爸爸之间的事。我每天都在数——已经数了十年。每一个生日。如果今晚不能去，她会记得。妈妈没来我的生日。她会记得的。,Manager_Office,Mixed_Emotion,,,
10130507,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10130508,hide,hide,hide,hide,hide,她的声音从头到尾没有提高。但每句话之间的间隔越来越短。像是怕停下来就说不完了。,Manager_Office,Mixed_Emotion,,,
10130509,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10130510,hide,hide,hide,hide,hide,"我低头看了预约表。那个客人的名字下面，白鹤姬用红笔画了两条强调线——""V-VIP，不可变更""。",Manager_Office,Mixed_Emotion,,,
10130511,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10130512,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10130513,hide,hide,hide,hide,hide,……你去吧。客人那边我去处理。我把朱雀姬调过去。她上次说想多接VIP。,Manager_Office,Unreal_Memory,,,
10130514,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10130515,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10130516,hide,hide,hide,hide,hide,白鹤姐那边怎么办。,Manager_Office,Unreal_Memory,,,
10130517,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10130518,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10130519,hide,hide,hide,hide,hide,……事后再说。,Manager_Office,Unreal_Memory,,,
10130520,hide,hide,hide,hide,hide,,Manager_Office,Unreal_Memory,,,
10130521,hide,hide,hide,hide,hide,她望着我。蓝色的眼睛里有一点很近的恐惧。然后又有一点更近的感激。她在手机壳里抽出一张照片塞到我手里——小澪的生日照。背景是家里的餐桌，桌上的蛋糕和这个俱乐部的灯光完全不同。照片上过塑过，边角很锋利。,Manager_Office,Coming_Dangerous,,,
10130522,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130523,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130524,hide,hide,hide,hide,hide,替我对小澪说句生日快乐吧。你救了我的夜晚——经理。不是替她救的。是替我自己救的。有些事她不用知道。但我全部都懂。,Manager_Office,Coming_Dangerous,,,
10130525,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130526,hide,hide,hide,hide,hide,"她转身走出去。脚步很快。高跟鞋在地板上敲出一串急促的节奏——不优雅，不从容。像卸下了所有的巢燕姬的壳，只剩谷川景子，一个赶回家的母亲。我把那张过塑照片放在抽屉里。旁边的白鹤姬红笔画了线的""V-VIP""。然后合上抽屉。让它和那份铅笔请假条在一起。",Manager_Office,Coming_Dangerous,,,
10130527,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10130528,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
