ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600501,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600502,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600503,hide,hide,hide,hide,hide,七点三十分。宴会厅里的气氛开始变了。不是明显的——是某种细微的。有几个人开始看手机。有几个人开始在座位上扭动。香槟塔还剩一半。村上的笑声还很大。但已经有人开始感觉到——今晚不对。,Corridor,Silent_Night,,,
10600504,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600505,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600506,hide,hide,hide,hide,hide,第八条线在七点三十二分启动。丽莎不在俱乐部里。她在市中心的某个网咖里。面前是一台电脑。屏幕上是一个转账界面。不是普通的银行转账——是虚拟货币清算。Phoenix Coin。她设计的。她写的代码。她的手指在键盘上移动，速度不快，但每一步都准确。数字在屏幕上跳——九位数的资金。从村上的影子账户里流出，分成几百条细流，汇入十几个慈善基金。屏幕上弹出确认框。「转账99%？Y/N」。她按了Y。敲下回车。屏幕上的进度条开始走。百分之八十九。百分之九十五。百分之九十九。完成。丽莎靠在椅背上。闭上眼睛。空气里有网咖的泡面和烟味。她呼出一口气。然后打开手机。发了一条消息。只有两个字。「完成。」,Corridor,Silent_Night,,,
10600507,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600508,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600509,hide,hide,hide,hide,hide,第九条线在七点三十四分启动。星野葵站在二楼的栏杆旁边。她手里握着一个公文包——不是防水的那个。是普通的黑色公文包。她打开包。里面是录音带。不是磁带——是迷你录音带。上面贴着标签。「雪鹤姬之死·完整录音」。她把录音带拿出来。从二楼往下看了一眼。宴会厅里的吊灯正好在她正下方。她松开手。录音带从二楼落下去。在空中翻了几圈。然后落在长桌上。砸在一个酒杯旁边。酒杯倒了。香槟洒出来。金色的液体在白色桌布上洇开。,Corridor,Silent_Night,,,
10600510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600511,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600512,hide,hide,hide,hide,hide,录音带落在桌面上的声音不大。但整个宴会厅安静了。不是因为那个声音——是因为村上突然不笑了。他看着那盘录音带。标签上的字在吊灯下清晰可见。,Corridor,Silent_Night,,,
10600513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600514,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10600515,hide,hide,hide,hide,hide,然后雪代站了起来。,Corridor,Silent_Night,,,
10600516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
