ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10080301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10080302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10080303,hide,hide,hide,hide,hide,早上七点整。翻盖机没有动静。,Club_away,Mixed_Emotion,,,
10080304,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10080305,hide,hide,hide,hide,hide,"不是静音。不是没电——昨晚充了一整晚。只是没有消息。增田昨晚发了""明天见""之后，到今天早上一个字都没有追加。这不像他。他的习惯是在会面前两小时发一条确认消息。每次都是。",Club_away,Mixed_Emotion,,,
10080306,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10080307,hide,hide,hide,hide,hide,我提前半小时到了拉面店。,RamenShop,Mixed_Emotion,,,
10080308,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080309,hide,hide,hide,hide,hide,早晨的滨之灯和平时不太一样。暖帘还没挂。铁卷门只开到一半。里面没有蒸热的味噌汤的味道，也没有骨头汤翻涌的咕嘟声。,RamenShop,Mixed_Emotion,,,
10080310,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080311,hide,hide,hide,hide,hide,老板站在柜台后面，手里的抹布攥成一团。他看见我进来的时候，右手下意识地按住台面——那个动作不是迎接。是撑住自己。,RamenShop,Mixed_Emotion,,,
10080312,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080313,拉面店老板,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080314,hide,hide,hide,hide,hide,……黑羽先生。,RamenShop,Mixed_Emotion,,,
10080315,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080316,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080317,hide,hide,hide,hide,hide,他的声音比平时低了半个调。,RamenShop,Mixed_Emotion,,,
10080318,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080319,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080320,hide,hide,hide,hide,hide,增田课长还没来吗。,RamenShop,Mixed_Emotion,,,
10080321,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080322,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080323,hide,hide,hide,hide,hide,老板没有回答。他把电视打开了。,RamenShop,Mixed_Emotion,,,
10080324,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080325,hide,hide,hide,hide,hide,NHK的早间新闻。画面里是一条公路——淀川沿岸的国道。一辆银色的轿车撞在护栏上，车头扭曲成一团，挡风玻璃碎成了蛛网状。黄色的警戒线围了一大圈。救护车的红灯在灰蒙蒙的晨光里转动。画面下方滚动着一行小字。,RamenShop,Mixed_Emotion,,,
10080326,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080327,hide,hide,hide,hide,hide,"""今晨六时四十分，淀川区沿岸国道发生单车交通事故。驾驶员送医后确认死亡。""",RamenShop,Mixed_Emotion,,,
10080328,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080329,hide,hide,hide,hide,hide,上午六点四十分。正是增田从家里出发来拉面店的时间。他住的地方就在那条国道附近。,RamenShop,Mixed_Emotion,,,
10080330,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080331,hide,hide,hide,hide,hide,我盯着那辆银色轿车。车牌被打了马赛克，但车尾的凹痕位置和他车上那个旧伤完全吻合。去年秋天他倒车撞到消防栓，凹痕一直没修。,RamenShop,Mixed_Emotion,,,
10080332,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080333,拉面店老板,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080334,hide,hide,hide,hide,hide,……今早医院来了电话。,Hospital,Mixed_Emotion,,,
10080335,hide,hide,hide,hide,hide,身份还在确认……但车型和车牌都和增田的一致。,Hospital,Mixed_Emotion,,,
10080336,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080337,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080338,hide,hide,hide,hide,hide,老板给增田倒了半杯没兑水的烧酒。放在增田常坐的那个位置。然后自己把剩下的半瓶一口闷了。他手臂上那条褪色的浪花纹身在上午的光线里显得比平时更旧。,Hospital,Mixed_Emotion,,,
10080339,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080340,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080341,hide,hide,hide,hide,hide,……什么时候的事。,Hospital,Mixed_Emotion,,,
10080342,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080343,拉面店老板,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080344,hide,hide,hide,hide,hide,六点四十。国道。单车事故。,Hospital,Mixed_Emotion,,,
10080345,hide,hide,hide,hide,hide,——早该去做车检的。那辆车，从去年起刹车就有问题了。,Hospital,Mixed_Emotion,,,
10080346,hide,hide,hide,hide,hide,他说增田那辆车，去年起刹车就有问题。,Hospital,Mixed_Emotion,,,
10080347,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080348,hide,hide,hide,hide,hide,,Hospital,Mixed_Emotion,,,
10080349,hide,hide,hide,hide,hide,刹车有问题。去年就有。昨天还在开。今天开往拉面店的路上撞在国道护栏上。,RamenShop,Mixed_Emotion,,,
10080350,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080351,hide,hide,hide,hide,hide,我拿起增田面前那杯没兑水的烧酒。酒是常温的。在上午的晨光里没有一点温度的样子。烧酒的气味里有一丝不对——很淡。像机油。不是厨房炸东西的油。是刹车的。,RamenShop,Mixed_Emotion,,,
10080352,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080353,hide,hide,hide,hide,hide,"翻盖机亮了。不是增田。是一条自动推送的新闻——""国道事故死者身份确认中""。我把翻盖机合上。然后又翻开。",RamenShop,Mixed_Emotion,,,
10080354,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080355,hide,hide,hide,hide,hide,增田发来的最后一条消息还留在收件箱里。,RamenShop,Mixed_Emotion,,,
10080356,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10080357,hide,hide,hide,hide,hide,"""明天之前必须见面。老地方。重要情报。""",RamenShop,Mystery_Box,,,
10080358,hide,hide,hide,hide,hide,,RamenShop,Mystery_Box,,,
10080359,hide,hide,hide,hide,hide,我已读。他没有回复。,RamenShop,Mystery_Box,,,
10080360,hide,hide,hide,hide,hide,,RamenShop,Mystery_Box,,,
10080361,hide,hide,hide,hide,hide,☆☆☆ BE03「被拔除的钉子」触发判定 ☆☆☆,RamenShop,Mystery_Box,,,
10080362,hide,hide,hide,hide,hide,,RamenShop,Mystery_Box,,,
10080363,hide,hide,hide,hide,hide,[若主角在 Day 1~6 中曾暴露警察特征，BE03 于此刻触发],RamenShop,Unreal_Memory,,,
10080364,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
10080365,hide,hide,hide,hide,hide,,RamenShop,Unreal_Memory,,,
