ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10070301,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10070302,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10070303,hide,hide,hide,hide,hide,早上六点五十分。翻盖机震醒了整张榻榻米。,Corridor,Mixed_Emotion,,,
10070304,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10070305,hide,hide,hide,hide,hide,不是日常联络的那种短震。连震三次——紧急模式。翻开机盖，蓝光刺眼。消息只有两行。,Corridor,Mixed_Emotion,,,
10070306,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10070307,hide,hide,hide,hide,hide,"""明天之前必须见面。老地方。重要情报。""",Corridor,Mystery_Box,,,
10070308,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070309,hide,hide,hide,hide,hide,我把这两行字读了三遍。每一遍都在找异常——措辞是否反常在、敬语是否正确在、句末是否多了一个不该有的标点。都没有。增田的文字和他本人一样，精瘦、干净、没有任何多余的部分。,Corridor,Mystery_Box,,,
10070310,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070311,hide,hide,hide,hide,hide,"但""重要情报""这四个字，入职以来他从未用过。",Corridor,Mystery_Box,,,
10070312,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070313,hide,hide,hide,hide,hide,"我回了一句：""了解。老时间。""",Corridor,Mystery_Box,,,
10070314,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070315,hide,hide,hide,hide,hide,发送。等待。,Corridor,Mystery_Box,,,
10070316,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070317,hide,hide,hide,hide,hide,三十秒之后，屏幕右下角亮起一个绿色的对勾——已读。没有回复。这意味着他同意了。或者意味着他正在做比回复消息更重要的事。或者——别的什么。,Corridor,Mystery_Box,,,
10070318,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070319,hide,hide,hide,hide,hide,"我把翻盖机放在枕边。闭上眼睛。天花板上那块霉斑在今天的光线下显得比昨天更深。可能是真的在扩散。也可能只是我在找一个不是""重要情报""的东西来想。",Corridor,Mystery_Box,,,
10070320,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070321,hide,hide,hide,hide,hide,☆☆☆ BE03「被拔除的钉子」触发窗口开启 (Day 7~9) ☆☆☆,Corridor,Mystery_Box,,,
10070322,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10070323,hide,hide,hide,hide,hide,[若主角已在 Day 1~6 中做过以下任一行为：,Corridor,Mystery_Box,,,
10070324,hide,hide,hide,hide,hide,"· 对南梨直说""报警""一词",Corridor,Mystery_Box,,,
10070325,hide,hide,hide,hide,hide,"· 在天台与 Linda 对话时默认自己""以前在警署""的经历",Rooftop,Mystery_Box,,,
10070326,hide,hide,hide,hide,hide,· 寝具店使用警校擒拿术时被流氓认出招式,BedStore,Mystery_Box,,,
10070327,hide,hide,hide,hide,hide,· 向育子透露过东京警署的任何细节,BedStore,Mystery_Box,,,
10070328,hide,hide,hide,hide,hide,→ BE03 条件满足],BedStore,Mystery_Box,,,
10070329,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10070330,hide,hide,hide,hide,hide,※ BE03 将在 Day 8 增田车祸时同步触发。,BedStore,Mystery_Box,,,
10070331,hide,hide,hide,hide,hide,若未触发，Day 8 正常进行。,BedStore,Mystery_Box,,,
10070332,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10070333,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
