ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550401,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550402,hide,hide,hide,hide,hide,,RamenShop,Mixed_Emotion,,,
10550403,hide,hide,hide,hide,hide,下午两点。公寓里。窗帘拉了一半。阳光从另一半里照进来，在桌上画了一道明亮的刀痕。桌上摊着所有证据——黑皮书复印件、账簿破译稿、村上秘书的通话记录、制药公司的银行流水。每一张纸都按时间排好。纸的边缘被翻了很多次，起了毛边。纸上有很淡的油墨味——不是新印的，是放了几天之后那种陈旧的油墨味。,Apartment,Mystery_Box,,,
10550404,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550405,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550406,hide,hide,hide,hide,hide,春奈在下午三点到了。她提着一个黑色的化妆箱。不是她自己那个——是另一个。更小的。她放在桌上。打开。里面只有一张面具。村上秘书的。她把面具拿出来，放在桌角。面具在阳光下显得很薄——几乎是透明的。肉色的硅胶在光里有皮肤一样的光泽。,Apartment,Mystery_Box,,,
10550407,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550408,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550409,hide,hide,hide,hide,hide,做好了。试过三次。每一次都完美。,Apartment,Mystery_Box,,,
10550410,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550411,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550412,hide,hide,hide,hide,hide,她站在桌边。今天的脸不是村上秘书——是她自己最常戴的那个仿妆。有狐狸发卡的。但她说话的时候声音是春奈自己的。没有伪装。,Apartment,Mystery_Box,,,
10550413,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550414,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10550415,hide,hide,hide,hide,hide,明天晚宴。村上秘书会在大厅门口接待。他会检查每一个进去的人。如果检查的人——是我。你就可以把真的村上秘书引开。大概有五分钟。够不够。,Club_lobby,Mystery_Box,,,
10550416,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10550417,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10550418,hide,hide,hide,hide,hide,……够。,Club_lobby,Mystery_Box,,,
10550419,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10550420,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10550421,hide,hide,hide,hide,hide,五分钟之后面具可能会开始松。胶水在体温下只能撑那么久。到时候我会自己走。不会有人注意到。一个秘书离场——谁会在意。,Club_lobby,Mystery_Box,,,
10550422,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10550423,hide,hide,hide,hide,hide,,Club_lobby,Mystery_Box,,,
10550424,hide,hide,hide,hide,hide,她把面具拿起来。对着光看了一下。然后放回化妆箱里。盖上。扣子扣上的时候发出很轻的咔哒声。她把手放在箱子上。手指在箱盖上敲了两下。不是紧张——是习惯。顽皮的底色还在。,Club_lobby,Coming_Dangerous,,,
10550425,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550426,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550427,hide,hide,hide,hide,hide,最后一个面具。做了两个月。终于做完了。,Club_lobby,Coming_Dangerous,,,
10550428,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550429,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550430,hide,hide,hide,hide,hide,她提起箱子。走到门口。停了一下。没有回头。,Club_lobby,Coming_Dangerous,,,
10550431,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550432,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550433,hide,hide,hide,hide,hide,你第一次见我——我模仿你的步态和声音。你说「很可怕」。我说「谢谢」。你还记得吗。,Club_lobby,Coming_Dangerous,,,
10550434,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550435,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550436,hide,hide,hide,hide,hide,……记得。,Club_lobby,Coming_Dangerous,,,
10550437,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550438,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550439,hide,hide,hide,hide,hide,明天之后——我不会再模仿任何人了。这两分钟的真脸——我打算留着。给值得的人看。,Club_lobby,Coming_Dangerous,,,
10550440,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550441,hide,hide,hide,hide,hide,,Club_lobby,Coming_Dangerous,,,
10550442,hide,hide,hide,hide,hide,她走了。走廊里脚步声很轻。公寓里又安静下来。我低头看桌上的证据。阳光已经移了位置——那道明亮的刀痕从桌子的左边移到了右边。我把所有纸张按顺序叠好。放进一个牛皮纸信封里。信封上没有字。然后我把春奈的面具箱子放在信封旁边。两个东西靠在一起。一个装着真相。一个装着假象。明天——假象要替真相开路。,Corridor,Silent_Night,,,
10550443,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
