ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10260701,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260702,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260703,hide,hide,hide,hide,hide,凌晨一点。俱乐部打烊之后的大厅是最安静的时刻。所有灯都关了。只有吧台上面那盏小的——暖黄色的，照着星野葵的侧脸。她在泡咖啡。不是速溶的。是手冲。滴滤壶、滤纸、电子秤。她的动作和上次一样——每一步都精确。水壶的壶嘴对着滤杯中心，水流很细，很稳，在咖啡粉上画出一个均匀的螺旋。空气里弥漫着咖啡的苦香。很浓。浓到有一点焦糖的甜尾。,Club_lobby,Silent_Night,,,
10260704,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260705,青鹭姬·星野葵,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,没有抬头
10260706,hide,hide,hide,hide,hide,经理——你还没睡。,Club_lobby,Silent_Night,,,
10260707,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260708,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260709,hide,hide,hide,hide,hide,……睡不着。,Club_lobby,Silent_Night,,,
10260710,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260711,青鹭姬·星野葵,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260712,hide,hide,hide,hide,hide,那就对。我给你泡了一杯。,Club_lobby,Silent_Night,,,
10260713,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260714,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260715,hide,hide,hide,hide,hide,她把咖啡杯推过来。杯子和上次一样——白色的，杯壁上没有任何花纹。咖啡的颜色很深。接近黑色。表面有一层很薄的油脂，在灯光下反射出彩虹色的光。我拿起来。杯壁很烫。和上次一样。,Cafe,Silent_Night,,,
10260716,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260717,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260718,hide,hide,hide,hide,hide,……今晚的事。你怎么看。,Cafe,Silent_Night,,,
10260719,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260720,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,继续冲第二杯，语气平稳
10260721,hide,hide,hide,hide,hide,你指雪代姐的新规矩。,Cafe,Silent_Night,,,
10260722,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260723,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260724,hide,hide,hide,hide,hide,……嗯。,Cafe,Silent_Night,,,
10260725,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260726,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260727,hide,hide,hide,hide,hide,百分之二十——她算过。不是随便加的。百分之二十是刚好让所有人都觉得吃力——但都不至于崩溃的数字。再多百分之五——会有人走。再少百分之五——起不到她想要的效果。百分之二十——是精确的。,Cafe,Silent_Night,,,
10260728,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260729,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260730,hide,hide,hide,hide,hide,她把冲好的第二杯咖啡放在自己面前。没有马上喝。只是看着杯中的液面慢慢平静。漩涡消失了。她把手冲壶放在一边。壶嘴还在冒热气。,Cafe,Silent_Night,,,
10260731,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260732,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260733,hide,hide,hide,hide,hide,至于那个男人——,Cafe,Silent_Night,,,
10260734,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260735,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260736,hide,hide,hide,hide,hide,她停了一下。手指沿着杯口划了一圈。不是神经质的动作。是思考的习惯——医学书上读到的，人在分析时会无意识地做圆形运动。,Cafe,Silent_Night,,,
10260737,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260738,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260739,hide,hide,hide,hide,hide,他不是来看店的。是来看人的。他在走廊转角站了四十分钟。四十分钟里——他看了每个人。但看得最多的人——是你。,Corridor,Silent_Night,,,
10260740,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10260741,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10260742,hide,hide,hide,hide,hide,……我。,Corridor,Silent_Night,,,
10260743,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10260744,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10260745,hide,hide,hide,hide,hide,对。他看了你十七次。我数了。,Corridor,Silent_Night,,,
10260746,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10260747,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10260748,hide,hide,hide,hide,hide,"她说""我数了""的时候，语调没有任何起伏。就像在说""今天的咖啡豆是哥伦比亚的""。她端起咖啡杯，喝了一口。眼睛从杯沿上方看着我。镜片反射着头顶的灯光，看不到她的瞳孔。",Cafe,Silent_Night,,,
10260749,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260750,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260751,hide,hide,hide,hide,hide,……为什么数。,Cafe,Silent_Night,,,
10260752,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260753,青鹭姬·星野葵,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260754,hide,hide,hide,hide,hide,因为我在医学院学到的第一件事——观察。观察你不想看的东西。因为你不看——不代表它不在。,Cafe,Silent_Night,,,
10260755,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260756,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10260757,hide,hide,hide,hide,hide,她把杯子放下。杯底碰到大理石台面，发出很轻的磕碰声。大厅里太安静了。安静到那声磕碰像是在水里投了一颗石子。,Club_lobby,Silent_Night,,,
10260758,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260759,青鹭姬·星野葵,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260760,hide,hide,hide,hide,hide,经理——我跟你说过。有些人不该活着。,Club_lobby,Silent_Night,,,
10260761,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260762,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10260763,hide,hide,hide,hide,hide,……说过。,Club_lobby,Silent_Night,,,
