ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10580302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10580303,hide,hide,hide,hide,hide,早上八点。化妆间里的荧光灯亮得刺眼。春奈站在镜子前。村上秘书的面具贴在脸上。完美。她走了两步。左脚微微拖地。右手食指弹袖口。停下来。对着镜子调整嘴角的角度——往下压了半毫米。然后她开口。,DressingRoom,Mixed_Emotion,,,
10580304,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580305,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580306,hide,hide,hide,hide,hide,安保预案确认。后巷封锁。来宾名单核对。凤凰账户资金确认。完毕。,DressingRoom,Mixed_Emotion,,,
10580307,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580308,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580309,hide,hide,hide,hide,hide,她的声音是村上秘书的。但她说完之后——右手食指弹袖口的动作多弹了一次。村上秘书只弹一次。她弹了两次。不是失误。是某种暗示。弹完之后她把面具揭下来。动作很轻。然后看着镜子里的自己——真脸。那张很白的、眉毛很淡的脸。,DressingRoom,Mixed_Emotion,,,
10580310,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580311,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580312,hide,hide,hide,hide,hide,空气里有酒精胶水的味道。还有定妆喷雾的化学气味。还有更淡的——她真脸皮肤上的皂角味。她打开化妆箱。从夹层里拿出两瓶麻醉剂。不是一瓶——是两瓶。她把一瓶放进左边口袋。另一瓶放进右边口袋。然后拍了拍。,DressingRoom,Mixed_Emotion,,,
10580313,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580314,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580315,hide,hide,hide,hide,hide,一瓶给村上秘书。另一瓶——备用。,DressingRoom,Mixed_Emotion,,,
10580316,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580317,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580318,hide,hide,hide,hide,hide,她转过来看着我。真脸的眼睛在荧光灯下很亮。,DressingRoom,Mixed_Emotion,,,
10580319,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580320,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580321,hide,hide,hide,hide,hide,如果出岔子。如果村上秘书不按习惯来。如果面具提前松了。如果我需要同时对付两个人——两瓶。够不够。,DressingRoom,Mixed_Emotion,,,
10580322,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580323,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580324,hide,hide,hide,hide,hide,……春奈。你不是去打仗。,DressingRoom,Mixed_Emotion,,,
10580325,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580326,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580327,hide,hide,hide,hide,hide,不是打仗。是保命。我的命。你的命。雪代姐的命。所有人的命。两瓶麻醉剂——不是为了攻击。是为了让所有人活着。活着——就是赢。,DressingRoom,Mixed_Emotion,,,
10580328,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580329,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580330,hide,hide,hide,hide,hide,她把面具放回化妆箱。盖上。扣上。黄铜扣子发出清脆的响声。然后她站起来。看着我。真脸在荧光灯下没有任何保护。但她笑了一下。不是顽皮的笑。不是露出小虎牙的笑。是另一个。很淡。左边嘴角比右边高一点。不对称。但不对称是对的。,DressingRoom,Mixed_Emotion,,,
10580331,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580332,诡鹀姬·木岛春奈,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10580333,hide,hide,hide,hide,hide,明天。五分钟。如果超过五分钟——我会想办法。不要担心我。我模仿了那么多人——最擅长的是脱身。,DressingRoom,Mixed_Emotion,,,
10580334,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
