ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10120101,我,hide,hide,OnoNami_lingerie,hide,没事，交给我就好。,Corridor,,,,
10120102,我,hide,hide,OnoNami_lingerie,hide,内衣是什么样的？,Corridor,,,,
10120103,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,浅……浅蓝色蕾丝，肩带上带着一个蓝色蝴蝶结……,Corridor,,,,
10120104,hide,hide,hide,hide,hide,我走进三号VIP室，房间比想象中更乱。,VIP_Room_03,,,,
10120105,hide,hide,hide,hide,hide,显然今晚的客人喝了不少，也很"尽兴"。,VIP_Room_03,,,,
10120106,hide,hide,hide,hide,hide,我在沙发缝隙里找到了一个耳环，在茶几底下发现了一条断掉的手链。,VIP_Room_03,,,,
10120107,hide,hide,hide,hide,hide,最后，在床边的地毯角落——那个通常会被床幔遮住的位置，看到了一小片浅蓝色的布料。,VIP_Room_03,,,,
10120108,hide,hide,hide,hide,hide,我蹲下身捡起来。,VIP_Room_03,,,,
10120109,hide,hide,hide,hide,hide,确实是内衣。浅蓝色蕾丝，做工精致，肩带上的蝴蝶结是丝绸材质，其中一个蝴蝶结的线松了，微微散开。,VIP_Room_03,,,,
10120110,hide,hide,hide,hide,hide,但这不是重点。,VIP_Room_03,,,,
10120111,hide,hide,hide,hide,hide,重点是，这件内衣明显不是俱乐部提供的——俱乐部统一采购的内衣更华丽、更"表演性质"。,VIP_Room_03,,,,
10120112,hide,hide,hide,hide,hide,而这一件……更像是年轻女孩会在百货公司精心挑选的，带着某种青涩的甜美。,VIP_Room_03,,,,
10120113,hide,hide,hide,hide,hide,我拿着它走出房间。,Corridor,,,,
10120114,hide,hide,hide,OnoNami_lingerie,hide,看见我手里的东西，她明显眼睛一亮。,Corridor,,,,
10120115,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,啊！找到了！,Corridor,,,,
10120116,hide,hide,hide,OnoNami_lingerie,hide,她几乎是扑过来，一把抓过内衣，紧紧抱在胸前。但随即意识到自己的失态，脸一下子红了。,Corridor,,,,
10120117,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,谢、谢谢经理……,Corridor,,,,
10120118,hide,hide,hide,OnoNami_lingerie,hide,她转身就想走，但我叫住了她。,Corridor,,,,
10120119,我,hide,hide,OnoNami_lingerie,hide,早莺……,Corridor,,,,
10120120,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,……是？,Corridor,,,,
10120121,hide,hide,hide,OnoNami_lingerie,hide,她停住脚步，背对着我。,Corridor,,,,
10120122,我,hide,hide,OnoNami_lingerie,hide,为什么要带自己的内衣来上班？,Corridor,,,,
10120123,我,hide,hide,OnoNami_lingerie,hide,俱乐部不是有统一的……,Corridor,,,,
10120124,hide,hide,hide,OnoNami_lingerie,hide,她的肩膀微微发抖。,Corridor,,,,
10120125,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,因为……,Corridor,,,,
10120126,hide,hide,hide,OnoNami_lingerie,hide,她慢慢转过身，低着头，手指摩挲着那个松开的蝴蝶结。,Corridor,,,,
10120127,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,这是……男朋友去年生日时送我的。,Corridor,,,,
10120128,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,那时候他还没生病，我们还在约会……,Corridor,,,,
10120129,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,他说这个颜色很配我……,Corridor,,,,
10120130,hide,hide,hide,OnoNami_lingerie,hide,她抬起头，努力想挤出笑容，但失败了。,Corridor,,,,
10120131,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,我也不想带它来这种地方。,Corridor,,,,
10120132,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,但是经理……我所有的钱，都要存起来付医药费。,Corridor,,,,
10120133,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,公寓的租金、吃饭、交通费……已经压到最低了。,Corridor,,,,
10120134,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,连买一套新内衣的钱，都挤不出来。,Corridor,,,,
10120135,hide,hide,hide,OnoNami_lingerie,hide,她声音越来越小。,Corridor,,,,
10120136,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,俱乐部的内衣……如果损坏或丢失，要按原价赔偿。,Corridor,,,,
10120137,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,我担心……我赔不起。,Corridor,,,,
10120138,hide,hide,hide,OnoNami_lingerie,hide,她顿了顿，嘴角扯出一个苦涩的弧度。,Corridor,,,,
10120139,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,而且……有些客人。,Corridor,,,,
10120140,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,他们知道我有个重病的男朋友。,Corridor,,,,
10120141,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,就会故意……,Corridor,,,,
10120142,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,要我穿自己的、普通的衣服来服务。,Corridor,,,,
10120143,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,说这样……更有"现实感"。,Corridor,,,,
10120144,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,更……"刺激"。,Corridor,,,,
10120145,hide,hide,hide,OnoNami_lingerie,hide,她说最后几个字时，声音轻得几乎听不见。手指无意识地抚摸着蝴蝶结，像是想抚平什么看不见的皱褶。,Corridor,,,,
10120146,hide,hide,hide,hide,hide,走廊尽头的时钟敲响了两下。,Corridor,,,,
10120147,hide,hide,hide,hide,hide,此时已经是凌晨两点。,Corridor,,,,
10120148,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,啊，我得走了！,Corridor,,,,
10120149,早莺姬·小野南梨,hide,hide,OnoNami_lingerie,hide,明天早上七点要去医院送饭……,Corridor,,,,
