ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10220501,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220502,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10220503,hide,hide,hide,hide,hide,傍晚六点。换班前的空档，走廊里有女孩子换衣服的窸窣声和储物柜开合的声响。暖气管道里有水流的嗡嗡声。谷川景子从更衣室出来，衣服没换完——衬衫的扣子扣错了一颗，领口歪着。她手里攥着手机。屏幕亮着。是一通刚挂断的电话。,Corridor,Unreal_Memory,,,
10220504,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220505,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,声音不稳
10220506,hide,hide,hide,hide,hide,经理——我得走。小澪烧到三十九度了。奶奶说——吃了退烧药没退。现在吐了。,Corridor,Unreal_Memory,,,
10220507,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220508,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220509,hide,hide,hide,hide,hide,她的眼眶是红的。但眼泪没掉下来。不是忍住了。是来不及哭。她的手指在手机壳上来回刮，塑料壳上已经有一条细长的刮痕。手机壳的图案是向日葵——小澪画的。黄色和橙色的马克笔线条，歪歪扭扭，写着一行很小的字：「妈妈加油」。,Corridor,Unreal_Memory,,,
10220510,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220511,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220512,hide,hide,hide,hide,hide,……去。,Corridor,Unreal_Memory,,,
10220513,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220514,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220515,hide,hide,hide,hide,hide,可是晚班——今晚轮到我站吧台。雪代姐最讨厌临时请假。上次美咲临时请假，扣了三天的工钱。,Corridor,Unreal_Memory,,,
10220516,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220517,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220518,hide,hide,hide,hide,hide,……我帮你顶。,Corridor,Unreal_Memory,,,
10220519,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220520,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220521,hide,hide,hide,hide,hide,她看着我。眼眶里的那层水光晃了一下。然后她很快地点了一下头。不是感谢——是来不及感谢。她转身跑向门口，跑了两步又停住，回头。从包里摸出一个塑料袋塞到我手里。袋子里是一个便当盒。还温的。,Corridor,Unreal_Memory,,,
10220522,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220523,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220524,hide,hide,hide,hide,hide,本来是我的晚饭。今晚——你吃。,Corridor,Unreal_Memory,,,
10220525,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220526,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10220527,hide,hide,hide,hide,hide,她说完就跑了。门在她身后晃了两下，停住。走廊里重新安静下来。我打开便当盒——米饭、煎蛋、炸鸡块。鸡块用锡纸包着，还温的。是小澪喜欢的那种——她每次考试前都让妈妈做这个。她把留给女儿的晚饭给了我。因为没时间说谢谢。,Corridor,Silent_Night,,,
10220528,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
