ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10230301,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230302,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10230303,hide,hide,hide,hide,hide,早上六点十一分。手机响了。不是铃声。是震动——在木桌上嗡嗡地转，像一只被翻过来的甲虫。屏幕上显示佐藤的名字。按下接听，对面先是一阵沉默。不是没人。是有人在，但没说话。然后——他开口了。声音和以前不一样。以前是急躁。现在是——被什么东西磨掉了急躁之后剩下的那种平。,Corridor,Mixed_Emotion,,,
10230304,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230305,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,声音很低，带着沙哑
10230306,hide,hide,hide,hide,hide,哲也——还剩一天。,Corridor,Mixed_Emotion,,,
10230307,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230308,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230309,hide,hide,hide,hide,hide,……我知道。,Corridor,Mixed_Emotion,,,
10230310,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230311,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230312,hide,hide,hide,hide,hide,不是我的期限。是他们给的最后通牒。明天下午四点。如果在那之前，我拿不出能证明你身份价值的东西——他们会正式通知我停职审查。,Corridor,Mixed_Emotion,,,
10230313,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230314,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230315,hide,hide,hide,hide,hide,他说话的时候，背景里有一种很轻的电流声。不是手机信号不好。是他在一个很空的地方——像是搬空了家具的房间，或者车里。声音在硬表面上反弹，带着一点点回音。,Corridor,Mixed_Emotion,,,
10230316,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230317,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230318,hide,hide,hide,hide,hide,"我把你提交的报告整理了一遍。账簿的摘录、资金流的分析、代号P的指向——全部。但不够。没有物证。没有凤凰卡的扫描件。没有现场照片。在他们眼里，这些""报告""——只是一个人的日记。",Corridor,Mixed_Emotion,,,
10230319,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230320,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230321,hide,hide,hide,hide,hide,……凤凰卡在我这里。,Corridor,Mixed_Emotion,,,
10230322,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230323,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,停了一下
10230324,hide,hide,hide,hide,hide,拍了发给我。现在。,Corridor,Mixed_Emotion,,,
10230325,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230326,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230327,hide,hide,hide,hide,hide,我把手机夹在耳朵和肩膀之间，从口袋里摸出那张暗红色的卡片。放在桌上。台灯的灯光照在Logo上，那只凤凰的翅膀展开，像是从卡片表面浮起来。我用手机拍了一张。手指在屏幕上的时候，发现自己在抖。不是怕。是从昨晚到现在——肾上腺素一直在低水平运行，像一台忘了关的马达。,Corridor,Mixed_Emotion,,,
10230328,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230329,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230330,hide,hide,hide,hide,hide,收到了。（他的呼吸声突然变重）——这个Logo。这个Logo我在增田的遗物里见过。,Corridor,Mixed_Emotion,,,
10230331,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230332,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230333,hide,hide,hide,hide,hide,……什么遗物。,Corridor,Mixed_Emotion,,,
10230334,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230335,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230336,hide,hide,hide,hide,hide,一个信封。上面印着这个Logo。信封是空的。车祸之后，警察把遗物交给家属之前，我偷偷看了一眼。当时不知道是什么。现在——知道了。,Corridor,Mixed_Emotion,,,
10230337,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230338,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230339,hide,hide,hide,hide,hide,他沉默了一会儿。电流声还在。背景里传来一声很远的汽车喇叭。不是市区。他在郊区。,Corridor,Mixed_Emotion,,,
10230340,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230341,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230342,hide,hide,hide,hide,hide,哲也——如果明天我联系不上了。,Corridor,Mixed_Emotion,,,
10230343,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230344,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230345,hide,hide,hide,hide,hide,……什么意思。,Corridor,Mixed_Emotion,,,
10230346,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230347,佐藤正义,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230348,hide,hide,hide,hide,hide,"没什么意思。只是——增田死之前，也说过一句""明天联系""。后来就没有明天了。",Corridor,Mixed_Emotion,,,
10230349,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230350,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10230351,hide,hide,hide,hide,hide,电话挂断。屏幕暗下去。房间里重新只剩下暖气片的嗡鸣。我把凤凰卡翻过来。磁条在灯光下反射出一条很细的、断断续续的光。像一条被截成几段的线。,Corridor,Mixed_Emotion,,,
10230352,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
