ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10490401,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490402,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490403,hide,hide,hide,hide,hide,窄巷走到头，迎面是一道消防梯。铁架结构，一共三段。每一段之间有平台。梯子的铁锈味很重——不是那种让人不舒服的铁锈，是雨淋日晒几十年之后，铁自己散发出来的那种味道。有点像旧铁轨。有点像被雨泡过的铁钉。晨光从梯子的空隙里漏下来，在墙上画出横条的影子。,Club_away,Unreal_Memory,,,
10490404,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490405,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490406,hide,hide,hide,hide,hide,彩站在梯子下面。仰头看。她的脖子拉得很长——能看到喉咙的轮廓。她吞了一下口水。,Club_away,Unreal_Memory,,,
10490407,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490408,双雀姬·濑户彩,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490409,hide,hide,hide,hide,hide,第一段——没问题。踩中间的横杠。不要踩边缘。边缘锈了。第二段——台风之后有点松。我和瞳前天试过。踩左边。左边螺栓还紧。,Club_away,Unreal_Memory,,,
10490410,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490411,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490412,hide,hide,hide,hide,hide,她开始往上爬。不是示范——是检查。每踩一步，她都会停下来，用脚跺一下横杠。铁梯发出闷响——噔。噔。噔。声音在后巷里回荡，被墙壁弹回来，变得有点失真。她在第一段平台上停下来，回头看瞳。瞳站在下面，仰着头。手放在卫衣口袋里。口袋鼓鼓的——大概装着什么东西。,Club_away,Unreal_Memory,,,
10490413,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490414,双雀姬·濑户彩,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490415,hide,hide,hide,hide,hide,第三段——最关键。,Club_away,Unreal_Memory,,,
10490416,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490417,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490418,hide,hide,hide,hide,hide,她继续往上。爬到第三段的时候，动作明显慢了。每一步踩之前都要先用手扶着上面的横杠，把体重压上去试一下。第三段铁梯在她脚下晃了一下——幅度很小，但能看到整个梯身往墙壁那边靠了一点。,Club_away,Unreal_Memory,,,
10490419,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490420,双雀姬·濑户彩,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490421,hide,hide,hide,hide,hide,第三段左边螺栓松了。踩右边。右边是焊死的。踩的时候身体靠墙。不要往下看。,Club_away,Unreal_Memory,,,
10490422,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490423,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10490424,hide,hide,hide,hide,hide,她爬到顶。站在天台的边缘。晨光从她背后打过来，把她的轮廓画成一个黑色的剪影。她在上面站了一会儿。然后从另一个方向消失了——大概在检查天台上的路。,Rooftop,Unreal_Memory,,,
10490425,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490426,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490427,hide,hide,hide,hide,hide,过了一会儿，她从下面回来了。不是原路下来的——是从隔壁楼的内部楼梯下来的。头发上沾了一点墙灰。夹克上蹭了一道白色的印子。,Rooftop,Unreal_Memory,,,
10490428,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490429,双雀姬·濑户彩,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
10490430,hide,hide,hide,hide,hide,天台过去——隔壁停车场。三楼。白色丰田旁边有一个通风管道。通风管道后面是死角。摄像头拍不到。在那里等。不要发动车。等十分钟。确认没有人追过来——再走。,Rooftop,Unreal_Memory,,,
10490431,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
