ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10320501,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320502,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320503,hide,hide,hide,hide,hide,傍晚六点半。育子坐在办公室的旧电脑前面。那台电脑平时没人用——显示器是十五寸的，开机要等一分多钟。风扇声音很大，像一只在墙角里打呼噜的猫。空气里有电子元件发热的焦糊味，混着育子身上淡淡的洗衣粉香——那种超市最便宜的，闻起来像晒过的棉布。,Manager_Office,Coming_Dangerous,,,
10320504,hide,hide,hide,hide,hide,她面前摊着一本笔记本。上面用铅笔写了一行网址。字迹很用力——每一笔都往下压了，纸背有明显的凹痕。,Manager_Office,Coming_Dangerous,,,
10320505,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320506,雏鹃姬·芦田育子,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320507,hide,hide,hide,hide,hide,我可以帮你。我在学。,Manager_Office,Coming_Dangerous,,,
10320508,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320509,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320510,hide,hide,hide,hide,hide,她说话的时候低着头。声音从喉咙里挤出来，比平时更细。但她手指放在键盘上的位置是对的——不是乱按，是学过指法。,Manager_Office,Coming_Dangerous,,,
10320511,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320512,雏鹃姬·芦田育子,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320513,hide,hide,hide,hide,hide,我报了一个电脑班。夜校的。周二和周四。学了两个月了。,Manager_Office,Coming_Dangerous,,,
10320514,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320515,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320516,hide,hide,hide,hide,hide,她打开一个网页。很慢——拨号上网的速度。进度条一格一格地爬。她盯着屏幕，嘴唇在动——在数秒数。,Manager_Office,Coming_Dangerous,,,
10320517,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320518,雏鹃姬·芦田育子,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320519,hide,hide,hide,hide,hide,你昨天说的那个名字——村上道也。我在网上查了。,Manager_Office,Coming_Dangerous,,,
10320520,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
10320521,hide,hide,hide,hide,hide,,Manager_Office,Coming_Dangerous,,,
