ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10020200,hide,hide,hide,hide,hide,还在适应。大阪人……确实更直率一些。,Apartment,Silent_Night,,,
10020201,hide,hide,hide,hide,hide,工作内容其实和之前差不多，就是换了个地方。,Apartment,Silent_Night,,,
10020202,小林莉香,hide,hide,hide,hide,,Apartment,Silent_Night,,,沉默了几秒
10020203,hide,hide,hide,hide,hide,哲也。,Apartment,Silent_Night,,,
10020204,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10020205,hide,hide,hide,hide,hide,嗯？,Apartment,Silent_Night,,,
10020206,小林莉香,hide,hide,hide,hide,,Apartment,Silent_Night,,,声音轻了下来
10020207,hide,hide,hide,hide,hide,你要好好照顾自己啊。按时吃饭，少熬夜。,Apartment,Silent_Night,,,
10020208,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10020209,hide,hide,hide,hide,hide,嗯……,Apartment,Silent_Night,,,
10020210,小林莉香,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10020211,hide,hide,hide,hide,hide,这个时候，小林莉香低头看了眼手表。,Apartment,Silent_Night,,,
10020212,hide,hide,hide,hide,hide,啊，黑羽君，我该去图书馆了。晚上小组讨论。,Apartment,Silent_Night,,,
10020213,hide,hide,hide,hide,hide,那你……再睡会儿？还是直接去上班了？,Apartment,Silent_Night,,,
10020214,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10020215,hide,hide,hide,hide,hide,哦好。我应该不用补觉，一会儿就直接去上班了，你自己路上小心。,Apartment,Silent_Night,,,
10020216,小林莉香,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10020217,hide,hide,hide,hide,hide,嗯。爱你！,Apartment,Silent_Night,,,
10020218,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10020219,hide,hide,hide,hide,hide,她对着镜头做了个飞吻的动作，然后画面晃动了一下，切断了。,Apartment,Silent_Night,,,
10020220,hide,hide,hide,hide,hide,视频通话挂断了，显示出智能手机的主页，上面是时间和天气信息。,Apartment,Silent_Night,,,
10020221,hide,hide,hide,hide,hide,照理说，今天天气应该很温暖，不过房间里没有采光，还是有些阴冷。,Apartment,Warm_Encounter,,,
10020222,hide,hide,hide,hide,hide,想到这里，我缩进了被子，准备再次睡去……,Apartment,Mixed_Emotion,,,
10020223,hide,hide,hide,hide,hide,以及，新租的房间什么家具也没有。,Apartment,Mixed_Emotion,,,
10020224,hide,hide,hide,hide,hide,可能得找个合适的时机去买一个床垫了……,BedStore,Mixed_Emotion,,,
10020225,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10020201,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10020202,hide,hide,hide,hide,hide,我踏进“十二飞鸟”时，是傍晚六点四十分。,BedStore,Mixed_Emotion,,,
10020203,hide,hide,hide,hide,hide,夕阳的余晖被厚重的窗帘完全隔绝在外，走廊里只亮着几盏壁灯，光线昏黄如旧照片。,Corridor,Mixed_Emotion,,,
10020204,hide,hide,hide,hide,hide,空气里依然是那股熟悉的气味,Corridor,Mixed_Emotion,,,
10020205,hide,hide,hide,hide,hide,——线香、白檀、腐烂前的栀子，还有一丝新添的、像是刚擦拭过的地板蜡的味道。,Corridor,Mixed_Emotion,,,
10020206,hide,hide,hide,hide,hide,我走向经理室，皮鞋踩在木地板上的声音在空旷的走廊里回响。,Corridor,Mixed_Emotion,,,
