ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10140001,hide,hide,hide,hide,hide,早上七点三十分。,Home_day,Confused_Memory,,,
10140002,hide,hide,hide,hide,hide,我依然无法看见此时窗外的大阪。,Home_day,,,,
10140003,hide,hide,hide,hide,hide,逼仄的建筑结构永远地限制着阳光进入我的房间。,Home_day,,,,
10140004,hide,hide,hide,hide,hide,没有拉面店里蒸腾的热气，也没有警署里那些刺耳的电话铃声。,Home_day,,,,
10140005,hide,hide,hide,hide,hide,这间位于淀川区边缘、只有六叠大小的单身公寓里，安静得只能听到我自己的呼吸声。,Home_day,,,,
10140006,hide,hide,hide,hide,hide,以及壁纸在角落里因为潮湿而一点点剥离的、极其细微的撕裂声。,Home_day,,,,
10140007,hide,hide,hide,hide,hide,我躺在没有床垫的榻榻米上，坚硬的木地板直接顶着我的脊椎，泛起阵阵酸痛。,Home_day,,,,
10140008,hide,hide,hide,hide,hide,我盯着天花板上那块因为漏水而发黄的霉斑。,Home_day,,,,
10140009,hide,hide,hide,hide,hide,一时间分不清自己到底是警察黑羽义，还是负债累累的经理黑羽哲也。,Home_day,,,,
10140010,hide,hide,hide,hide,hide,就在这时，枕边的手机震动起来。,Home_day,,,,
10140011,hide,hide,hide,hide,hide,不是那部黑色的翻盖机，而是我自己的智能手机。,Home_day,,,,
10140012,hide,hide,hide,hide,hide,屏幕上闪烁着熟悉的名字，是莉香。,Home_day,,,,
10140013,hide,hide,hide,hide,hide,我深吸一口气，用冰冷的手掌用力揉了揉僵硬的脸颊，按下接听键。,Home_day,,,,
10140014,我,hide,hide,hide,hide,……喂，莉香。,Home_day,,,,
10140015,hide,hide,hide,hide,hide,我察觉到我的声音有些沙哑。,Home_day,,,,
10140016,小林莉香,hide,hide,Girlfriend_base,hide,早上好，哲也！你醒了吗？,Phone_Coffee,Pure_Lady,,,
10140017,小林莉香,hide,hide,Girlfriend_base,hide,听你的声音，昨晚是不是又在加班了？,Phone_Coffee,,,,
10140018,我,hide,hide,Girlfriend_base,hide,嗯，刚醒。,Phone_Coffee,,,,
10140019,我,hide,hide,Girlfriend_base,hide,今天房间里好像有点冷。,Phone_Coffee,,,,
10140020,小林莉香,hide,hide,Girlfriend_base,hide,要注意身体哦，不能感冒了。,Phone_Coffee,,,,
