ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10060600,hide,hide,hide,hide,hide,好啦。该去上班了。,Corridor,Mixed_Emotion,,,
10060601,hide,hide,hide,hide,hide,经理——今天的舞步，不要告诉别人。这是出道曲的副歌部分。我还没决定要不要给别人听。,Corridor,Mixed_Emotion,,,
10060602,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060603,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060604,hide,hide,hide,hide,hide,她经过我身边时，身上的汗味混着发胶的甜味——不是香水，是那种练完舞以后自然的体味。比任何BGM都真实。,Corridor,Mixed_Emotion,,,
10060605,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060606,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060601,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060602,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060603,hide,hide,hide,hide,hide,凌晨十二点四十。最后一组客人刚走。走廊里还飘着他们留下的雪茄味。,Corridor,Silent_Night,,,
10060604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10060605,hide,hide,hide,hide,hide,我巡楼路过休息室。里面的灯亮着——但不是天花板的主灯，只有墙角那盏夜灯。,RestRoom,Silent_Night,,,
10060606,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10060607,hide,hide,hide,hide,hide,门虚掩着。,RestRoom,Silent_Night,,,
10060608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10060609,hide,hide,hide,hide,hide,日向夏实坐在沙发上。没有卸妆。没有换衣服。粉色马尾还是下午那个造型。但她的脸不一样了。,RestRoom,Silent_Night,,,
10060610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10060611,hide,hide,hide,hide,hide,她看着面前的墙壁。眼睛的焦点落在墙纸上的某处——那里有一小片因为潮湿而微微鼓起的墙纸。她看着那片鼓起，看了很久。没有眨眼。,RestRoom,Silent_Night,,,
10060612,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
