ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10260601,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260602,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10260603,hide,hide,hide,hide,hide,"深夜十一点半。休息室里的新灯管太亮，照得墙角的灰都无处可藏。神乐坂紫坐在沙发正中央。面前摊着那副塔罗牌。铁皮盒子开着，盖子上的涩谷109限定版花纹在灯下闪闪发光。但她的表情——不对。不是平时的轻佻、无所谓、那种""我随便看看""的散漫。她盯着牌面。手指停在最上面那张牌上。指甲上的亮片很亮，但她的手指在微微发抖。",RestRoom,Silent_Night,,,
10260604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260605,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,看到我，声音变快了
10260606,hide,hide,hide,hide,hide,经理——你来的正好。坐下。帮我看看。,RestRoom,Silent_Night,,,
10260607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260609,hide,hide,hide,hide,hide,她抽出一张牌。翻过来。动作很急。不是平时那种慢悠悠的表演式翻牌。牌面朝上——正位的死神。骷髅骑士骑着白马，马蹄下面踩着倒在地上的人。背景是灰色的天空和一条黑色的河。,RestRoom,Silent_Night,,,
10260610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260611,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,声音变低
10260612,hide,hide,hide,hide,hide,"这是我今天第一次占卜。问的是——""这几天会发生什么""。结果——死神。",RestRoom,Silent_Night,,,
10260613,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260614,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260615,hide,hide,hide,hide,hide,"她说""死神""的时候，没有像平时那样加一句""不一定是真的死啦""之类的轻松话。没有。她盯着那张牌。骷髅骑士的镰刀在灯下反射出一小道金色的光——是牌面的烫印。很旧了。但还在。",RestRoom,Silent_Night,,,
10260616,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260617,神鸦姬·神乐坂紫,hide,hide,hide,hide,,RestRoom,Silent_Night,,,把牌收回，重新洗
10260618,hide,hide,hide,hide,hide,然后我占第二次。不是替别人占。是替自己占。问同样的问题。结果——,RestRoom,Silent_Night,,,
10260619,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10260620,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
