ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10310501,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310502,hide,hide,hide,hide,hide,,DressingRoom,Silent_Night,,,
10310503,hide,hide,hide,hide,hide,傍晚六点。Linda坐在休息室的沙发上，膝盖上放着一台打开的笔记本电脑。屏幕上是一个加密通讯界面——不是日语，英文，界面很简洁，左上角有一个盾牌的图标。空气里有她的香水味——偏中性，带一点松木调。和俱乐部其他女孩的甜香完全不同。,RestRoom,Silent_Night,,,
10310504,hide,hide,hide,hide,hide,她把电脑转过来对着我。,RestRoom,Silent_Night,,,
10310505,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310506,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310507,hide,hide,hide,hide,hide,这是我的渠道。Interpol的内部加密线路。不是日本警方的系统，是国际刑警组织。村上道也碰不到这个。,RestRoom,Silent_Night,,,
10310508,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310509,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310510,hide,hide,hide,hide,hide,她点开一个窗口。上面是一个人的档案——森山。没有全名，只有森山。照片是一张监控截图，像素不高。下面列了三行：国籍不明、关联案件——三件，分别在新加坡、马来西亚、泰国、全部是跨国组织犯罪、状态：未结。,RestRoom,Silent_Night,,,
10310511,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310512,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310513,hide,hide,hide,hide,hide,这个人——森山，或者不管他真名叫什么——他的档案在Interpol的系统里挂了七年。没有引渡，因为日本没有对应的司法协议。他是利用了司法真空活在这里的。像一条鱼活在两个水层的交界处——上面管不到，下面够不着。,RestRoom,Silent_Night,,,
10310514,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310515,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310516,hide,hide,hide,hide,hide,……你查到多少。,RestRoom,Silent_Night,,,
10310517,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310518,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310519,hide,hide,hide,hide,hide,她把电脑合上。看我的眼神不是调查者的眼神——是合作伙伴在确认信任。,RestRoom,Silent_Night,,,
10310520,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310521,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310522,hide,hide,hide,hide,hide,很多。但我需要你一句话。你告诉我——你查这件事是为了什么。不是为了俱乐部，不是为了佐藤，是为了什么。,RestRoom,Silent_Night,,,
10310523,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310524,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310525,hide,hide,hide,hide,hide,窗外有车经过。车灯扫过天花板的顶角线，一条光从左移到右，消失了。,RestRoom,Silent_Night,,,
10310526,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310527,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310528,hide,hide,hide,hide,hide,……因为没有人会查了。,RestRoom,Silent_Night,,,
10310529,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310530,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310531,hide,hide,hide,hide,hide,Linda看了我三秒。然后点了头。把电脑重新打开，输入了一串密码。,RestRoom,Silent_Night,,,
10310532,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310533,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310534,hide,hide,hide,hide,hide,好。那我们从森山开始。把他的时间线和你手里的账簿对一遍。他进日本的时间，和他开始投钱给G-Rebirth的时间——应该只差了三个月。三个月够一个组织从搭建到运行。不够，但钱够就可以。,RestRoom,Silent_Night,,,
10310535,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310536,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310537,hide,hide,hide,hide,hide,她把一张打印纸推过来。上面是森山的入境记录——不是正常渠道能拿到的那种。上面盖了Interpol的内部水印。,RestRoom,Silent_Night,,,
10310538,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310539,朱雀姬·Linda,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10310540,hide,hide,hide,hide,hide,你信任我。我信任你。从今天开始，我们是搭档。,RestRoom,Silent_Night,,,
10310541,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
