ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10090401,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090402,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090403,hide,hide,hide,hide,hide,下午三点。我到店比平时早了一点。今天的预约表上空了两格——大概是台风预警影响了部分预约。大阪湾那边的台风，据说后天会到。,Club_away,Silent_Night,,,
10090404,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10090405,hide,hide,hide,hide,hide,推开休息室的门。芦田育子坐在床垫上——那张本来是我的床垫。她手里拿着一封信。纸很薄，折成三折，边缘已经有点起毛——被反复打开过很多次。,RestRoom,Silent_Night,,,
10090406,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090407,hide,hide,hide,hide,hide,她抬起头看我的时候，眼睛有点红。但没哭。,RestRoom,Silent_Night,,,
10090408,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090409,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090410,hide,hide,hide,hide,hide,……信？,RestRoom,Silent_Night,,,
10090411,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090412,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090413,hide,hide,hide,hide,hide,妈妈寄来的。,RestRoom,Silent_Night,,,
10090414,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090415,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090416,hide,hide,hide,hide,hide,她把信递给我。字迹很圆很认真，像是写的时候每一笔都重新蘸过墨。,RestRoom,Silent_Night,,,
10090417,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090418,hide,hide,hide,hide,hide,"""育子，你在大阪还好吗？期中考试考得怎么样？上次你说的英语分数太高了，妈妈有点意外，但是很开心。弟弟的画又拿了奖，他说等你回来给你看。家里的菜园子今年种了南瓜，比去年大了一圈。妈妈很想你。——妈妈""",RestRoom,Silent_Night,,,
10090419,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090420,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090421,hide,hide,hide,hide,hide,……英语分数是我编的。上次编太高了。这次我编低了一点。,RestRoom,Silent_Night,,,
10090422,hide,hide,hide,hide,hide,国语也编了。数学也是。每一科都是假的。,RestRoom,Silent_Night,,,
10090423,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090424,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090425,hide,hide,hide,hide,hide,她把信重新折好。和上次一样的三折。折痕对得一模一样。她的手指沿着折痕走了一遍，像是在重新密封什么东西。,RestRoom,Silent_Night,,,
10090426,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090427,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090428,hide,hide,hide,hide,hide,妈妈很开心。,RestRoom,Silent_Night,,,
10090429,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090430,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090431,hide,hide,hide,hide,hide,这四个字从她嘴里出来的时候，比前面那几十个字加起来都重。不是因为声音大。是因为声音太轻了——像是怕把它们说碎了。,RestRoom,Silent_Night,,,
10090432,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090433,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090434,hide,hide,hide,hide,hide,弟弟的画。他想给我看的画。奖状。南瓜。,RestRoom,Silent_Night,,,
10090435,hide,hide,hide,hide,hide,这些全是真的。,RestRoom,Silent_Night,,,
10090436,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090437,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090438,hide,hide,hide,hide,hide,她把信放进包里。拉上拉链。动作很慢。拉链的声音在安静的休息室里很清晰。,RestRoom,Silent_Night,,,
10090439,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090440,雏鹃姬·芦田育子,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090441,hide,hide,hide,hide,hide,……经理。说谎的人会被惩罚吗。,RestRoom,Silent_Night,,,
10090442,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10090443,hide,hide,hide,hide,hide,这个问题跟上次在走廊里问的一样。但这次她没有看月亮。她看着我。十六岁的眼睛在那盏旧台灯下面，有一种非常安静的恐惧。,Corridor,Unreal_Memory,,,
10090444,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10090445,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10090446,hide,hide,hide,hide,hide,……不知道。,Corridor,Unreal_Memory,,,
10090447,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10090448,hide,hide,hide,hide,hide,"不能说""会""。我自己就是那个说谎的人。不能说""不会""。说""不会""等于告诉她坚持下去。坚持下去——留在俱乐部里、继续编成绩、继续在妈妈不知道的地方穿着这身家居服。",Corridor,Unreal_Memory,,,
10090449,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
