ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10430401,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430402,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430403,hide,hide,hide,hide,hide,钢琴房在俱乐部二楼。平时很少有人来——这架钢琴是旧的，雅马哈的立式琴，琴键有几个已经松了，弹到某个音的时候会发出很闷的回响。夏实坐在琴凳上，手指放在琴键上，但没有弹。她面前放着乐谱——手写的，纸已经泛黄了。那是她自己的曲子。出道曲。,Corridor,Coming_Dangerous,,,
10430404,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430405,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430406,hide,hide,hide,hide,hide,空气里有旧木头和琴弦的味道。钢琴盖开着，能看到里面的琴弦——有些已经生锈了，锈迹在钢弦上画了褐色的斑。窗外的光从百叶窗的缝隙里漏进来，在琴键上画了一排平行的细线。夏实的手指在那些细线上移动。,Corridor,Coming_Dangerous,,,
10430407,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430408,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430409,hide,hide,hide,hide,hide,雪代站在钢琴旁边。她没有坐下。她的手搭在钢琴的顶盖上。指尖轻轻敲着漆面。敲击声很小，但钢琴的共鸣箱把它放大了，变成很低很沉的咚咚声。,Corridor,Coming_Dangerous,,,
10430410,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430411,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430412,hide,hide,hide,hide,hide,晚宴那天——你弹这首。,Corridor,Coming_Dangerous,,,
10430413,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430414,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430415,hide,hide,hide,hide,hide,她指了一下乐谱。不是问句。夏实看着乐谱。看了一会儿。,Corridor,Coming_Dangerous,,,
10430416,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430417,黄鹂姬·日向夏实,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430418,hide,hide,hide,hide,hide,这首我弹了五年了。每一次都弹得一模一样。,Corridor,Coming_Dangerous,,,
10430419,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430420,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430421,hide,hide,hide,hide,hide,这次不一样。第三遍的时候——慢一点。,Corridor,Coming_Dangerous,,,
10430422,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430423,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430424,hide,hide,hide,hide,hide,夏实转过头。看着雪代。她的眼睛是褐色的，在百叶窗的条纹光里像某种琥珀。她没有问为什么。她等着。她知道雪代会给答案。,Corridor,Coming_Dangerous,,,
10430425,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430426,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430427,hide,hide,hide,hide,hide,这首曲子一共弹三遍。第一遍——欢迎。第二遍——开胃菜。第三遍——主菜。第三遍的时候，村上会站起来讲话。他的讲话时间是四分钟。你的曲子也是四分钟。如果第三遍你弹慢一点——六分钟。多出的两分钟里，会有一些事情发生。,Corridor,Coming_Dangerous,,,
10430428,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430429,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430430,hide,hide,hide,hide,hide,她把手从钢琴上拿开。走到窗边。百叶窗的条纹落在她的和服上，把她分成了很多条。白的和服，暗的影。条纹。,Corridor,Coming_Dangerous,,,
10430431,hide,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430432,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Coming_Dangerous,,,
10430433,hide,hide,hide,hide,hide,慢了两分钟之后——你的位置正对着宴会厅的侧门。侧门外面是楼梯。楼梯下面是大门。你弹完最后一个音的时候，如果侧门开着——你就知道，该走了。,Club_door,Coming_Dangerous,,,
10430434,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430435,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430436,hide,hide,hide,hide,hide,夏实把手指从琴键上拿开。放在膝盖上。她看着乐谱上那个标题——「黄鹂」。字是五年前她自己写的。墨水已经褪色了，但笔迹还认得出来。那时候她刚从偶像团出来，以为自己的人生已经结束了。然后雪代给了她这架旧钢琴。说——「弹」。,Club_door,Coming_Dangerous,,,
10430437,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430438,黄鹂姬·日向夏实,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430439,hide,hide,hide,hide,hide,雪代姐。我问你一个问题。,Club_door,Coming_Dangerous,,,
10430440,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430441,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430442,hide,hide,hide,hide,hide,雪代没有转过来。她还在看窗外。,Club_door,Coming_Dangerous,,,
10430443,hide,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430444,黄鹂姬·日向夏实,hide,hide,hide,hide,,Club_door,Coming_Dangerous,,,
10430445,hide,hide,hide,hide,hide,你是准备让我们跑——还是准备让我们看？,Club_door,Mixed_Emotion,,,
10430446,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10430447,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10430448,hide,hide,hide,hide,hide,钢琴房里安静了很久。只有百叶窗被风吹动的轻微响声。然后雪代转过来。她看着夏实。眼神和平时一样平静。但她的嘴唇动了一下——不是要说话。是某种更小的东西。像是嘴里有一颗苦药，化了很久。,Club_door,Silent_Night,,,
10430449,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10430450,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10430451,hide,hide,hide,hide,hide,跑。或者看。由你们自己选。,Club_door,Silent_Night,,,
10430452,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
