ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10560401,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560402,hide,hide,hide,hide,hide,,DressingRoom,Coming_Dangerous,,,
10560403,hide,hide,hide,hide,hide,下午三点。景子坐在休息室靠窗的位置。手里握着翻盖机。屏幕亮着。上面是一串号码——不是她存的。是陌生号码。她把手机翻过来翻过去。翻盖机开合的声音在安静的休息室里很脆。她的手指在键盘上停了一下。然后合上手机。然后又翻开。,RestRoom,Unreal_Memory,,,
10560404,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10560405,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10560406,hide,hide,hide,hide,hide,空气里有很淡的烟味。不是她抽的——是窗外飘进来的。大概是有人在院子里烧落叶。那种烧落叶的甜味混着秋天的凉空气。还有她身上的洗衣液柠檬味。还有更淡的——紧张时手心里的汗味。很轻。但确定。,RestRoom,Coming_Dangerous,,,
10560407,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560408,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560409,hide,hide,hide,hide,hide,今天上午。小澪的学校打来电话。不是学校——是一个男人。说他是学校教务处的。问小澪的家庭住址。我说——家庭住址你们不是有吗。他说——档案上的地址不完整。需要补充。我说——你发邮件。他挂了。,RestRoom,Coming_Dangerous,,,
10560410,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560411,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560412,hide,hide,hide,hide,hide,她把手机放在膝盖上。屏幕暗了。她看着屏幕上的反光。反光里是她的脸。模糊的。,RestRoom,Coming_Dangerous,,,
10560413,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560414,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560415,hide,hide,hide,hide,hide,我打回学校。学校说没有打过这个电话。那个号码——是公用电话。大阪市区的。不是奈良。是大阪。,RestRoom,Coming_Dangerous,,,
10560416,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560417,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560418,hide,hide,hide,hide,hide,她停了一下。把手放在手机屏幕上。压着。像在压住什么。,RestRoom,Coming_Dangerous,,,
10560419,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560420,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560421,hide,hide,hide,hide,hide,黑田议员。他还在找小澪。我以为她去了寄宿学校——就安全了。但寄宿学校的门卫——能挡住一般人。挡不住议员。如果他真的想查——查得到。只是时间问题。,RestRoom,Coming_Dangerous,,,
10560422,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560423,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560424,hide,hide,hide,hide,hide,她抬起头。看着我。眼睛里没有泪。但有某种比泪更硬的东西——是恐惧被压到最底下之后剩下的那层壳。,RestRoom,Coming_Dangerous,,,
10560425,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560426,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560427,hide,hide,hide,hide,hide,明天晚上。如果村上道也倒了。黑田议员也会倒。他是村上的人。但如果村上没倒——黑田会来找我。会来找小澪。经理。我不是怕他来找我。我是怕他去找小澪。,RestRoom,Coming_Dangerous,,,
10560428,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560429,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560430,hide,hide,hide,hide,hide,她站起来。走到窗边。把窗户推开。外面的烧落叶烟味涌进来。更浓了。她深吸了一口气。然后转回来。,RestRoom,Coming_Dangerous,,,
10560431,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560432,巢燕姬·谷川景子,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10560433,hide,hide,hide,hide,hide,明天。必须成。不是为了正义。是为了小澪。我的正义——就是她。,RestRoom,Coming_Dangerous,,,
10560434,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
