ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10380700,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380701,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380702,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380703,hide,hide,hide,hide,hide,我回到事务所的时候，翻盖机的屏幕在闪。打开。七个未接来电。全部来自莉香。时间从八点十五分到十点四十分。每隔二十分钟打一次。,RestRoom,Silent_Night,,,
10380704,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380705,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380706,hide,hide,hide,hide,hide,窗外的风又大起来了——台风眼过去了。雨重新打在窗户上，比之前更猛。手机的信号条只有一格。我试着拨回去。忙音。再拨。忙音。台风可能冲断了某个基站。,RestRoom,Unreal_Memory,,,
10380707,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380708,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380709,hide,hide,hide,hide,hide,我看着她打来的时间。八点十五分——停电之后不久。八点三十五分——台风最猛的时候。九点——大概是听到了什么消息。九点二十分。九点四十分。十点。十点二十分。十点四十分。,RestRoom,Unreal_Memory,,,
10380710,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380711,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380712,hide,hide,hide,hide,hide,每二十分钟一次。精确得可怕。像是设置了闹钟。或者像是坐在电话旁边，一直看着时钟。,RestRoom,Unreal_Memory,,,
10380713,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380714,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380715,hide,hide,hide,hide,hide,我给她发了一条短信。只有两个字。「活着」。信号转了十几秒，发送成功。然后手机屏幕暗了。我把它放在枕头旁边。屏幕面朝上。这样如果有来电，蓝光会照亮天花板。,RestRoom,Unreal_Memory,,,
10380716,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380717,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380718,hide,hide,hide,hide,hide,外面的风在吼。雨在打。手机没有再亮。但我知道她会收到那两个字。,RestRoom,Unreal_Memory,,,
10380719,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
