ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570601,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570602,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10570603,hide,hide,hide,hide,hide,深夜十一点。天台上只有雪代一个人。她站在围栏旁边。没有穿和服——穿了一件白色的浴衣。头发放下来了。黑色长发在夜风里轻轻动。没有戴白色羽毛发饰。发饰大概放在房间里了。她手里拿着一个茶杯。不是大麦茶——是清酒。清酒的气味很淡，被夜风吹散了大部分。,Rooftop,Silent_Night,,,
10570604,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570605,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570606,hide,hide,hide,hide,hide,天台的空气很冷。不是冬天的冷——是秋天的冷。夜风里有远处电车轨道的金属味——那种电刷摩擦之后产生的臭氧味。还有更远的，大概是河水的味道。很淡。但很确定。雪代没有回头。她知道我上来了。但她没有动。只是站在那里。看着远处的城市。城市的灯光在阴天的云层下面形成一圈橙色的晕。,Rooftop,Silent_Night,,,
10570607,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570608,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570609,hide,hide,hide,hide,hide,我走到她旁边。站住。没有靠得太近。和她隔了一个人的距离。她还是没有说话。把清酒喝了一口。然后放下杯子。杯底碰在水泥围栏上发出很轻的响。,Rooftop,Silent_Night,,,
10570610,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570611,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570612,hide,hide,hide,hide,hide,明天。晚宴。我会站在村上旁边。,Rooftop,Silent_Night,,,
10570613,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570614,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570615,hide,hide,hide,hide,hide,她的声音很轻。不是故意轻——是夜风把声音吹散了。她转过头看我。头发被风吹到脸前，她用手拨开。动作很慢。,Rooftop,Silent_Night,,,
10570616,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570617,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570618,hide,hide,hide,hide,hide,他不会怀疑我。他从来不怀疑我。因为在他眼里——我是他的人。一直都是。三年前是。三年后也是。,Rooftop,Silent_Night,,,
10570619,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570620,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570621,hide,hide,hide,hide,hide,她停了一下。看着手里的酒杯。清酒在杯子里晃动。很小的幅度。,Rooftop,Silent_Night,,,
10570622,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570623,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570624,hide,hide,hide,hide,hide,但你知道。我不是他的人。我从来不是。,Rooftop,Silent_Night,,,
10570625,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570626,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570627,hide,hide,hide,hide,hide,她抬起头。看着我。夜风把她的头发又吹到脸前。这次她没有拨。头发遮住了半边脸。只露出一只眼睛。那只眼睛在夜色里几乎看不出颜色——不是浅色的，也不是深色的。是夜晚的颜色。,Rooftop,Silent_Night,,,
10570628,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570629,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570630,hide,hide,hide,hide,hide,明天。我会做选择。不是为你。不是为俱乐部。是为我自己。三年前——雪鹤姐做选择的时候。我不在。明天——我会在。,Rooftop,Silent_Night,,,
10570631,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570632,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570633,hide,hide,hide,hide,hide,她把手里的酒杯放在围栏上。然后转身。走了。浴衣的下摆擦过地面，发出很细的声音。她走到天台门口。停了一下。没有回头。,Rooftop,Silent_Night,,,
10570634,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570635,白鹤姬·桂原雪代,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570636,hide,hide,hide,hide,hide,晚安。哲也。,Rooftop,Silent_Night,,,
10570637,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570638,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10570639,hide,hide,hide,hide,hide,天台门关了。只剩下夜风和围栏上半杯清酒。我走过去。把酒杯拿起来。清酒还是凉的。我喝了一口。不是好酒。很普通。但很暖。从喉咙一直暖到胸口。天台下面——城市的灯光开始灭了。一盏一盏。不是同时。像有人在沿着街关灯。,Rooftop,Unreal_Memory,,,
10570640,hide,hide,hide,hide,hide,,Rooftop,Unreal_Memory,,,
