ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10151001,hide,hide,hide,hide,hide,我向前迈了一步。肩膀插进了豹纹衬衫和谷川景子之间。,Bed_Store,,,,
10151002,我,hide,hide,hide,hide,……有什么事吗。
10151003,hide,hide,hide,hide,hide,豹纹衬衫上下打量我。,Bed_Store,,,,
10151004,陌生男子A,hide,hide,hide,hide,啊？你是谁？,Bed_Store,,,,
10151005,我,hide,hide,hide,hide,她的同事。,Bed_Store,,,,
10151006,陌生男子A,hide,hide,hide,hide,同事？——哦，拉皮条的。,Bed_Store,,,,
10151007,hide,hide,hide,hide,hide,他的手朝我肩膀推过来。,Bed_Store,,,,
10151008,hide,hide,hide,hide,hide,没有躲。右手扣住他的手腕——拇指压腕关节内侧，四指扣住外侧，向外翻转。,Bed_Store,,,,
10151009,hide,hide,hide,hide,hide,不需要力气。只需要角度。,Bed_Store,,,,
10151010,hide,hide,hide,hide,hide,豹纹衬衫的脸抽了一下。,Bed_Store,,,,
10151011,我,hide,hide,hide,hide,……这里是公共场合。,Bed_Store,,,,
10151012,我,hide,hide,hide,hide,那边的店员电话已经拿在手上了。你想留记录吗。,Bed_Store,,,,
10151013,hide,hide,hide,hide,hide,豹纹衬衫回头看了一眼。店员确实举着座机话筒，手指停在按键上。,Bed_Store,,,,
10151014,陌生男子A,hide,hide,hide,hide,……啧。,Bed_Store,,,,
10151015,hide,hide,hide,hide,hide,甩开我的手，揉了揉手腕。两人推开门走了。玻璃门弹回，风铃叮当作响。,Bed_Store,,,,
10151016,hide,hide,hide,KazukoTanikawa_daily,hide,谷川景子还保持着挡在女儿前面的姿势。指节泛白。,Bed_Store,,,,
10151017,小女孩,hide,hide,KazukoTanikawa_daily,hide,……妈妈。,Bed_Store,,,,
10151018,hide,hide,hide,KazukoTanikawa_daily,hide,小澪的声音很细。小手攥着妈妈的衣角。,Bed_Store,,,,
10151019,巢燕姬·谷川景子,hide,hide,KazukoTanikawa_daily,hide,没事。妈妈没事。,Bed_Store,,,,
10151020,hide,hide,hide,KazukoTanikawa_daily,hide,蹲下去，把女儿抱进怀里。然后，很轻地说——,Bed_Store,,,,
10151021,巢燕姬·谷川景子,hide,hide,KazukoTanikawa_daily,hide,……谢谢你，经理。,Bed_Store,,,,
10151022,hide,hide,hide,KazukoTanikawa_daily,hide,没有抬头。声音很低，带着被看到狼狈的不甘。,Bed_Store,,,,
10151023,我,hide,hide,KazukoTanikawa_daily,hide,……不用。,Bed_Store,,,,
10151024,hide,hide,hide,KazukoTanikawa_daily,hide,她抱起小澪，站起来。,Bed_Store,,,,
10151025,巢燕姬·谷川景子,hide,hide,KazukoTanikawa_daily,hide,那些人……之前在店里骚扰过我。被店长警告过几次就没怎么来了。没想到会在这里碰到。,Bed_Store,,,,
10151026,hide,hide,hide,KazukoTanikawa_daily,hide,顿了一下。舌尖舔了舔干裂的下唇。,Bed_Store,,,,
10151027,巢燕姬·谷川景子,hide,hide,KazukoTanikawa_daily,hide,刚才他说的"身体不舒服"……那天是小澪发烧了。我真的去不了。可是在那种地方，跟那种人说"我女儿发烧了"……,Bed_Store,,,,
10151028,hide,hide,hide,KazukoTanikawa_daily,hide,没说完。嘴唇抿成一条线。,Bed_Store,,,,
10151029,hide,hide,hide,KazukoTanikawa_daily,hide,我看着她。卸了妆之后，眼角细纹和发干的嘴唇，比任何话语都清楚。,Bed_Store,,,,
10151030,hide,hide,hide,KazukoTanikawa_daily,hide,她调整了一下抱女儿的姿势。小澪趴在妈妈肩头，已经有些昏昏欲睡。,Bed_Store,,,,
10151031,巢燕姬·谷川景子,hide,hide,KazukoTanikawa_daily,hide,我先带她回去了。经理……谢谢你。,Bed_Store,,,,
10151032,我,hide,hide,KazukoTanikawa_daily,hide,路上小心。,Bed_Store,,,,
10151033,hide,hide,hide,hide,hide,她抱着女儿走出去。阳光洒在母女身上。小澪的羊角辫被风吹得轻轻晃动。,Bed_Store,,,,
10151034,hide,hide,hide,hide,hide,背影消失在街角。转回身，看着店员。,Bed_Store,,,,
10151035,寝具店员,hide,hide,hide,hide,客人……刚才那两个人，要不要报警？,Bed_Store,,,,
10151036,我,hide,hide,hide,hide,……不用。不会再来了。,Bed_Store,,,,
10151037,寝具店员,hide,hide,hide,hide,这样啊……那个，送货的话现在要等一个小时。大概傍晚六点才能送到。,Bed_Store,,,,
10151038,hide,hide,hide,hide,hide,六点。俱乐部四点半开门。不可能在家等。,Bed_Store,,,,
10151039,我,hide,hide,hide,hide,……地址换了。送到"十二飞鸟"俱乐部。,Bed_Store,,,,
10151040,hide,hide,hide,hide,hide,店员记下新地址，表情没有变化——这条街上的人早就习惯了。,Bed_Store,,,,
10151041,寝具店员,hide,hide,hide,hide,明白了。傍晚六点左右送到。,Bed_Store,,,,
10151042,hide,hide,hide,hide,hide,付了钱，走出寝具店。太阳偏西了，商店街的人多了起来。章鱼烧摊位飘来酱汁的焦香。,Shopping_Street,,,,
10151043,hide,hide,hide,hide,hide,站在原地。想起刚才扣住豹纹衬衫手腕的瞬间。他脸上的表情不是愤怒——是恐惧。条件反射般的恐惧。,Shopping_Street,,,,
10151044,hide,hide,hide,hide,hide,他在怕什么。我的手势？还是别的什么。,Shopping_Street,,,,
10151045,hide,hide,hide,hide,hide,算了。夜晚的俱乐部不等人。,Shopping_Street,,,"loadScript(Day_4_evening_HinaCuckoo,10160001)",
