ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10010500,hide,hide,hide,hide,hide,经理看起来还年轻。有孩子吗？,Manager_Office,Mixed_Emotion,,,
10010501,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010502,hide,hide,hide,hide,hide,……没有。,Manager_Office,Mixed_Emotion,,,
10010503,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010504,hide,hide,hide,hide,hide,那就好。,Manager_Office,Mixed_Emotion,,,
10010505,hide,hide,hide,hide,hide,在这里工作，最好不要有太多牵挂。,Manager_Office,Mixed_Emotion,,,
10010506,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010507,hide,hide,hide,hide,hide,她说这话时，目光飘向窗外。远处，心斋桥的霓虹灯已经全部亮起，将夜空染成不夜的颜色。,Manager_Office,Mixed_Emotion,,,
10010508,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010509,hide,hide,hide,hide,hide,我要去准备了，我会记得补妆的，请经理放心！,Manager_Office,Mixed_Emotion,,,
10010510,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010511,hide,hide,hide,hide,hide,她转身离开。走到门口时，那本儿童读物从包里滑落，“啪”地掉在地上。,Manager_Office,Mixed_Emotion,,,
10010512,hide,hide,hide,hide,hide,她慌忙捡起，紧紧抱在胸前。,Manager_Office,Mixed_Emotion,,,
10010513,巢燕姬·谷川景子,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010514,hide,hide,hide,hide,hide,……失礼了。,Manager_Office,Mixed_Emotion,,,
10010515,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010516,hide,hide,hide,hide,hide,门关上。,Manager_Office,Mixed_Emotion,,,
10010517,hide,hide,hide,hide,hide,我坐在办公椅上，看向桌面上神乐坂紫留下的那张愚者牌——她忘记拿走了。,Manager_Office,Mixed_Emotion,,,
10010518,hide,hide,hide,hide,hide,——果然是一个冒失的涩谷辣妹。,Manager_Office,Mixed_Emotion,,,
10010519,hide,hide,hide,hide,hide,牌面上的年轻人笑容灿烂，仰头看着天空，对脚下的悬崖浑然不觉。,Manager_Office,Mixed_Emotion,,,
10010520,hide,hide,hide,hide,hide,窗外的霓虹灯光越来越亮。街道上传来隐约的音乐声、笑声、汽车的喇叭声。,Manager_Office,Mixed_Emotion,,,
10010521,hide,hide,hide,hide,hide,而在“十二飞鸟”俱乐部里，夜晚才刚刚开始。,Manager_Office,Mixed_Emotion,,,
10010522,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010523,hide,hide,hide,hide,hide,七点的钟声，从远处寺庙传来。,Manager_Office,Mixed_Emotion,,,
10010524,hide,hide,hide,hide,hide,低沉，悠长，像某种宣告。,Manager_Office,Mixed_Emotion,,,
10010525,hide,hide,hide,hide,hide,我站起身，整理了一下西装领带。,Manager_Office,Mixed_Emotion,,,
10010526,hide,hide,hide,hide,hide,镜子里的人，有一双“太干净的眼睛”。,Manager_Office,Mixed_Emotion,,,
10010527,hide,hide,hide,hide,hide,作为一名合格的卧底，可能让它快点“不干净”，才是我要做的事情。,Manager_Office,Mixed_Emotion,,,
10010528,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10010500,hide,hide,hide,hide,hide,诶，酒不错嘛。,Club_door,Mixed_Emotion,,,
10010501,hide,hide,hide,hide,hide,第一天怎么样，经理先生？听说经理身经百战，应该适应得很好吧~,Club_door,Mixed_Emotion,,,
10010502,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,淡淡地
10010503,hide,hide,hide,hide,hide,朱雀，注意礼节。,Club_door,Mixed_Emotion,,,
10010504,朱雀姬·Linda,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,举起双手
10010505,hide,hide,hide,hide,hide,抱歉抱歉。在我们那儿，下班后大家都是朋友。,Club_door,Mixed_Emotion,,,
10010506,hide,hide,hide,hide,hide,不过说真的，你适应得比我想象的快。,Club_door,Mixed_Emotion,,,
10010507,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10010508,hide,hide,hide,hide,hide,她靠近一些，蓝色的眼睛在灯光下像是猫科动物。,Club_door,Mixed_Emotion,,,
10010509,朱雀姬·Linda,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10010510,hide,hide,hide,hide,hide,有什么秘诀吗？还是说……,Club_door,Mixed_Emotion,,,
10010511,hide,hide,hide,hide,hide,经理你就是天生擅长这个？,Club_door,Mixed_Emotion,,,
10010512,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10010513,hide,hide,hide,hide,hide,天生擅长？那可能对我这个警察来说也未免有些讽刺……,Club_door,Mixed_Emotion,,,
10010514,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10010515,hide,hide,hide,hide,hide,……咳咳，也许是吧。,Club_door,Mixed_Emotion,,,
10010516,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,轻声）Linda。
10010517,朱雀姬·Linda,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10010518,hide,hide,hide,hide,hide,好吧，好吧，不打扰你们开会了。,Club_door,Mixed_Emotion,,,
10010519,hide,hide,hide,hide,hide,我只是来告别的。明天我要陪一个法国人去神户，三天后回来。,Club_door,Mixed_Emotion,,,
10010520,hide,hide,hide,hide,hide,byebye~☆,Club_door,Mixed_Emotion,,,
10010521,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10010522,hide,hide,hide,hide,hide,房间里瞬间安静。,Club_door,Silent_Night,,,
10010523,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
10010524,hide,hide,hide,hide,hide,门关上后，房间里只剩下我和桂原雪代。,Club_door,Silent_Night,,,
10010525,hide,hide,hide,hide,hide,她重新坐回茶几前，开始收拾酒杯。,Club_door,Silent_Night,,,
10010526,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_door,Silent_Night,,,平静地
10010527,hide,hide,hide,hide,hide,Linda是俄罗斯人，但母亲是日本人。她在五个国家长大，会七种语言。,Club_door,Silent_Night,,,
10010528,hide,hide,hide,hide,hide,这些女人各有各的麻烦，不过，也各有各的用处。,Club_door,Silent_Night,,,
10010529,hide,hide,hide,hide,hide,,Club_door,Silent_Night,,,
