ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550301,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550302,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550303,hide,hide,hide,hide,hide,大厅里的长桌已经摆好了。不是平时那种分散的小圆桌——是一张很长的桌子，从大厅这头一直延伸到那头。桌面是深色的木头，刚打过蜡，光可鉴人。桌布还没铺——叠得整整齐齐地放在旁边的推车上。白色的。浆过的。摸上去会有一点硬。,Club_lobby,Silent_Night,,,
10550304,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550305,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10550306,hide,hide,hide,hide,hide,空气里有打蜡的味道——蜂蜡，混着松节油。那种味道很浓，但不刺鼻。是温暖的木头味。窗外的阳光从侧窗斜进来，落在长桌上，把桌面照出一条很长的光带。光带里有细小的灰尘在慢慢飘。育子站在长桌旁边。手里拿着一张座次表。纸上画着格子，格子里写着名字。她的字已经比刚来的时候工整了很多——不再像挤出来的了。,Club_lobby,Warm_Encounter,,,
10550307,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550308,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550309,hide,hide,hide,hide,hide,她弯腰。把座次牌一个一个放在桌上。座次牌是白色的小卡片，折成三角，上面用毛笔写着名字。她的动作很慢——每放一个之前都要看一眼座次表，再确认一遍位置。放好之后还要退后一步，从远处看——看那个座次牌有没有歪。歪了就重新摆。摆正了才走。,Club_lobby,Warm_Encounter,,,
10550310,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550311,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550312,hide,hide,hide,hide,hide,村上道也——主位对面。制药公司社长——村上右边。黑田议员——左边第三个。警察厅的人——右边第四个。,Club_lobby,Warm_Encounter,,,
10550313,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550314,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550315,hide,hide,hide,hide,hide,她小声念着。像是在背诵课文。手指在座次表上一行一行地移。走到长桌的中间位置——主位。她停住了。主位的座次牌是单独放的——不是白色卡片，是一张深红色的。上面写着——「桂原雪代」。毛笔字。不是印刷体。大概是雪代自己写的。,Club_lobby,Warm_Encounter,,,
10550316,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550317,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550318,hide,hide,hide,hide,hide,育子把雪代的座次牌放在主位上。放下去的时候很轻。然后她拿起另一张座次牌——白色的。上面写着——「黑羽哲也」。她看着这张卡片。看了很久。然后抬头。看着长桌的布局。她的目光在主位旁边来回移动——左边，右边。左边光线暗，下午的时候会被柱子挡住。右边——右边有窗。下午的光从右边进来。,Club_lobby,Warm_Encounter,,,
10550319,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550320,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550321,hide,hide,hide,hide,hide,那个位置光线好。,Club_lobby,Warm_Encounter,,,
10550322,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550323,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550324,hide,hide,hide,hide,hide,她把我的座次牌放在雪代右手边。放下去的时候手没有抖。然后退后一步。从远处看。她的头微微歪着——像在看一幅画有没有挂正。然后她点了点头。很小的幅度。但很确定。,Club_lobby,Warm_Encounter,,,
10550325,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550326,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550327,hide,hide,hide,hide,hide,这样你就能看清楚所有人的脸。,Club_lobby,Warm_Encounter,,,
10550328,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550329,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550330,hide,hide,hide,hide,hide,"她说这句话的时候没有看我。但她把""你""这个字说得比别的字重一点。然后她继续往前走。继续放座次牌。白鹤姬——主位。黑羽哲也——右手第一。朱雀姬——左手第一。青鹭姬——右手第二。黄鹂姬——左手第二。一个一个。她的手指在座次表上移到最后一个名字——春奈。她把春奈的座次牌放在长桌最末端。靠近门的位置。",Club_lobby,Warm_Encounter,,,
10550331,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550332,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550333,hide,hide,hide,hide,hide,春奈姐——靠门。这样她可以随时出去。变一个人。再进来。,Club_lobby,Warm_Encounter,,,
10550334,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550335,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550336,hide,hide,hide,hide,hide,"她说完这句话之后自己笑了一下。不是那种""觉得自己很聪明""的笑。是那种——""我已经能想到这些了""的笑。她把座次表折起来。放进口袋里。然后走到推车前，把桌布抱起来。白色桌布很重。她抱起来的时候身子晃了一下。但她站稳了。把桌布抖开。布在空气中展开——像一面帆。然后落下来，盖在长桌上。桌布落定的时候发出一声很轻的噗声。",Club_lobby,Warm_Encounter,,,
10550337,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550338,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
10550339,hide,hide,hide,hide,hide,空气里的蜂蜡味被桌布的浆粉味盖过了。那种味道很干净。很白。像刚洗过的床单。育子沿着长桌走。把桌布的褶皱用手掌抚平。一下一下。从主位开始。抚到长桌末端。她的手掌在白色桌布上留下很浅的掌印。掌印很快就消失了。但她继续抚。继续。直到桌面上没有任何褶皱。,Club_lobby,Warm_Encounter,,,
10550340,hide,hide,hide,hide,hide,,Club_lobby,Warm_Encounter,,,
