ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040500,hide,hide,hide,hide,hide,……我今天已经下班了。,BedStore,Coming_Dangerous,,,
10040501,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040502,陌生男子A,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040503,hide,hide,hide,hide,hide,下班？哈，你们这种女人还分上下班？,BedStore,Coming_Dangerous,,,
10040504,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040505,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040506,hide,hide,hide,hide,hide,往前走了一步。谷川景子没有后退——因为女儿在身后。手在发抖，但脚步没有动。,BedStore,Coming_Dangerous,,,
10040507,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040508,陌生男子A,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040509,hide,hide,hide,hide,hide,"上次我朋友去店里，你说什么来着？""今天身体不舒服""？结果三次去，三次都找借口。嫌我们钱不够？",BedStore,Coming_Dangerous,,,
10040510,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040511,陌生男子B,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040512,hide,hide,hide,hide,hide,大哥，这种女人不给点颜色看看是不行的。,BedStore,Coming_Dangerous,,,
10040513,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040514,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040515,hide,hide,hide,hide,hide,……请你们出去。,BedStore,Coming_Dangerous,,,
10040516,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040517,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040518,hide,hide,hide,hide,hide,豹纹衬衫嗤笑了一声，伸手朝她的手臂抓过去。,BedStore,Unreal_Memory,,,
10040519,hide,hide,hide,hide,hide,而我——,BedStore,Unreal_Memory,,,
10040520,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040521,hide,hide,hide,hide,hide,※ 选择：上前阻止 / 袖手旁观,BedStore,Unreal_Memory,,,选择分支标记
10040522,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040524,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040525,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040526,hide,hide,hide,hide,hide,我向前迈了一步。肩膀插进了豹纹衬衫和谷川景子之间。,BedStore,Unreal_Memory,,,
10040527,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040528,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040529,hide,hide,hide,hide,hide,……有什么事吗。,BedStore,Unreal_Memory,,,
10040530,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040531,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040532,hide,hide,hide,hide,hide,豹纹衬衫上下打量我。,BedStore,Unreal_Memory,,,
10040533,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
