ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10100401,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10100402,hide,hide,hide,hide,hide,,Club_away,Mixed_Emotion,,,
10100403,hide,hide,hide,hide,hide,下午三点半。走廊里还没开主灯。只有墙角的应急灯投下几片昏黄的扇形光斑。,Corridor,Mixed_Emotion,,,
10100404,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10100405,hide,hide,hide,hide,hide,我正往办公室走，路过化妆间时，听到里面有人在说话。声音很耳熟——低沉的、带着一点沙哑的男声。那是我自己的声音。,Manager_Office,Mixed_Emotion,,,
10100406,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100407,hide,hide,hide,hide,hide,推开门。,Manager_Office,Mixed_Emotion,,,
10100408,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100409,hide,hide,hide,hide,hide,"木岛春奈站在化妆镜前。她穿着我上次落在办公室里的备用西装——袖口卷了两圈，肩线松垮地挂在她的肩头。头发被她藏在假发网里，脸上戴着某种极薄的半透明面具。从镜子里看——那是一个比我年轻五岁的""黑羽经理""。",Manager_Office,Mixed_Emotion,,,
10100410,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100411,hide,hide,hide,hide,hide,她把手里那杯水放下。然后站起来。从椅子上拿起背包的时候肩带从左边滑到右边——那是我平时拿包的习惯。她连这个都复制了。,Manager_Office,Mixed_Emotion,,,
10100412,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100413,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100414,hide,hide,hide,hide,hide,经理。你觉得——如果有一天我替你去见一个人。那个人会发现吗。,Manager_Office,Mixed_Emotion,,,
10100415,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100416,hide,hide,hide,hide,hide,"这句话从""我自己的脸""上说出来，让我的后背凉了一瞬间。",Manager_Office,Mixed_Emotion,,,
10100417,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100418,hide,hide,hide,hide,hide,"她把假发网摘下来。红色的长发垂到肩上。狐狸发卡在镜前灯下闪了一下。她转身面对我，那张仿妆面具还没撕——我的脸，她的眼睛。红色的瞳孔在那张""我的脸""上显得极其不协调——像是一张复印纸被人用红色签字笔重新点了两个点。",Manager_Office,Mixed_Emotion,,,
10100419,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100420,诡鹀姬·木岛春奈,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100421,hide,hide,hide,hide,hide,——吓到了？我只是练习一下啦。,Manager_Office,Mixed_Emotion,,,
10100422,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100423,hide,hide,hide,hide,hide,"她把面具撕下来。哗的一声。下面的真脸露出来——红色的眼睛笑成两条弯弯的弧线，小虎牙露出来，完全没有了刚才那个""黑羽经理""的压迫感。短短的几秒钟里她完成了一次人格切换。不是化妆。是连骨骼的走向都改变了。",Manager_Office,Mixed_Emotion,,,
10100424,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100425,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100426,hide,hide,hide,hide,hide,……你练这个多久了。,Manager_Office,Mixed_Emotion,,,
10100427,hide,hide,hide,hide,hide,,Manager_Office,Mixed_Emotion,,,
10100428,诡鹀姬·木岛春奈,hide,hide,hide,hide,不知道——从我记得起就在练了。小时候模仿老师，大人觉得是恶作剧。后来长大了，发现这个可以换钱。,Manager_Office,Mixed_Emotion,,,
