ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10190301,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190302,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190303,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10190304,hide,hide,hide,hide,hide,醒来的时候，手还攥着钥匙。,Apartment,Mixed_Emotion,,,
10190305,hide,hide,hide,hide,hide,,Apartment,Mixed_Emotion,,,
10190306,hide,hide,hide,hide,hide,"黄铜被体温捂了一整夜，离开手指的瞬间是黏的。窗外天刚亮。灰蓝色的光从百叶窗的缝隙里一条一条落在床垫上。没有床架，垫子直接铺在地上。育子昨晚走的时候说""睡在地上比较安心""。我没问她为什么。但我知道她在说谎——她只是不想让我知道那张床垫原本是给我自己买的。",BedStore,Mixed_Emotion,,,
10190307,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10190308,hide,hide,hide,hide,hide,我把钥匙放进抽屉夹层。下面压着夜鸢姬三天前给我的那批情报。,BedStore,Mystery_Box,,,
10190309,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190310,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190311,hide,hide,hide,hide,hide,黑皮书的影印件——她只允许照相，不容许带走原页。照片上第一行的编号和日期旁边有她的指甲尖。红色指甲油，边缘完整。每次按下快门的时候她都在看着。,BedStore,Mystery_Box,,,
10190312,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190313,hide,hide,hide,hide,hide,我摊开记事本。,BedStore,Mystery_Box,,,
10190314,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190315,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190316,hide,hide,hide,hide,hide,第一行：制药公司物流记录。两个仓库地址——一个在港区，一个在品川。不是同一家制药公司，但用的是同一款货运箱。,BedStore,Mystery_Box,,,
10190317,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190318,hide,hide,hide,hide,hide,第二行：三个客人的名字。其中一个还活着。另外两个已经不在了。,BedStore,Mystery_Box,,,
10190319,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190320,hide,hide,hide,hide,hide,第三行用了问号开头——这说明连她都不确定。,BedStore,Mystery_Box,,,
10190321,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190322,hide,hide,hide,hide,hide,"""？组织上层有警方系统内的人。层级不明。推测课长以上。""",BedStore,Mystery_Box,,,
10190323,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190324,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190325,hide,hide,hide,hide,hide,课长以上。增田是课长。,BedStore,Mystery_Box,,,
10190326,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190327,hide,hide,hide,hide,hide,我把这一条用红笔圈了两遍。,BedStore,Mystery_Box,,,
10190328,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190329,hide,hide,hide,hide,hide,翻盖机震动了一下。佐藤。我接起来。,BedStore,Mystery_Box,,,
10190330,hide,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190331,佐藤正义,hide,hide,hide,hide,,BedStore,Mystery_Box,,,
10190332,hide,hide,hide,hide,hide,昨天深夜又死一个。淀川区。和前面几个的住址分布完全吻合。,BedStore,Silent_Night,,,
10190333,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190334,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190335,hide,hide,hide,hide,hide,……名字是谁。,BedStore,Silent_Night,,,
10190336,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190337,佐藤正义,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190338,hide,hide,hide,hide,hide,山下达彦。四十一岁。不动产公司部长。和你们俱乐部的铃木四郎——三个月前死在同一条后巷里的那位——是同一家公司的同一年入职的同事。,BedStore,Silent_Night,,,
10190339,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190340,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190341,hide,hide,hide,hide,hide,同一家公司。同一年入职。同一条后巷。,BedStore,Silent_Night,,,
10190342,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190343,hide,hide,hide,hide,hide,这不是巧合。,BedStore,Silent_Night,,,
10190344,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190345,佐藤正义,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190346,hide,hide,hide,hide,hide,黑羽。我不是增田。我不跟你客气。三天。三天之内如果再没有能上报的东西，上面会直接中止你的卧底。,BedStore,Silent_Night,,,
10190347,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190348,hide,hide,hide,hide,hide,……增田生前最后那条自动程序，已经有人开始注意到了。你再不交东西，撤的还是你。,BedStore,Silent_Night,,,
10190349,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190350,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190351,hide,hide,hide,hide,hide,知道了。,BedStore,Silent_Night,,,
10190352,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190353,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190354,hide,hide,hide,hide,hide,我挂掉电话。手指还按在合上的翻盖机上。金属壳上有一道旧划痕——不是我的。是增田留给我这部手机时就在的。,BedStore,Silent_Night,,,
10190355,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190356,hide,hide,hide,hide,hide,"第一天的时候他跟我说：""这个机，只能打给我。如果有一天你不打给我了——说明是我打不了了。""",BedStore,Silent_Night,,,
10190357,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10190358,hide,hide,hide,hide,hide,现在已经是他打不了了的第十天。,BedStore,Silent_Night,,,
10190359,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
