ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040101,hide,hide,hide,hide,hide,Day 4：十六岁的分水岭 (1401~1404),Club_away,Unreal_Memory,,,
10040201,hide,hide,hide,hide,hide,,Club_away,Unreal_Memory,,,
10040202,hide,hide,hide,hide,hide,[事件链],Club_away,Unreal_Memory,,,
10040203,hide,hide,hide,hide,hide,清晨 #10  SixteenDivide    莉香电话·十六岁往事（莉香★2）,Club_away,Unreal_Memory,,,
10040204,hide,hide,hide,hide,hide,下午 #11  BedStore→分支    寝具店偶遇巢燕姬母女（巢燕姬★2）,BedStore,Unreal_Memory,,,
10040205,hide,hide,hide,hide,hide,傍晚 #12  HinaCuckoo       雏鹃姬正式登场（雏鹃姬★1 + AddS_Char Oct）,BedStore,Unreal_Memory,,,
10040206,hide,hide,hide,hide,hide,深夜 #13  SixteenRoom      把床垫给育子·深夜对话（雏鹃姬★2）,BedStore,Silent_Night,,,
10040207,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040208,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040301,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040302,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040303,hide,hide,hide,hide,hide,早上七点三十分。,BedStore,Mixed_Emotion,,,
10040304,hide,hide,hide,hide,hide,我依然无法看见此时窗外的大阪。逼仄的建筑结构永远地限制着阳光进入我的房间。,BedStore,Mixed_Emotion,,,
10040305,hide,hide,hide,hide,hide,没有拉面店里蒸腾的热气，也没有警署里那些刺耳的电话铃声。,RamenShop,Mixed_Emotion,,,
10040306,hide,hide,hide,hide,hide,这间位于淀川区边缘、只有六叠大小的单身公寓里，安静得只能听到我自己的呼吸声。,Apartment,Silent_Night,,,
10040307,hide,hide,hide,hide,hide,以及壁纸在角落里因为潮湿而一点点剥离的、极其细微的撕裂声。,Apartment,Silent_Night,,,
10040308,hide,hide,hide,hide,hide,我躺在没有床垫的榻榻米上。坚硬的木地板直接顶着脊椎，泛起阵阵酸痛。,BedStore,Silent_Night,,,
10040309,hide,hide,hide,hide,hide,天花板上那块漏水留下的霉斑，我已经盯了四个早晨了。,BedStore,Silent_Night,,,
10040310,hide,hide,hide,hide,hide,一时间分不清自己是警察黑羽义，还是负债累累的经理黑羽哲也。,BedStore,Silent_Night,,,
10040311,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040312,hide,hide,hide,hide,hide,枕边的手机震动起来。,BedStore,Silent_Night,,,
10040313,hide,hide,hide,hide,hide,不是那部黑色的翻盖机——是我自己的智能手机。,BedStore,Silent_Night,,,
10040314,hide,hide,hide,hide,hide,屏幕上的名字是莉香。,BedStore,Silent_Night,,,
10040315,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10040316,hide,hide,hide,hide,hide,我用冰冷的手掌揉了揉僵硬的脸颊。指尖碰到的皮肤很粗糙。大概卧底的这四天，老得比之前三年都快。,BedStore,Coming_Dangerous,,,
10040317,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040318,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040319,hide,hide,hide,hide,hide,……喂，莉香。,BedStore,Coming_Dangerous,,,
10040320,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040321,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040322,hide,hide,hide,hide,hide,声音有些沙哑。不知道是没睡好，还是没喝水。,BedStore,Coming_Dangerous,,,
10040323,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040324,小林莉香,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040325,hide,hide,hide,hide,hide,早上好，哲也！你醒了吗？,BedStore,Mixed_Emotion,,,
10040326,hide,hide,hide,hide,hide,听你的声音，昨晚是不是又在加班了？,BedStore,Mixed_Emotion,,,
10040327,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040328,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040329,hide,hide,hide,hide,hide,嗯，刚醒。今天房间里好像有点冷。,BedStore,Mixed_Emotion,,,
10040330,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040331,小林莉香,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040332,hide,hide,hide,hide,hide,要注意身体哦，不能感冒了。,BedStore,Mixed_Emotion,,,
10040333,hide,hide,hide,hide,hide,哲也，你刚才接电话的声音，闷闷的。,BedStore,Mixed_Emotion,,,
10040334,hide,hide,hide,hide,hide,你记不记得你之前十六岁生日那天——我们规划好要去玩很多地方。,BedStore,Unreal_Memory,,,
10040335,hide,hide,hide,hide,hide,结果就突然感冒，生日前一天的声音就像现在一样。,BedStore,Unreal_Memory,,,
10040336,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040337,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040338,hide,hide,hide,hide,hide,十六岁。这个词像一颗石子丢进水面。,BedStore,Unreal_Memory,,,
10040339,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040340,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040341,hide,hide,hide,hide,hide,……我记得。,BedStore,Unreal_Memory,,,
10040342,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040343,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040344,hide,hide,hide,hide,hide,我怎么会不记得。那天晚上的海风很大，带着腥咸的潮气。书桌上铺满了小册子，我们用红笔画了无数圈——坐大巴去温泉町，再转电车去吃海胆饭。,BedStore,Unreal_Memory,,,
10040345,hide,hide,hide,hide,hide,但那天夜里，我的额头烫得像烧红的铁，喉咙干瘪得发不出声。,BedStore,Unreal_Memory,,,
10040346,hide,hide,hide,hide,hide,计划泡汤了。那是第一次明白，计划好的事情大多数不会按计划来。,BedStore,Unreal_Memory,,,
10040347,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040348,小林莉香,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040349,hide,hide,hide,hide,hide,那时候你为了能买两张去函馆看烟花大会的电车票，偷偷跑去码头帮那些老水手搬了一周的秋刀鱼。,BedStore,Unreal_Memory,,,
10040350,hide,hide,hide,hide,hide,结果车票买到了，来接我的时候，身上全是洗不掉的鱼腥味。,BedStore,Unreal_Memory,,,
10040351,hide,hide,hide,hide,hide,我当时真的好嫌弃你，哈哈哈哈！,BedStore,Unreal_Memory,,,
10040352,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040353,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040354,hide,hide,hide,hide,hide,她的笑声响亮而干净，透过听筒传过来，在这间六叠的昏暗房间里显得格外不真实。,Apartment,Unreal_Memory,,,
10040355,hide,hide,hide,hide,hide,笑完之后，她的声音低了下去。带着跨越时间的某种温柔。,Apartment,Warm_Encounter,,,
10040356,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040357,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040358,hide,hide,hide,hide,hide,……我记得。,Apartment,Warm_Encounter,,,
10040359,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040360,hide,hide,hide,hide,hide,,Apartment,Warm_Encounter,,,
10040361,hide,hide,hide,hide,hide,沉默。两个人都不知道该接什么。我在脑海里搜索新的话题，但搜到的全是不该告诉她的东西。,Apartment,Warm_Encounter,,,
10040362,hide,hide,hide,hide,hide,走廊里的白檀香。浴缸里的水汽。藏在预约表夹层里的黑色卡片。,Corridor,Slow_Lure,,,
10040363,hide,hide,hide,hide,hide,每一件都是她不该知道的事。,Corridor,Slow_Lure,,,
10040364,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10040365,小林莉香,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10040366,hide,hide,hide,hide,hide,好啦，不逗你了。,Corridor,Slow_Lure,,,
10040367,hide,hide,hide,hide,hide,所以一定要注意身体！,Corridor,Slow_Lure,,,
10040368,hide,hide,hide,hide,hide,对了，你今天一定要去买床垫。,BedStore,Slow_Lure,,,
10040369,hide,hide,hide,hide,hide,你上次拍给我的房间照片，空荡荡的，连个床垫都没有。你本来腰就不好，再睡地板迟早会累垮的。,BedStore,Slow_Lure,,,
10040370,hide,hide,hide,hide,hide,听到了没有？下午就去买，不许省这个钱。,BedStore,Slow_Lure,,,
10040371,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040372,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040373,hide,hide,hide,hide,hide,好，我一会儿洗个脸就去买。,BedStore,Slow_Lure,,,
10040374,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040375,小林莉香,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040376,hide,hide,hide,hide,hide,嗯，这还差不多。爱你，哲也。,BedStore,Slow_Lure,,,
10040377,hide,hide,hide,hide,hide,挂了哟~拜拜~,BedStore,Slow_Lure,,,
10040378,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040379,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040380,hide,hide,hide,hide,hide,好的~拜拜~,BedStore,Slow_Lure,,,
10040381,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040382,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040383,hide,hide,hide,hide,hide,"电话挂断。屏幕上那句""爱你""暗下去，变成一片漆黑。",BedStore,Slow_Lure,,,
10040384,hide,hide,hide,hide,hide,腰部和颈部同时袭来一阵僵硬感——不是疼痛，是那种更深层的、仿佛骨髓被抽空的重量。,BedStore,Slow_Lure,,,
10040385,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040386,hide,hide,hide,hide,hide,也许，我真的该去买个床垫了。,BedStore,Slow_Lure,,,
10040387,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040388,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040401,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040402,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040403,hide,hide,hide,hide,hide,下午两点十分。拱廊商店街的遮阳棚已经褪成灰白色，边缘的锈迹像枫叶一样蔓延。杂货铺、药妆店、古本屋挤在两侧，空气里有章鱼烧酱汁的焦香。,ShoppingStreet,Slow_Lure,,,
10040404,hide,hide,hide,hide,hide,,ShoppingStreet,Slow_Lure,,,
10040405,hide,hide,hide,hide,hide,"街的尽头是一家寝具店。玻璃门上贴着""决算特卖""的手写海报，红色颜料已经褪成浅粉。",BedStore,Slow_Lure,,,
10040406,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040407,hide,hide,hide,hide,hide,推门进去。新布料的味道混着防虫剂。店里从地板摞到天花板的床垫把空间挤压成一座软绵绵的迷宫。,BedStore,Slow_Lure,,,
10040408,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040409,hide,hide,hide,hide,hide,走到床垫区。挑了个最便宜的单人款，用手按了按——硬度适中。对我来说，能把硬地板和脊椎隔开就够了。,BedStore,Slow_Lure,,,
10040410,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040411,hide,hide,hide,hide,hide,店员费力地把床垫从货架上拖下来。就在这时，店门再次被推开。,BedStore,Slow_Lure,,,
10040412,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040413,hide,hide,hide,hide,hide,风铃响了。,BedStore,Slow_Lure,,,
10040414,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040415,小澪,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040416,hide,hide,hide,hide,hide,妈妈！你看那个枕头！有兔子耳朵的！,BedStore,Slow_Lure,,,
10040417,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040418,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040419,hide,hide,hide,hide,hide,我回头。门口站着一个穿鹅黄色连衣裙的小女孩。四五岁光景，羊角辫，小手指着货架上一只兔子抱枕。眼睛里装满了星星。,BedStore,Slow_Lure,,,
10040420,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040421,hide,hide,hide,hide,hide,牵着她的手的女人——我认出来了。,BedStore,Slow_Lure,,,
10040422,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040423,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040424,hide,hide,hide,hide,hide,小澪，声音太大了。,BedStore,Slow_Lure,,,
10040425,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040426,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040427,hide,hide,hide,hide,hide,谷川景子。没有那套暗红色的制服和妆容。米色开衫，深蓝长裙，头发随意扎在脑后。几乎素颜。,BedStore,Slow_Lure,,,
10040428,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040429,hide,hide,hide,hide,hide,"卸下""巢燕姬""面具之后，她看起来只是一个疲惫的母亲。眼角有细微的纹路，嘴唇颜色很淡，锁骨处的骨头微微凸出。",BedStore,Slow_Lure,,,
10040430,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040431,hide,hide,hide,hide,hide,她看见了我。愣了一下。然后下意识把女儿往身后拉了拉。,BedStore,Slow_Lure,,,
10040432,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040433,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040434,hide,hide,hide,hide,hide,……黑羽经理。,BedStore,Slow_Lure,,,
10040435,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040436,hide,hide,hide,hide,hide,,BedStore,Slow_Lure,,,
10040437,hide,hide,hide,hide,hide,声音明显紧张。我没说破——她大概在想，我是不是在跟踪她。,BedStore,Coming_Dangerous,,,
10040438,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040439,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040440,hide,hide,hide,hide,hide,买床垫。公寓里什么都没有。,Apartment,Coming_Dangerous,,,
10040441,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040442,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040443,hide,hide,hide,hide,hide,我指了指店员正在打包的单人床垫。她看了看床垫，又看了看我，紧绷的肩膀微微放松。,BedStore,Coming_Dangerous,,,
10040444,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040445,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040446,hide,hide,hide,hide,hide,这样啊……公寓里连床垫都没有吗。,Apartment,Coming_Dangerous,,,
10040447,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040448,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040449,hide,hide,hide,hide,hide,"语气从警惕变成了某种自然而然流露的担忧。在俱乐部里她很少这样说话。在俱乐部里，她是""巢燕姬""——一个专业的、成熟的、懂得保持距离的女人。而现在，她只是谷川景子。",Apartment,Coming_Dangerous,,,
10040450,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040451,小澪,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040452,hide,hide,hide,hide,hide,妈妈，这个叔叔是谁呀？,Apartment,Coming_Dangerous,,,
10040453,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040454,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040455,hide,hide,hide,hide,hide,小澪从妈妈身后探出半个脑袋。,Apartment,Coming_Dangerous,,,
10040456,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040457,巢燕姬·谷川景子,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040458,hide,hide,hide,hide,hide,是妈妈工作地方的……经理。叫黑羽叔叔。,Apartment,Coming_Dangerous,,,
10040459,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040460,小澪,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040461,hide,hide,hide,hide,hide,黑羽叔叔好！,Apartment,Coming_Dangerous,,,
10040462,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040463,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040464,hide,hide,hide,hide,hide,笑起来的时候，右脸颊一个浅浅的酒窝。,Apartment,Coming_Dangerous,,,
10040465,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040466,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040467,hide,hide,hide,hide,hide,……你好。,Apartment,Coming_Dangerous,,,
10040468,hide,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040469,小澪,hide,hide,hide,hide,,Apartment,Coming_Dangerous,,,
10040470,hide,hide,hide,hide,hide,叔叔也要买床垫吗？,BedStore,Coming_Dangerous,,,
10040471,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040472,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040473,hide,hide,hide,hide,hide,嗯。,BedStore,Coming_Dangerous,,,
10040474,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040475,小澪,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040476,hide,hide,hide,hide,hide,那叔叔家里也什么都没有吗？晚上睡在哪里呀？,BedStore,Coming_Dangerous,,,
10040477,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040478,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040479,hide,hide,hide,hide,hide,……地板。,BedStore,Coming_Dangerous,,,
10040480,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040481,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040482,hide,hide,hide,hide,hide,小澪瞪圆了眼睛，然后看妈妈。,BedStore,Coming_Dangerous,,,
10040483,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040484,小澪,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040485,hide,hide,hide,hide,hide,妈妈！叔叔好可怜！我们家里多的被子给叔叔好不好？,BedStore,Coming_Dangerous,,,
10040486,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040487,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040488,hide,hide,hide,hide,hide,谷川景子被逗得轻轻笑了一下——今天我看到她的第一个真正的笑容。,BedStore,Coming_Dangerous,,,
10040489,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040490,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040491,hide,hide,hide,hide,hide,小澪，叔叔不是没有被子，是还没买呢。对吧？,BedStore,Coming_Dangerous,,,
10040492,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040493,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040494,hide,hide,hide,hide,hide,……嗯。,BedStore,Coming_Dangerous,,,
10040495,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040496,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040497,hide,hide,hide,hide,hide,店员终于把床垫捆好了。问我要不要送货上门。我说好，报了淀川区的地址。,BedStore,Coming_Dangerous,,,
10040498,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040499,hide,hide,hide,hide,hide,就在这时，店门被猛地撞开。,BedStore,Coming_Dangerous,,,
10040500,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040501,陌生男子A,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040502,hide,hide,hide,hide,hide,找到了！,BedStore,Coming_Dangerous,,,
10040503,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040504,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040505,hide,hide,hide,hide,hide,两个男人闯进来。花哨的豹纹衬衫，粗金链子。另一个瘦高个，墨镜，半截纹身露出袖口。径直走向谷川景子。她本能地把小澪拉到身后，整个人僵住了。,BedStore,Coming_Dangerous,,,
10040506,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
