ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10320401,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10320402,hide,hide,hide,hide,hide,,Club_away,Mystery_Box,,,
10320403,hide,hide,hide,hide,hide,下午三点。舞台后面有一个布景仓库——堆着旧幕布、坏掉的灯具和几幅从来不用的背景板。灰尘很厚，空气里有积尘的干涩味，还有一种旧布料放久了的霉甜。夏实约我在这里见面——不在更衣室，不在休息室，不在任何会被路过的地方。,RestRoom,Mystery_Box,,,
10320404,hide,hide,hide,hide,hide,她靠在一卷旧幕布上，手里捏着一根没点燃的烟。烟纸被她捏出了褶皱。光线从仓库唯一的通风窗里照进来，在灰尘里拉出一道斜柱。光柱里的灰尘慢慢翻动。,RestRoom,Mystery_Box,,,
10320405,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320406,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320407,hide,hide,hide,hide,hide,我知道雪鹤姬最后见的客人是谁。,RestRoom,Mystery_Box,,,
10320408,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320409,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320410,hide,hide,hide,hide,hide,她把烟塞回烟盒。动作很用力——不是塞，是戳。,RestRoom,Mystery_Box,,,
10320411,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320412,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320413,hide,hide,hide,hide,hide,但我不能说。,RestRoom,Mystery_Box,,,
10320414,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320415,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320416,hide,hide,hide,hide,hide,……为什么。,RestRoom,Mystery_Box,,,
10320417,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320418,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320419,hide,hide,hide,hide,hide,她抬头看我。仓库里的光线只照到她半张脸。另一半在暗处。暗处那只眼睛里的东西比光里的多。,RestRoom,Mystery_Box,,,
10320420,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320421,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320422,hide,hide,hide,hide,hide,因为说了我也死。,RestRoom,Mystery_Box,,,
10320423,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320424,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320425,hide,hide,hide,hide,hide,她说这句话的时候没有抖。没有恐惧的生理反应。只有一个确定的事实被复述了一遍。,RestRoom,Coming_Dangerous,,,
10320426,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320427,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320428,hide,hide,hide,hide,hide,雪鹤姬死之前见过那个人。见完之后她来找我。她说——夏实，如果明天我不在，你什么都不要说。我问她为什么。她说因为你知道得越少越安全。我说我不怕。她说——你不怕，但我怕。我怕你替我死。,RestRoom,Coming_Dangerous,,,
10320429,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320430,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320431,hide,hide,hide,hide,hide,光柱里的灰尘翻了一个方向。通风窗的风向变了。,RestRoom,Coming_Dangerous,,,
10320432,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320433,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320434,hide,hide,hide,hide,hide,我答应了雪鹤姬。所以我现在不能告诉你那个人是谁。但我可以告诉你——那个人现在还活着。还在东京。还在我们身边。,RestRoom,Coming_Dangerous,,,
10320435,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320436,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320437,hide,hide,hide,hide,hide,……在俱乐部里吗。,RestRoom,Coming_Dangerous,,,
10320438,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320439,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320440,hide,hide,hide,hide,hide,她没有回答。把烟盒从口袋里掏出来又放回去。第三次了。然后她往门口走。走到一半停下来，没有回头。,RestRoom,Coming_Dangerous,,,
10320441,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320442,黄鹂姬·日向夏实,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320443,hide,hide,hide,hide,hide,"雪鹤姬说那句话的时候——她说""你替我死""——眼睛是笑着的。不是开心的笑。是那种已经把命算清楚了、最后留一个能省掉的零头的笑。",RestRoom,Coming_Dangerous,,,
10320444,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320445,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
10320446,hide,hide,hide,hide,hide,她走了。仓库门没关好，风把门推开了一条缝。光柱散了，灰尘均匀地沉在空气里。,RestRoom,Coming_Dangerous,,,
10320447,hide,hide,hide,hide,hide,,RestRoom,Coming_Dangerous,,,
