ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10210301,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210302,hide,hide,hide,hide,hide,,Manager_Office,Silent_Night,,,
10210303,hide,hide,hide,hide,hide,凌晨三点四十分。从俱乐部回来后没有睡。窗帘拉着，台灯开着。桌上摊着三样东西：昨晚在手机备忘录里记下的账簿片段、一张银鹮姬的名片、和一杯凉透了的速溶咖啡。咖啡表面结了一层薄薄的油膜，像池塘里的冰。窗外偶尔有早班卡车经过，引擎声很低，从墙壁传过来变成嗡嗡的震颤。,Cafe,Silent_Night,,,
10210304,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210305,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210306,hide,hide,hide,hide,hide,账簿上的数字在脑子里一遍一遍地转。代号后面跟着金额，金额后面跟着日期。不是俱乐部的流水。俱乐部的流水是整数，有零有整。账簿上的数字——全是整数。五十万。一百万。三百万。像是有人把零头都抹掉了。或者——这些数字本来就不是用来买东西的。,Cafe,Silent_Night,,,
10210307,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210308,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210309,hide,hide,hide,hide,hide,我把记得的几行写在纸上。笔尖戳破过两次。不是力气大，是纸太薄——便利店买的，最便宜的那种。灯光是黄色的，照在白纸上，那些数字看起来像某种已经灭绝的昆虫的残骸。,Cafe,Silent_Night,,,
10210310,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210311,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210312,hide,hide,hide,hide,hide,"有一个代号反复出现。不是人名。是一个符号——""P""。日期都很接近。金额很大。每一次""P""出现之后的三到五天，另一个代号就会出现。金额变小。像是——稀释。",Cafe,Silent_Night,,,
10210313,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210314,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,低声
10210315,hide,hide,hide,hide,hide,……洗。,Cafe,Silent_Night,,,
10210316,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210317,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10210318,hide,hide,hide,hide,hide,"这个词从嘴里出来的时候，舌尖尝到了一点点咖啡的苦味。不是咖啡本身——是那个字。我在纸上把""P""圈起来。然后在旁边写了两个字：凤凰。笔停在""凰""字上。墨水渗开，变成了一个很小的黑点。智能手机亮了——莉香。不是电话，是照片。她在图书馆拍的，桌上摊着厚厚的商科教材，配了一行字：""学期论文。快死了。"" 我打了两个字——""加油。"" 发送。然后继续看账簿。但那个""P""旁边多了一行墨迹——是我写""加油""的时候，笔尖在纸上多停了一下。窗外又有一辆卡车经过。灯光扫过窗帘，投在墙上的影子短暂地亮了一下，然后熄灭。",Cafe,Silent_Night,,,
10210319,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
