ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10060301,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10060302,hide,hide,hide,hide,hide,,Rooftop,Silent_Night,,,
10060303,hide,hide,hide,hide,hide,早上七点十五分。被翻盖机的震动声吵醒。,Rooftop,Mixed_Emotion,,,
10060304,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060305,hide,hide,hide,hide,hide,不是莉香的那种震动模式——更长、更急、像一根手指在不停地叩击桌面。是那部黑色翻盖机。,Rooftop,Mixed_Emotion,,,
10060306,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060307,hide,hide,hide,hide,hide,翻开机盖。屏幕上的蓝光刺得眼睛微微眯起。,Rooftop,Mixed_Emotion,,,
10060308,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060309,hide,hide,hide,hide,hide,加密消息。发件人：增田。,Rooftop,Mixed_Emotion,,,
10060310,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10060311,hide,hide,hide,hide,hide,"""第一周报告已读。白鹤姬香芬样本已送达分析课。结果预计三日内出。注意——近日不要在俱乐部内部讨论任何警方相关话题。走廊有耳。""",Corridor,Mixed_Emotion,,,
10060312,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060313,hide,hide,hide,hide,hide,"走廊有耳。这四个字比""注意安全""更有分量。增田说话向来如此——字少，但每个字都能嵌进你接下来一整天的警惕里。",Corridor,Mixed_Emotion,,,
10060314,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060315,hide,hide,hide,hide,hide,"我回复了一个字：""了解。""",Corridor,Mixed_Emotion,,,
10060316,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060317,hide,hide,hide,hide,hide,把翻盖机放进床头柜抽屉。然后躺回去。,Corridor,Mixed_Emotion,,,
10060318,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060319,hide,hide,hide,hide,hide,天花板上的霉斑还在。但今天看起来比昨天稍微黄了一点。大概是心理作用。,Corridor,Mixed_Emotion,,,
10060320,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10060321,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
