ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10380801,hide,hide,hide,hide,hide,,Club_Storage,Warm_Encounter,,,
10380802,hide,hide,hide,hide,hide,,Club_Storage,Warm_Encounter,,,
10380803,hide,hide,hide,hide,hide,我把手伸过去。不是碰她——是把她的手从手电筒上拿开。手电筒倒了。光柱滚到墙上变成一条歪着的白线。她的手在抖。和我第一次见她的时候一样。但那时候是怕。现在——,Club_Storage,Unreal_Memory,,,
10380804,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380805,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380806,hide,hide,hide,hide,hide,别说话。你说话我就会哭。我不想哭。,Club_Storage,Unreal_Memory,,,
10380807,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380808,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380809,hide,hide,hide,hide,hide,但她已经在哭了。不是那种出声的哭。是眼泪自己往下掉，她没管。手电筒的光在墙上微微晃动，把她的影子也晃起来。窗外的风重新响了。台风眼的平静结束了。雨打在窗格上——比之前更猛。但房间里是暖的。,Club_Storage,Unreal_Memory,,,
10380810,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380811,雏鹃姬·芦田育子,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
10380812,hide,hide,hide,hide,hide,"冬天的时候我给你写信——用我今天学的那种写法。用正确的助词。正确的汉字。告诉你妈妈收到了我的信，说""长大了""。告诉她弟弟的画拿了奖，南瓜比去年大了一圈。告诉她——我有可以选择的人了。",Club_Storage,Unreal_Memory,,,
10380813,hide,hide,hide,hide,hide,,Club_Storage,Unreal_Memory,,,
