ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10080001,hide,hide,hide,hide,hide,在指尖即将触碰到的最后一瞬，我猛地收回了手。,Bathroom_Jan,Slow_Lure,,,
10080002,hide,hide,hide,hide,hide,像是从一场深溺的梦中惊醒，我向后退了一大步，鞋跟撞到浴室门槛，发出一声闷响。,Bathroom_Jan,,,,
10080003,白鹤姬·桂原雪代,hide,hide,hide,hide,……哦？,Bathroom_Jan,,,,
10080004,hide,hide,hide,hide,hide,她眼中的水汽消散了一些，露出底下审视的冷光。,Bathroom_Jan,,,,
10080005,hide,hide,hide,hide,hide,她没有动，依然保持那个半躺在水中的姿势，只是目光一直追随着我。,Bathroom_Jan,,,,
10080006,hide,hide,hide,hide,hide,她眼中的水汽消散了一些，露出底下审视的冷光。,Bathroom_Jan,,,,
10080007,hide,hide,hide,hide,hide,她没有动，依然保持那个半躺在水中的姿势，只是目光一直追随着我。,Bathroom_Jan,,,,
10080008,白鹤姬·桂原雪代,hide,hide,hide,hide,差一点呢……,Bathroom_Jan,,,,
10080009,hide,hide,hide,hide,hide,我深呼吸，试图驱散脑中的晕眩。,Bathroom_Jan,,,,
10080010,我,hide,hide,hide,hide,这里的香气……很特别。,Bathroom_Jan,,,,
10080011,白鹤姬·桂原雪代,hide,hide,hide,hide,不只是香气。,Bathroom_Jan,,,,
10080012,hide,hide,hide,hide,hide,她终于从水中站起，水花四溅。,Bathroom_Jan,,,,
10080013,白鹤姬·桂原雪代,hide,hide,hide,hide,还有水温、毛巾、花瓣……以及我……,Bathroom_Jan,,,,
10080014,hide,hide,hide,YukiyoKatsurahara_shower,hide,她迈出浴缸，水珠沿着身体曲线滚落。,Bathroom,,,,
10080015,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,所有这些加在一起，才是一个完整的……“测试”。,Bathroom,,,,
10080016,hide,hide,hide,YukiyoKatsurahara_shower,hide,她拿起浴巾，却没有立刻裹上，而是用它在身上缓缓擦拭,Bathroom,,,,
10080017,hide,hide,hide,YukiyoKatsurahara_shower,hide,——从脖颈开始，一路向下，动作慢得刻意。,Bathroom,,,,
10080018,hide,hide,hide,YukiyoKatsurahara_shower,hide,温暖的灯光在她湿润的皮肤上跳跃，每一个弧度都被光影强调得淋漓尽致。,Bathroom,,,,
10080019,hide,hide,hide,YukiyoKatsurahara_shower,hide,她一边擦拭，一边看着我。,Bathroom,,,,
10080020,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,上上个经理……在这里没忍住。,Bathroom,,,,
10080021,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,他碰了我的腰。,Bathroom,,,,
10080022,hide,hide,hide,YukiyoKatsurahara_shower,hide,她停顿了一下，毛巾停在小腹的位置。,Bathroom,,,,
10080023,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,后来他那只手，就再也碰不了任何东西了……,Bathroom,,,,
10080024,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,你知道为什么你还能站在这里吗？,Bathroom,,,,
10080025,我,hide,hide,YukiyoKatsurahara_shower,hide,……因为我后退了。,Bathroom,,,,
10080026,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,白鹤姬终于把浴巾裹上，然后系紧。,Bathroom,,,,
10080027,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,不。,Bathroom,,,,
10080028,hide,hide,hide,YukiyoKatsurahara_shower,hide,她走近我，停在离我只有半臂的距离。,Bathroom,,,,
10080029,hide,hide,hide,YukiyoKatsurahara_shower,hide,我下意识地又往后退了一下。,Bathroom,,,,
10080030,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,因为你想要的……不只是“碰一下”。,Bathroom,,,,
10080031,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,你想要更多。,Bathroom,,,,
10080032,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,而欲望越深的人，越懂得忍耐。,Bathroom,,,,
10080033,hide,hide,hide,YukiyoKatsurahara_shower,hide,她伸手，指尖虚虚划过我的领口。,Bathroom,,,,
10080034,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,你合格了，黑羽经理。,Bathroom,,,,
10080035,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,这个俱乐部喜欢“懂得忍耐”的人。,Bathroom,,,,
10080036,白鹤姬·桂原雪代,hide,hide,YukiyoKatsurahara_shower,hide,下班吧，回去好好休息，这也算是你通过测试的奖励~,Bathroom,,,,
10080037,hide,hide,hide,hide,hide,她转身走向外间，打开了房间门，走了出去。,Bathroom,,,,
10080038,hide,hide,hide,hide,hide,门外的空气窜进来，让我打了个寒颤。,Bathroom,,,,
10080039,hide,hide,hide,hide,hide,但肺叶里那股甜腻的香气，正被新鲜的氧气一点点置换出去……,Bathroom,,,"loadScript(Day_3_morning_SecondReport,10090001)",
