ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10580501,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580502,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580503,hide,hide,hide,hide,hide,茶喝完了。八个人把空杯子放回托盘。杯底残着几滴茶。托盘的木面上有几个湿的圆印——杯底留下的。雪代看着剩下的四杯。青鹭。夜鸢。朱雀。银鹮。四杯茶还在冒着热气。但热气比刚才薄了。茶面开始平静下来。,Corridor,Mixed_Emotion,,,
10580504,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580505,hide,hide,hide,hide,hide,,Corridor,Mixed_Emotion,,,
10580506,hide,hide,hide,hide,hide,雪代没有把它们倒掉。她走过去，把四杯茶重新摆了一下。摆成一条直线。然后她站在茶几旁边，看着那四杯茶。阳光从窗户里斜进来，照在茶杯上。青色的杯身被照成半透明的。能隐约看到里面的茶水——颜色比刚泡的时候深了。,Corridor,Unreal_Memory,,,
10580507,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580508,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580509,hide,hide,hide,hide,hide,这四个——现在不在。但茶在这里。人不在的时候，茶替她们在。,Corridor,Unreal_Memory,,,
10580510,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580511,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580512,hide,hide,hide,hide,hide,她说这句话的时候，声音比平时轻了一点点。不是情绪——是某种更深的确认。育子坐在角落里。她抱着膝盖，看着那四杯茶。看了一会儿。然后她站起来。走到茶几前。伸出手指，碰了碰离她最近的那个杯沿。不是摸——是碰了一下。很轻。像在确认它是真的。,Corridor,Unreal_Memory,,,
10580513,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580514,雏鹃姬·芦田育子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580515,hide,hide,hide,hide,hide,……凉的。,Corridor,Unreal_Memory,,,
10580516,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580517,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580518,hide,hide,hide,hide,hide,"她说""凉的""的时候，没有看雪代。雪代也没有看她。但雪代点了一下头。不是点头——是低了一下头。那种很轻的，几乎看不出来的。像是承认了什么。",Corridor,Unreal_Memory,,,
10580519,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580520,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580521,hide,hide,hide,hide,hide,紫从沙发上站起来。她走到那四杯茶前面。从口袋里掏出她的塔罗牌。抽了一张。翻开。正位的世界。她把牌放在四杯茶的旁边。然后回到沙发上。没有解释。没有人问。,Corridor,Unreal_Memory,,,
10580522,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580523,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10580524,hide,hide,hide,hide,hide,景子看着那四杯茶。她的手放在膝盖上，手指慢慢地蜷起来，又伸开。她大概在想别的事——小澪，明天，奈良。但她没有说。她只是看着茶。茶的热气越来越薄了。傍晚的光从橙色变成暗蓝色。休息室里开始暗下来。没有人去开灯。十二杯茶——八杯空了，四杯凉了。都在托盘上。,RestRoom,Unreal_Memory,,,
10580525,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
