ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10470601,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470602,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470603,hide,hide,hide,hide,hide,天黑了。后巷里的路灯亮了。不是全部——只有一盏。在巷口的位置。光打在地上形成一个椭圆形的光圈。Linda还站在那里。她的烟已经抽完了。烟头被她用脚尖碾成了一小撮黑色的碎末。她又点了一支。这次没吸——只是夹在手指间，看着烟燃。,Apartment,Unreal_Memory,,,
10470604,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470605,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470606,hide,hide,hide,hide,hide,夜晚的空气里有炸东西的味道。大概是街对面的居酒屋开始营业了。炸鸡块。油在高温下翻滚的声音从巷口传过来。还有更淡的——酱油和味醂的甜香。这些味道和后巷的铁锈、旧纸箱混在一起，形成了一种只有大阪后巷才有的混合气味。,Apartment,Unreal_Memory,,,
10470607,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470608,朱雀姬·Linda,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470609,hide,hide,hide,hide,hide,你知道我为什么选今天吗。,Apartment,Unreal_Memory,,,
10470610,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470611,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470612,hide,hide,hide,hide,hide,她看着路灯。路灯的灯泡上有几只飞虫在撞。一下一下。撞得很轻。但不停。,Apartment,Unreal_Memory,,,
10470613,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470614,朱雀姬·Linda,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470615,hide,hide,hide,hide,hide,因为今天是我弟弟的生日。如果他活着——今年二十五岁。,Apartment,Unreal_Memory,,,
10470616,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470617,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470618,hide,hide,hide,hide,hide,她把烟举到眼前。看着烟头的光。那点红光在她褐色的瞳孔里映出两个很小的点。,Apartment,Unreal_Memory,,,
10470619,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470620,朱雀姬·Linda,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470621,hide,hide,hide,hide,hide,十六岁。第一次碰毒品。不是海洛因。不是冰毒。是某种更便宜的——在符拉迪沃斯托克的街头到处可以买到的那种。他说只是试试。朋友们都在试。十八个月之后——他死在同一个街区。同一个角落。同一家药店的门口。,Apartment,Unreal_Memory,,,
10470622,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470623,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470624,hide,hide,hide,hide,hide,烟头在她手指间转了一下。烟灰落下来。落在她鞋面上。她没有弹掉。,Apartment,Unreal_Memory,,,
10470625,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470626,朱雀姬·Linda,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470627,hide,hide,hide,hide,hide,"警察来的时候，我问他们——你们为什么不早来。他们说——""我们没有权限""。跨国毒品线。符拉迪沃斯托克到大阪。权限刚好卡在国境线上。谁都不想跨过去。谁都不想多事。我弟弟死在了""权限""这两个字的缝隙里。",Apartment,Unreal_Memory,,,
10470628,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470629,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470630,hide,hide,hide,hide,hide,她把烟头扔掉。这次没有碾。让它在柏油路面上自己灭。红色的光暗下去，暗下去，然后什么都没有了。,Apartment,Unreal_Memory,,,
10470631,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470632,朱雀姬·Linda,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470633,hide,hide,hide,hide,hide,所以从现在起你和我是一条线的。不是警察线。不是Interpol线。是我的线。,Apartment,Unreal_Memory,,,
10470634,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470635,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470636,hide,hide,hide,hide,hide,她转过来看着我。路灯把她半边脸照亮——另一半在阴影里。亮的那边能看到她眼睛下面有一道很细的疤。平时被粉底盖住了。今天粉底褪了，疤露出来。很小。大概一厘米。像是被什么东西划过。,Apartment,Unreal_Memory,,,
10470637,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470638,朱雀姬·Linda,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470639,hide,hide,hide,hide,hide,如果你需要撤退——按A到F走。如果你被抓——说是我逼你的。说你不认识我。说我用枪指着你。什么都行。我不在乎我的线。我只在乎这条线。,Apartment,Unreal_Memory,,,
10470640,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470641,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470642,hide,hide,hide,hide,hide,她用手指在空中画了一条线。从她到我。从巷口到巷底。从符拉迪沃斯托克到大阪。然后她把手放进口袋。转身。走向巷口。高跟鞋踩在柏油路上，声音很脆，很确定。走到路灯下面的时候，她的影子被拉得很长——先是头，然后是肩膀，然后是一整个人的轮廓——然后影子拐了个弯，消失在巷口的灯光里。,Apartment,Unreal_Memory,,,
10470643,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470644,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
10470645,hide,hide,hide,hide,hide,后巷里只剩下我和那盏一闪一闪的自动贩卖机。贩卖机的灯光在湿纸箱上画着断断续续的光斑。我伸手进口袋。手指碰到了那张折好的图纸。纸已经被体温晤热了。,Apartment,Unreal_Memory,,,
10470646,hide,hide,hide,hide,hide,,Apartment,Unreal_Memory,,,
