ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570401,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570402,hide,hide,hide,hide,hide,,Rooftop,Mixed_Emotion,,,
10570403,hide,hide,hide,hide,hide,下午三点。葵坐在休息室的角落。面前放着两盘磁带。和那个空位。她把两盘磁带反复排列——左、右。左、中、右——把空位放在中间。然后把磁带移开。把空位放在左边。然后右边。像在玩一个没有答案的拼图。,RestRoom,Mixed_Emotion,,,
10570404,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570405,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570406,hide,hide,hide,hide,hide,空气里有酒精的味道。还有更淡的——她身上的开衫毛衣的棉布味。袖口的起球已经越来越多了。还有更底层的——旧书和纸的味道。图书馆的味道。她今天没有戴眼镜。眼镜放在桌上。镜片上有一点灰。,RestRoom,Mixed_Emotion,,,
10570407,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570408,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570409,hide,hide,hide,hide,hide,第三盘。还是没找到。,RestRoom,Mixed_Emotion,,,
10570410,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570411,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570412,hide,hide,hide,hide,hide,她说这句话的时候声音很平。和平时一样。但她的手——在桌上画着看不见的线。从左到右。从右到左。不停止。,RestRoom,Mixed_Emotion,,,
10570413,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570414,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10570415,hide,hide,hide,hide,hide,我回忆了每一个可能的位置。储物柜——没有。实验室——没有。宿舍——没有。我还查了最近一周进出俱乐部的人。没有可疑的。只有——雪代姐进过我的实验室。三天前。她说来拿茶叶。实验室里确实放了茶叶。但她进去的时间——比拿茶叶需要的时间长。大概多了一分钟。,RestRoom,Unreal_Memory,,,
10570416,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570417,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570418,hide,hide,hide,hide,hide,她停了一下。手指在桌上停住了。,RestRoom,Unreal_Memory,,,
10570419,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570420,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570421,hide,hide,hide,hide,hide,不是怀疑她。不是。她可能是来拿茶叶。也可能是来拿别的。也可能是——只是多站了一会儿。雪代姐经常在一个地方多站一会儿。她的习惯。,RestRoom,Unreal_Memory,,,
10570422,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570423,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570424,hide,hide,hide,hide,hide,她把眼镜拿起来。戴上。镜片后面的眼睛很平静。但她的手指——把磁带的标签抚平了一下。标签上写着「如月冬雪·最后一周」。那是第三盘磁带的标签。她是从第三盘磁带盒上撕下来的。现在标签贴在桌面上。旁边是空的。,RestRoom,Unreal_Memory,,,
10570425,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570426,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570427,hide,hide,hide,hide,hide,如果第三盘不在。前两盘必须完美。不能有任何差错。明天——音响系统必须准时播放。音量必须够大。每一个字都必须清楚。如果这些条件有任何一个不满足——证据链就会断。不是少一环——是断。断了的证据链——等于没有证据链。,RestRoom,Unreal_Memory,,,
10570428,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570429,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570430,hide,hide,hide,hide,hide,她抬起头。看着我。,RestRoom,Unreal_Memory,,,
10570431,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570432,青鹭姬·星野葵,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10570433,hide,hide,hide,hide,hide,明天。我会在音响旁边。确保播放不出问题。你负责让所有人听到。我负责让声音不中断。,RestRoom,Unreal_Memory,,,
10570434,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
