ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10570501,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570502,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10570503,hide,hide,hide,hide,hide,下午的后巷很静。台风过后地面已经干了。紫蹲在后巷的台阶上。鸟笼放在她脚边——今天从公寓拎来的。那只乌鸦蹲在里面，黑羽毛在阳光下有一点发蓝。紫歪着头看它。它歪着头看紫。雪代允许的唯一位置。那只乌鸦蹲在老地方。黑羽毛在阳光下有一点发蓝——不是真的蓝，是羽毛表面的油脂反射出来的。乌鸦歪着头看她。她歪着头看乌鸦。空气里有鸟食的味道——干的谷物，混着一点点鸟粪的腥。还有更淡的——紫身上的泡泡糖味。她今天嚼了两颗。因为没抽烟。,Apartment,Silent_Night,,,
10570504,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570505,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570506,hide,hide,hide,hide,hide,它最近不吃东西。不是生病。是太聪明了。,Apartment,Silent_Night,,,
10570507,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570508,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570509,hide,hide,hide,hide,hide,她把一小撮谷物放在手心里。伸进笼子。乌鸦低头，啄了一下。不是吃——是试探。用喙碰了碰她的手指，然后退回去。紫没有缩手。她等着。乌鸦又过来。这次啄了一粒。然后是第二粒。,Apartment,Silent_Night,,,
10570510,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570511,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570512,hide,hide,hide,hide,hide,动物能感觉到。大的事情要发生之前，人还没意识到，动物先变了。台风来之前它就这样——不吃东西，蹲在角落里。它只在我出事之前这样。上一次是那个吉普赛女人走的前一天。,Apartment,Silent_Night,,,
10570513,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570514,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570515,hide,hide,hide,hide,hide,她把谷物全部倒在笼子里的食盆里。拍了拍手上的碎屑。然后她从口袋里掏出那副塔罗牌。没有洗。只是放在鸟笼旁边。牌盒上印着涩谷109的限定版花纹。紫色的，金色的星星。,Apartment,Silent_Night,,,
10570516,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570517,神鸦姬·神乐坂紫,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570518,hide,hide,hide,hide,hide,明天我不占卜。第一次也不占。不是怕不准——是怕太准了。,Apartment,Silent_Night,,,
10570519,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570520,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570521,hide,hide,hide,hide,hide,她转身走回楼里。塔罗牌留在鸟笼旁边。乌鸦低头看着那个盒子。然后用喙啄了一下。盒子倒了。没有牌掉出来。鸟笼里的影子在下午的光线里被拉得很长。,Apartment,Silent_Night,,,
10570522,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570523,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10570524,hide,hide,hide,hide,hide,走廊里，春奈坐在化妆镜前。她的狐狸面具放在桌上。她拿起来。戴上。对着镜子看了一眼。取下来。又戴上。反复了好几次。每次取下来之后她都会调整面具上的某样东西——一条线，一个角度。她的动作很快，很精确。但她的眼睛——在面具取下来的那一瞬间——不是平时的顽皮。是某种更深的专注。像一个人在背地图。她不需要看镜子也能知道自己的脸。但她还是看了。一遍又一遍。,Corridor,Silent_Night,,,
10570525,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
