ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10410101,hide,hide,hide,hide,hide,凌晨两点四十七分。化妆间只有一盏灯亮着。台风走了。空气里留着雨水和湿水泥的气味。排水沟的铁锈味淡了。,DressingRoom,Silent_Night,,,
10410102,hide,hide,hide,hide,hide,化妆间的门半开着。卸妆油的油脂味从门缝里漫出来。黑羽哲也推开门。,DressingRoom,Silent_Night,,,
10410103,hide,hide,hide,KianaKijima_base,hide,化妆台前坐着一个人。红色长发散着，没有扎。她在卸妆。不是平时那种——从颧骨开始一层一层往下揭。,DressingRoom,Silent_Night,,,
10410104,hide,hide,hide,KianaKijima_base,hide,镜子映出她半张脸。粉底、腮红、眼线，像壁画一样剥落。她没有回头。手上的动作没有停。,DressingRoom,Silent_Night,,,
10410105,hide,hide,hide,KianaKijima_base,hide,这是第一次。以前她会在零点三秒内转身换一张脸。,DressingRoom,Unreal_Memory,,,
10410106,hide,hide,hide,KianaKijima_base,hide,最后一层粉底被卸妆棉擦掉。镜子里的脸——不是南梨的，不是雪代的，不是白鹤的。是她自己的。,DressingRoom,Unreal_Memory,,,
10410107,hide,hide,hide,KianaKijima_base,hide,眉骨偏高。下颌线比她模仿过的任何人都硬。左侧眉尾有一道旧疤。细长。那道疤的弧度——和案发现场墙壁上的划痕一样。,DressingRoom,Unreal_Memory,,,
10410108,hide,hide,hide,KianaKijima_base,hide,橘子味没有了。甜腻的香水跟着粉底一起被卸掉。取而代之的是干净的棉布味。像晒过的棉布。底下还压着金属的气息。,DressingRoom,Unreal_Memory,,,
10410109,hide,hide,hide,KianaKijima_base,hide,黑羽哲也的鼻腔记住过这个味道。在地下室。在铁链旁边。,DressingRoom,Unreal_Memory,,,
10410110,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
10410111,hide,hide,hide,KianaKijima_base,hide,你闻到了。,DressingRoom,Unreal_Memory,,,
10410112,hide,hide,hide,KianaKijima_base,hide,她还是没回头。声音从镜子里传过来。,DressingRoom,Unreal_Memory,,,
10410113,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
10410114,hide,hide,hide,KianaKijima_base,hide,平时闻不到的。,DressingRoom,Unreal_Memory,,,
10410115,hide,hide,hide,KianaKijima_base,hide,黑羽哲也站在门边。……嗯。,DressingRoom,Unreal_Memory,,,
10410116,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
10410117,hide,hide,hide,KianaKijima_base,hide,这是我的脸。,DressingRoom,Unreal_Memory,,,
10410118,hide,hide,hide,KianaKijima_base,hide,声音没有特征。不是顽皮也不是冷。空白里刚落进去什么东西。,DressingRoom,Unreal_Memory,,,
10410119,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
10410120,hide,hide,hide,KianaKijima_base,hide,不好看。对吧。,DressingRoom,Unreal_Memory,,,
10410121,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
10410122,hide,hide,hide,KianaKijima_base,hide,七岁。练空中飞人。绳子断了。从那以后这张脸就不值钱了。反正能换。,DressingRoom,Unreal_Memory,,,
10410123,hide,hide,hide,KianaKijima_base,hide,她抬手碰到头上的狐狸发卡。手指停了三秒。然后取下来。从认识她到现在，发卡从没离开过她的头。,DressingRoom,Unreal_Memory,,,
10410124,hide,hide,hide,KianaKijima_base,hide,她把发卡放在化妆台上。金属碰玻璃，一声轻响。狐狸的眼睛朝着天花板。,DressingRoom,Unreal_Memory,,,
10410125,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
10410126,hide,hide,hide,KianaKijima_base,hide,这个发卡是我妈给我的。她说不管你变成谁，这个别摘。,DressingRoom,Unreal_Memory,,,
10410127,诡鹀姬·木岛春奈,hide,hide,KianaKijima_base,hide,,DressingRoom,Unreal_Memory,,,
