ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10600601,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600602,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600603,hide,hide,hide,hide,hide,第二天。上午十点。,Club_lobby,Mixed_Emotion,,,
10600604,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600605,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600606,hide,hide,hide,hide,hide,俱乐部大厅已经清理过了。撞翻的桌子重新摆好。碎玻璃扫掉了。桌布换了新的。紫的花全被踩烂了——但有人在每张桌上放了一束新的。不知道是谁。大概是景子。空气里有清洁剂的味道——柠檬味的。还有更淡的，昨晚残留的硝烟味。不是火药——是硝烟反应之后那种特有的、金属烧焦的味道。很淡。但清不掉。渗进红丝绒沙发里了。,Club_lobby,Mixed_Emotion,,,
10600607,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600608,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600609,hide,hide,hide,hide,hide,雪代坐在大厅正中央的椅子上。不是她平时坐的那张——是村上道也昨晚坐的那张。第一把椅子。她的和服还是昨晚那件正红色的。但白色羽毛发饰取下来了。放在桌上。旁边放着一沓文件——俱乐部所有权转让书。凤凰账户的冻结令。十二飞鸟的新经营许可。她的名字在最下面一行。签字栏。她已经签了。,Club_lobby,Mixed_Emotion,,,
10600610,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600611,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600612,hide,hide,hide,hide,hide,大厅里没有其他人。只有她。和她面前的桌子。桌上除了文件——还有一把黄铜钥匙。茶室钥匙。育子放在那里的。钥匙上的血已经干了。变成暗红色的。在黄铜表面形成一个不规则的图案。,Club_lobby,Mixed_Emotion,,,
10600613,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600614,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600615,hide,hide,hide,hide,hide,雪代看着那把钥匙。看了很久。,Club_lobby,Mixed_Emotion,,,
10600616,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600617,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600618,hide,hide,hide,hide,hide,她的手放在桌上。手指离钥匙只有几厘米。她的手指很长。很白。指甲修得很整齐。手指上没有戒指。没有装饰。只有皮肤和骨头。她把手指往前移了一点。碰到了钥匙。钥匙很凉。她用手指把钥匙拨了一下。钥匙在桌面上转了半圈。停下来。,Club_lobby,Mixed_Emotion,,,
10600619,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600620,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600621,hide,hide,hide,hide,hide,她把钥匙拿起来。放在手心里。手心里的钥匙——比她想象的要轻。黄铜在光里不反光。因为血把表面氧化了。她的手指合拢。把钥匙握在手心。和两个月前他握的方式一样。然后她松开手。钥匙躺在手心里。不动。,Club_lobby,Mixed_Emotion,,,
10600622,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600623,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10600624,hide,hide,hide,hide,hide,窗外有鸟叫。不是一种。是两种。一种叫声很急，一种叫声很长。,Club_lobby,Mixed_Emotion,,,
10600625,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
