ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10450601,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450602,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450603,hide,hide,hide,hide,hide,事务所的灯还亮着。不是吊灯——是桌上的台灯。台灯的灯罩是绿色的，光从灯罩下面漏出来，在桌上画了一个很小的光圈。光圈之外，整个房间都是暗的。我坐在桌前。面前摊着所有的东西。,Apartment,Silent_Night,,,
10450604,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450605,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450606,hide,hide,hide,hide,hide,佐藤留下的笔记本。翻开的那一页写着「堀江诊疗所」。字迹已经褪色了。星野葵给的毒理分析报告。台风夜她装在防水公文包里的那份。每一页都盖了「匿名投递·已接收」的蓝章。美咲蔷薇的黑皮书。最后一章。记录了村上的全部交易网络——每一个名字，每一笔金额，每一个日期。Linda给的SD卡。防水盒子里微微发热的电路板。景子的纽扣。雪代的座位图。一百二十个名字的名单。,Apartment,Mystery_Box,,,
10450607,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450608,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450609,hide,hide,hide,hide,hide,我把这些东西在桌上一一排列。不是按时间。是按逻辑。左上角——死者名单。右上角——毒理分析。中间——交易网络。下方——晚宴座位图。四样东西之间用铅笔线连起来。线很轻。但很明确。每一根线都指向同一个人。村上道也。雪代桂原。黑田康正。不同的名字。同一条链。,Apartment,Mystery_Box,,,
10450610,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450611,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450612,hide,hide,hide,hide,hide,空气里有纸张的味道。旧纸的微酸。铅笔木头的清香。还有更远的——窗外飘进来的夜风。夜风里有柏油路的味道，有远处河水的腥味，有自动贩卖机旁边没散尽的烟味。这些味道混在一起，变成了大阪深夜特有的味道。不干净。但很真实。,Apartment,Silent_Night,,,
10450613,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450614,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450615,hide,hide,hide,hide,hide,手机屏幕亮了。蓝光在暗室里很刺眼。我翻开。一条短信。来自Linda。只有一行字。,Apartment,Silent_Night,,,
10450616,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450617,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450618,hide,hide,hide,hide,hide,「蜘蛛网已就绪。Day 60 19:00 启动。」,Apartment,Silent_Night,,,
10450619,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450620,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450621,hide,hide,hide,hide,hide,我把短信删掉。合上手机。屏幕灭了。然后屏幕又亮了。不是短信。是闹钟——我设的。每天晚上十一点。提醒自己还活着。提醒自己还在这个任务里。我把它关掉。手机彻底黑了。,Apartment,Silent_Night,,,
10450622,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450623,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10450624,hide,hide,hide,hide,hide,我把桌上的东西一件一件收起来。佐藤的笔记本放进抽屉最深处。星野葵的毒理报告放进防水袋。美咲的黑皮书放进内袋。SD卡放进衬衫口袋——贴着胸口。胸口的位置能感觉到那个微小的电路板在微微发热。不是真的热——是体温在传给它。,Apartment,Mystery_Box,,,
10450625,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450626,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450627,hide,hide,hide,hide,hide,最后留在桌上的是雪代的座位图。我把它拿起来。在台灯下再看了一遍。主桌十二个座位。村上居中。买家左手。雪代右手。第48号座位——厨房门旁边。上面没有写我的名字。只写了「观察者」。雪代的字。很小。很稳。,Apartment,Mystery_Box,,,
10450628,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450629,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450630,hide,hide,hide,hide,hide,「观察者」——她给我的定位。不是经理。不是黑羽。不是刑警。是观察者。她知道我在看。她知道我会记住每一个细节。但她还是让我坐在那里。因为在她看来——我只是一双眼睛。一双不会影响结局的眼睛。,Apartment,Mystery_Box,,,
10450631,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450632,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450633,hide,hide,hide,hide,hide,她错了。,Apartment,Mystery_Box,,,
10450634,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450635,hide,hide,hide,hide,hide,,Apartment,Mystery_Box,,,
10450636,hide,hide,hide,hide,hide,我把座位图折好。放进内袋。和黑皮书放在一起。然后关了台灯。事务所沉入完全的黑暗。只有窗外街灯的光从窗帘缝里漏进来。很细的一条。落在空了的桌面上。落在关了机的手机上。落在我手边的那把黄铜钥匙上。钥匙被体温焐了太久，早就没有金属的凉意了。但今晚它又变凉了。大概是因为明天——一切都将改变。,Apartment,Silent_Night,,,
10450637,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
