ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10280601,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10280602,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10280603,hide,hide,hide,hide,hide,凌晨一点半。公寓里只开了一盏台灯。桌上摊着三样东西：雪代给的旧账簿、一张白纸、一支铅笔。账簿的纸很薄，翻页的时候要小心——有些页角已经脆了，一用力就碎。,Apartment,Silent_Night,,,
10280604,hide,hide,hide,hide,hide,窗外的路灯把树影投在窗帘上。影子动的时候像一只手慢慢张开又合拢。,Apartment,Silent_Night,,,
10280605,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280606,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280607,hide,hide,hide,hide,hide,账簿用了三种缩写。G-R、P-7、Φ。第三种画了一个圆圈加一竖——希腊字母Φ。不是数字。是代号。,Apartment,Silent_Night,,,
10280608,hide,hide,hide,hide,hide,我把近三个月的条目全部重抄在白纸上。铅笔头断了两次，我用小刀削尖，木屑掉在榻榻米上。G-R出现的频率最高，每周至少两次，金额从五十万到三百万不等。P-7只在月初出现，固定七十五万。Φ只出现过一次——在三个月前的最后一页。金额栏是空的。,Apartment,Silent_Night,,,
10280609,hide,hide,hide,hide,hide,旁边的备注栏写了四个字：基因再生。,Apartment,Silent_Night,,,
10280610,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280611,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280612,hide,hide,hide,hide,hide,……G-R。基因。再生。,Apartment,Silent_Night,,,
10280613,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280614,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280615,hide,hide,hide,hide,hide,Gene-Rebirth。我把两个词写在一起。铅笔在纸上停了一下——不是不知道怎么写，是写出来之后，整个房间忽然安静了。连窗帘上的树影都不动了。,Apartment,Silent_Night,,,
10280616,hide,hide,hide,hide,hide,"我翻回前面。找到""极乐""两个字——出现在G-R条目旁边，像注脚，不起眼。但每一笔G-R的旁边都跟着""极乐""。""极乐""不是商品名。""极乐""是效果。G-Rebirth是方法。Φ是目标。",Apartment,Silent_Night,,,
10280617,hide,hide,hide,hide,hide,"我翻开佐藤给的那份毒理报告。山下体内的化合物里有一种标注为""未命名""，分子结构画在页脚——一个不规则的六边形里套了两个五边形。我在空白处用铅笔画了一个Φ。",Apartment,Silent_Night,,,
10280618,hide,hide,hide,hide,hide,形状对上了。,Apartment,Silent_Night,,,
10280619,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280620,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280621,hide,hide,hide,hide,hide,……凤凰。,Apartment,Silent_Night,,,
10280622,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280623,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
10280624,hide,hide,hide,hide,hide,"雪代说过凤凰两个字。她说完就把话题移开了。现在我看到了凤凰的骨架——不是神话，是化学。是一群穿着西装的人围着一张实验桌，把死去的人称为""样本""。",Apartment,Silent_Night,,,
10280625,hide,hide,hide,hide,hide,我把所有东西收好。账簿塞进榻榻米下面。白纸折成小块，放进外套内袋。铅笔头滚到桌子下面，我没捡。,Apartment,Silent_Night,,,
10280626,hide,hide,hide,hide,hide,台灯关了。房间暗下来。窗外那棵树还在风里动。影子和刚才一样，像一只手——但这次不是张开，是指向窗外。,Apartment,Silent_Night,,,
10280627,hide,hide,hide,hide,hide,,Apartment,Silent_Night,,,
