ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10350701,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350702,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10350703,hide,hide,hide,hide,hide,村上走后不到半小时。前台电话响了。不是店里的内线——是外线。景子接的。她拿起话筒的时候手指很稳。听了几句之后，手指不动了。不是稳——是僵住了。,Club_lobby,Silent_Night,,,
10350704,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350705,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350706,hide,hide,hide,hide,hide,"她挂了电话。站在那里。前台的台灯把她的脸照成两半——一半在灯下，一半在暗处。暗处的那半张脸，嘴唇在微微发颤。然后门铃响了。不是电话——是快递。一个穿黑色夹克的年轻人递进来一个信封。牛皮纸的。没有发件人，只有收件人——""谷川景子""。",Club_lobby,Silent_Night,,,
10350707,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350708,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350709,hide,hide,hide,hide,hide,"她接过信封。没有马上打开。只是捏着。信封不厚。但她捏着它的方式——像是捏着一条还在跳的鱼。她走到吧台后面。我跟着她。她打开信封。里面是一张支票和一张便条。支票上的数字——我不需要看。因为她的表情已经说清楚了。不是震惊。是""终于来了""。",Club_lobby,Silent_Night,,,
10350710,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350711,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350712,hide,hide,hide,hide,hide,他给了我三天。,Club_lobby,Silent_Night,,,
10350713,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350714,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350715,hide,hide,hide,hide,hide,"她把便条放在吧台上。字迹是手写的。很工整。每一个字都像是用尺子量过间距。""景子小姐：下周三晚八点，帝国酒店，1802号房。期待你和令嫒的光临。支票是预付。事成之后，三倍。""署名：黑田。",Club_lobby,Silent_Night,,,
10350716,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350717,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350718,hide,hide,hide,hide,hide,"他把""令嫒""两个字写出来了。不是暗示。不是让我自己去理解。是写出来的。他看到这两个字写在纸上的时候，大概觉得和写""会议室预订""差不多——都是公务。都是交易。",Club_lobby,Silent_Night,,,
10350719,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350720,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350721,hide,hide,hide,hide,hide,她拿起那张支票。对折。再对折。折到不能再小。然后塞进信封里。没有撕——虽然她的手在支票边缘停了一秒。不是不想撕。是撕了之后会发生什么——她不知道。或者她知道，所以没撕。,Club_lobby,Silent_Night,,,
10350722,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350723,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350724,hide,hide,hide,hide,hide,经理——你知道最恶心的是什么吗。是他把这个报价当成某种恩惠。不是威胁。是恩惠。他觉得一个单亲母亲带着十四岁的女儿，如果有人愿意出钱——那是在帮她。帮他妈什么。,Club_lobby,Silent_Night,,,
10350725,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350726,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350727,hide,hide,hide,hide,hide,她说了粗口。这是第一次。她的声音从头到尾没有提高，但那个词像一块石头砸进水里。水面平了，石头还在底下。,Club_lobby,Silent_Night,,,
10350728,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350729,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350730,hide,hide,hide,hide,hide,三天。下周三。在那之前——我得把小澪送走。,Club_lobby,Silent_Night,,,
10350731,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350732,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350733,hide,hide,hide,hide,hide,……送到哪。,Club_lobby,Silent_Night,,,
10350734,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350735,巢燕姬·谷川景子,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350736,hide,hide,hide,hide,hide,"奈良。那边有一所寄宿学校。我去看过。全寄宿。一个月回来一次。她不会知道妈妈在做什么。不会知道有人用她的名字写便条。不会知道这个世界上有人觉得""母女""是可以加进报价单里的项目。",Club_lobby,Silent_Night,,,
10350737,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350738,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
10350739,hide,hide,hide,hide,hide,她把信封塞进外套内袋。那件米色开衫——我第一次在寝具店看到她的那件。口袋已经有点松了，信封塞进去之后鼓起一个很小的长方形。她用手按住。按住的方式不是藏——是固定。像在固定胸口里面某个会移位的东西。,BedStore,Silent_Night,,,
10350740,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10350741,巢燕姬·谷川景子,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10350742,hide,hide,hide,hide,hide,"前几天育子跟我说——""景子姐，你是我见过最硬的人""。我当时笑了。因为我不硬。我只是没有退路。没有退路的人看起来总是硬的——因为没有地方可以软。现在我连站着的地方都在往下陷。黑田要的不是我的身体。他要的是我跪下来。不是跪给他。是跪给小澪看。让她知道——妈妈连保护你的资格都是借来的。",BedStore,Silent_Night,,,
10350743,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10350744,hide,hide,hide,hide,hide,,BedStore,Silent_Night,,,
10350745,hide,hide,hide,hide,hide,她把台灯关了。前台沉入暗处。只有走廊里的应急灯投进来一点绿色的光。她站在黑暗里。手还按在那个信封上。绿灯照不到她的脸。只照到她手背上那四个月牙形的指甲印——昨天掐的，还没消退。,Corridor,Silent_Night,,,
10350746,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
