ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10240501,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240502,hide,hide,hide,hide,hide,,VIP_Room,Silent_Night,,,
10240503,hide,hide,hide,hide,hide,傍晚六点。大厅里正在做营业前的最后准备。女孩们换好了制服，在大厅里走动，裙摆擦过桌椅发出窸窣的声响。空气里有发胶和熨烫过的布料的气味。白鹤姬站在吧台旁边，穿着一件深灰色的长外套。不是俱乐部的服装。是她自己的。旁边放着一个很小的旅行袋。黑色的。皮质。大小只够装两天的东西。,Club_lobby,Mixed_Emotion,,,
10240504,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240505,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,对所有人，声音平稳
10240506,hide,hide,hide,hide,hide,我外出三天。周四回来。,Club_lobby,Mixed_Emotion,,,
10240507,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240508,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240509,hide,hide,hide,hide,hide,"她说这句话的时候，语气和""今天天气很冷""没有任何区别。没有人问她去哪里。没有人敢问。吧台后面的女孩们交换了一下眼神——很快，很轻，像水面上的涟漪。然后继续做自己的事。只有Linda抬头看了她一眼。Linda看人的方式——永远比别人多了一拍。那一拍里装着什么问题，只有她自己知道。",Club_lobby,Mixed_Emotion,,,
10240510,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240511,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,转向我
10240512,hide,hide,hide,hide,hide,黑羽——这三天，店里的事你看着。,Club_lobby,Mixed_Emotion,,,
10240513,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240514,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240515,hide,hide,hide,hide,hide,……好。,Club_lobby,Mixed_Emotion,,,
10240516,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240517,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240518,hide,hide,hide,hide,hide,如果有处理不了的事——不要勉强。打电话给我。我会接。,Club_lobby,Mixed_Emotion,,,
10240519,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240520,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10240521,hide,hide,hide,hide,hide,"她说""我会接""的时候，语调没有变。但在那四个字后面——有一个很小的停顿。像是她本来想说别的话。然后改了。她把旅行袋拎起来。手柄是皮革的，在她手指上勒出一道很浅的压痕。走到门口的时候，门外的冷风灌进来。她的长发被吹起来，露出脖子后面一小块皮肤。很白。她抬手按住头发，按了一下。然后走进夜色里。",Club_door,Mixed_Emotion,,,
10240522,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10240523,hide,hide,hide,hide,hide,,Club_door,Mixed_Emotion,,,
10240524,hide,hide,hide,hide,hide,门关上。大厅里安静了两秒。然后重新热闹起来。音乐、酒杯、椅子挪动的声音。但我站在吧台旁边，手指按着口袋里的凤凰卡。她不在。三天。三天。足够做很多事。也足够——让很多事做不了。,Club_lobby,Silent_Night,,,
10240525,hide,hide,hide,hide,hide,,Club_lobby,Silent_Night,,,
