ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10320601,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10320602,hide,hide,hide,hide,hide,,Corridor,Melancholy_Rain,,,
10320603,hide,hide,hide,hide,hide,凌晨十二点。美咲蔷薇在私人休息室里等我。门开着——平时谈交易的时候她总是关着门。这次开了一条缝。从门缝里能看到她坐在桌后，黑皮书合着放在桌角。不是摊开——是合着的。,RestRoom,Silent_Night,,,
10320604,hide,hide,hide,hide,hide,我推门进去。空气里的气味变了——不是平时的玫瑰加金属味。今晚只有玫瑰。没有那种尖锐的底调。,RestRoom,Silent_Night,,,
10320605,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320606,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320607,hide,hide,hide,hide,hide,关门。,RestRoom,Silent_Night,,,
10320608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320609,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320610,hide,hide,hide,hide,hide,我关上门。她在椅子上微微后靠。手指在桌面上轻轻敲了一下。,RestRoom,Silent_Night,,,
10320611,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320612,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320613,hide,hide,hide,hide,hide,你欠我四十万。按规矩我不该再给你任何东西。,RestRoom,Silent_Night,,,
10320614,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320615,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10320616,hide,hide,hide,hide,hide,她翻开黑皮书。翻到空白页。然后——把书合上了。推到一边。,RestRoom,Mystery_Box,,,
10320617,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320618,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320619,hide,hide,hide,hide,hide,但今天不算交易。,RestRoom,Mystery_Box,,,
10320620,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320621,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
10320622,hide,hide,hide,hide,hide,……算什么。,RestRoom,Mystery_Box,,,
10320623,hide,hide,hide,hide,hide,,RestRoom,Mystery_Box,,,
