ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10040301,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040302,hide,hide,hide,hide,hide,早上七点三十分。,BedStore,Mixed_Emotion,,,
10040303,hide,hide,hide,hide,hide,我依然无法看见此时窗外的大阪。,BedStore,Mixed_Emotion,,,
10040304,hide,hide,hide,hide,hide,逼仄的建筑结构永远地限制着阳光进入我的房间。,BedStore,Mixed_Emotion,,,
10040305,hide,hide,hide,hide,hide,没有拉面店里蒸腾的热气，也没有警署里那些刺耳的电话铃声。,RamenShop,Mixed_Emotion,,,
10040306,hide,hide,hide,hide,hide,这间位于淀川区边缘、只有六叠大小的单身公寓里，安静得只能听到我自己的呼吸声。,Apartment,Silent_Night,,,
10040307,hide,hide,hide,hide,hide,以及壁纸在角落里因为潮湿而一点点剥离的、极其细微的撕裂声。,Apartment,Silent_Night,,,
10040308,hide,hide,hide,hide,hide,我躺在没有床垫的榻榻米上，坚硬的木地板直接顶着我的脊椎，泛起阵阵酸痛。,BedStore,Silent_Night,,,
10040309,hide,hide,hide,hide,hide,我盯着天花板上那块因为漏水而发黄的霉斑。,BedStore,Silent_Night,,,
10040310,hide,hide,hide,hide,hide,一时间分不清自己到底是警察黑羽义，还是负债累累的经理黑羽哲也。,BedStore,Silent_Night,,,
10040311,hide,hide,hide,hide,hide,就在这时，枕边的手机震动起来。,BedStore,Silent_Night,,,
10040312,hide,hide,hide,hide,hide,不是那部黑色的翻盖机，而是我自己的智能手机。,BedStore,Silent_Night,,,
10040313,hide,hide,hide,hide,hide,屏幕上闪烁着熟悉的名字，是莉香。,BedStore,Silent_Night,,,
10040314,hide,hide,hide,hide,hide,我深吸一口气，用冰冷的手掌用力揉了揉僵硬的脸颊，按下接听键。,BedStore,Coming_Dangerous,,,
10040315,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040316,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040317,hide,hide,hide,hide,hide,……喂，莉香。,BedStore,Coming_Dangerous,,,
10040318,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040319,hide,hide,hide,hide,hide,我察觉到我的声音有些沙哑。,BedStore,Coming_Dangerous,,,
10040320,hide,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040321,小林莉香,hide,hide,hide,hide,,BedStore,Coming_Dangerous,,,
10040322,hide,hide,hide,hide,hide,早上好，哲也！你醒了吗？,BedStore,Mixed_Emotion,,,
10040323,hide,hide,hide,hide,hide,听你的声音，昨晚是不是又在加班了？,BedStore,Mixed_Emotion,,,
10040324,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040325,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040326,hide,hide,hide,hide,hide,嗯，刚醒。,BedStore,Mixed_Emotion,,,
10040327,hide,hide,hide,hide,hide,今天房间里好像有点冷。,BedStore,Mixed_Emotion,,,
10040328,hide,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040329,小林莉香,hide,hide,hide,hide,,BedStore,Mixed_Emotion,,,
10040330,hide,hide,hide,hide,hide,要注意身体哦，不能感冒了。,BedStore,Mixed_Emotion,,,
10040331,hide,hide,hide,hide,hide,哲也，你刚才接电话的声音，闷闷的。,BedStore,Mixed_Emotion,,,
10040332,hide,hide,hide,hide,hide,你记不记得你之前十六岁生日那天，我们规划好要去玩很多地方。,BedStore,Unreal_Memory,,,
10040333,hide,hide,hide,hide,hide,结果你就突然感冒，生日前一天的声音就像现在一样。,BedStore,Unreal_Memory,,,
10040334,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040335,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
10040336,hide,hide,hide,hide,hide,……我记得。,BedStore,Unreal_Memory,,,
10040337,hide,hide,hide,hide,hide,,BedStore,Unreal_Memory,,,
