ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10340401,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340402,hide,hide,hide,hide,hide,,Cafe,Silent_Night,,,
10340403,hide,hide,hide,hide,hide,茶室里的空气有一种医院的味道。不是消毒水——是某种更淡的，像绷带上残留的药味。星野葵坐在我对面，背挺得很直。她面前的茶杯没有动过。茶水已经凉了。,Hospital,Silent_Night,,,
10340404,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340405,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340406,hide,hide,hide,hide,hide,你在查毒杀的案子。,Hospital,Silent_Night,,,
10340407,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340408,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340409,hide,hide,hide,hide,hide,不是问句。她的手放在膝盖上，指甲剪得很短。学医的人的手。干净，没有涂任何颜色。,Hospital,Silent_Night,,,
10340410,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340411,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340412,hide,hide,hide,hide,hide,我可以给你警方需要的东西。匿名证据。剂量、毒理分析、用药时间推断。这些我都可以做。,Hospital,Silent_Night,,,
10340413,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340414,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340415,hide,hide,hide,hide,hide,她说话的时候看着茶杯，不是看我。声音很平，像在念一份病历。但她的右手拇指在左手手腕上来回摩擦——那里有一条很细的疤痕，已经褪色了，不仔细看发现不了。,Hospital,Silent_Night,,,
10340416,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340417,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340418,hide,hide,hide,hide,hide,条件很简单。,Hospital,Silent_Night,,,
10340419,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340420,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340421,hide,hide,hide,hide,hide,她抬起头。眼神和平时一样冷静。没有任何恳求的成分。像是在做一桩交易，而且她很清楚自己手里有什么牌。,Hospital,Silent_Night,,,
10340422,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340423,青鹭姬·星野葵,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340424,hide,hide,hide,hide,hide,不查我的事。,Hospital,Silent_Night,,,
10340425,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340426,hide,hide,hide,hide,hide,,Hospital,Silent_Night,,,
10340427,hide,hide,hide,hide,hide,茶室里安静了很久。外面走廊有人走过，木屐的声音一下一下，像心跳。我看着她的眼睛。她没有任何回避。那双眼睛里有某种很硬的东西——不是冷漠，是一个人在做了不可回头的事情之后，决定不再为自己辩解。,Corridor,Silent_Night,,,
10340428,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340429,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340430,hide,hide,hide,hide,hide,我做的事我自己清楚。不需要别人来判断。,Corridor,Silent_Night,,,
10340431,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340432,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340433,hide,hide,hide,hide,hide,她终于端起茶杯。茶已经冷透了。她一口喝完，把杯子放回桌面，杯底碰到托盘发出一声很轻的响。然后站起来，走到门口。,Corridor,Silent_Night,,,
10340434,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340435,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340436,hide,hide,hide,hide,hide,证据明天给你。匿名投递。不会牵连到你。,Corridor,Silent_Night,,,
10340437,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340438,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340439,hide,hide,hide,hide,hide,她在门口停了一下，没有回头。,Corridor,Silent_Night,,,
10340440,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340441,青鹭姬·星野葵,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340442,hide,hide,hide,hide,hide,……谢谢。,Corridor,Silent_Night,,,
10340443,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340444,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10340445,hide,hide,hide,hide,hide,门拉开又合上。她的脚步声在走廊里渐渐远了。茶杯还在桌上。杯沿有一个很淡的口红印——她今天涂了颜色。这是她唯一一次让我觉得她在乎什么。,Corridor,Silent_Night,,,
10340446,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
