ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10100501,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10100502,hide,hide,hide,hide,hide,,DressingRoom,Mixed_Emotion,,,
10100503,hide,hide,hide,hide,hide,下午五点。白鹤姬召集了所有人到大厅。说是周会，其实更像某种定期的展示——让每个人都知道自己站在哪一格里。,Club_lobby,Mixed_Emotion,,,
10100504,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100505,hide,hide,hide,hide,hide,桂原雪代站在吧台旁边。手里拿着上周的业绩汇总表。没有开场白。没有寒暄。直接开始公布排名。每个人听到自己名字时反应都不一样——朱雀姬无所谓地翻了翻指甲，夜鸢姬连眼睛都没抬，黄鹂姬轻轻咬了一下嘴唇，然后立刻笑了出来。,Club_lobby,Mixed_Emotion,,,
10100506,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100507,hide,hide,hide,hide,hide,谷川景子的排名比上周掉了两位。她的手指在膝盖上交叉着，指节比平时更泛白。早莺姬的排名恢复了。但她全程没有抬头。,Club_lobby,Mixed_Emotion,,,
10100508,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100509,hide,hide,hide,hide,hide,最后一个名字不是我。白鹤姬在念完所有人的排名之后，看了我一眼。,Club_lobby,Mixed_Emotion,,,
10100510,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100511,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100512,hide,hide,hide,hide,hide,经理的运营数据本周持平。没有升也没有降。,Club_lobby,Mixed_Emotion,,,
10100513,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100514,hide,hide,hide,hide,hide,"""持平""这两个字从她嘴里说出来，不像表扬。也不像批评。更像是在描述某种还需要继续观察的现象。然后是每周的规矩重申。没有人提问。散会。椅子被推开的声音次第响起。空气里的香水味被搅动起来——银鹮姬的茉莉调、夜鸢姬的皮革调、朱雀姬的烟草调混在一起，像一杯倒错了所有配比的鸡尾酒。",Club_lobby,Mixed_Emotion,,,
10100515,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
10100516,hide,hide,hide,hide,hide,,Club_lobby,Mixed_Emotion,,,
