ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10090601,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10090602,hide,hide,hide,hide,hide,,Corridor,Slow_Lure,,,
10090603,hide,hide,hide,hide,hide,凌晨一点。桂原雪代让我去茶室。,Corridor,Silent_Night,,,
10090604,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090605,hide,hide,hide,hide,hide,"不是以前那种以某种隐晦威胁为底的""邀请""。这次只是一张便签。没有称呼，没有落款，没有时间。就一行字，铅笔写的——""今晚打烊后。茶室。香道。""",Corridor,Silent_Night,,,
10090606,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090607,hide,hide,hide,hide,hide,茶室的灯调到了最暗。只有角落里的两盏纸灯笼，光线被和纸滤过，落在人身上没有任何重量。,Corridor,Silent_Night,,,
10090608,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090609,hide,hide,hide,hide,hide,桂原雪代跪坐在榻榻米上。今天换了件素色的和服——月白色，腰带是银灰的。头发还是端庄地盘起，那支白色羽毛发饰依然插在发间。她面前放着一只黑漆托盘，上面整齐排列着香道用具——香炉、香篆、银叶、灰押。,Corridor,Silent_Night,,,
10090610,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090611,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090612,hide,hide,hide,hide,hide,坐。,Corridor,Silent_Night,,,
10090613,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090614,hide,hide,hide,hide,hide,我跪坐在她对面。膝盖碰到榻榻米的边缘时，能感觉到地板的凉意透过蔺草传上来。,Corridor,Silent_Night,,,
10090615,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090616,hide,hide,hide,hide,hide,她拿起一小块沉香木。放在香炉里。然后点燃。没有用打火机。用了火箸，夹着一小块烧透的炭，轻轻按在沉香上。整个过程没有发出任何多余的声响。她做这件事的时候，手上的动作和有她在做所有事时一样——不紧不慢。精确。每个手势都像被事先量好了角度。,Corridor,Silent_Night,,,
10090617,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090618,hide,hide,hide,hide,hide,一缕青烟从香炉里升起来。不是花香，不是果香。是沉香特有的那种木质熏香——带一点苦涩，带一点甜，又带着某种让你无法分辨是苦涩还是甜的复杂后味。,Corridor,Silent_Night,,,
10090619,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090620,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10090621,hide,hide,hide,hide,hide,"香道里有一个词叫""听香""。",Corridor,Silent_Night,,,
10090622,hide,hide,hide,hide,hide,不是闻。是听。,Corridor,Silent_Night,,,
10090623,hide,hide,hide,hide,hide,因为真正好的香，不会主动告诉你它是什么。你得安静。等它自己慢慢说出来。,Corridor,Silent_Night,,,
10090624,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
