ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10480501,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480502,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480503,hide,hide,hide,hide,hide,烛火晃了一下。不是风——是蜡芯烧到了杂质，爆了一个很小的火星。火星跳到空中，熄在空中。美咲蔷薇没有看它。她还在看着那三页纸。手指在纸上轻轻移动，像是在抚摸某种活的东西——某种会呼吸的东西。,Corridor,Silent_Night,,,
10480504,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480505,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10480506,hide,hide,hide,hide,hide,房间里的皮革味道和蜡烛味道混合在一起，形成了一种很厚重的气味。不是让人不舒服——是让人觉得被什么东西包围了。像被一本书抱住了。一本很旧、很厚、里面装满了秘密的书。,Corridor,Mystery_Box,,,
10480507,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480508,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480509,hide,hide,hide,hide,hide,如果那天晚上她需要脱身——,Corridor,Mystery_Box,,,
10480510,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480511,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480512,hide,hide,hide,hide,hide,她把三页纸叠起来。叠得很整齐。对齐每一个角。然后把叠好的纸推向桌子对面——推向我。她的手指在纸上停了很久。松开的时候，指尖在纸上留下了几个很淡的指印。不是汗。是某种更细微的东西——一个人把自己很重要的东西交给别人时，手指会留下的那种痕迹。,Corridor,Mystery_Box,,,
10480513,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480514,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480515,hide,hide,hide,hide,hide,这些能帮她减刑。,Corridor,Mystery_Box,,,
10480516,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480517,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480518,hide,hide,hide,hide,hide,"她说""减刑""的时候，声音很轻。但很确定。不是希望。不是猜测。是作为一个记了六年记录的人，对证据的判断。她知道哪些东西在法庭上有用。她知道怎么让一个""组织核心成员""变成""被迫参与者""。她知道雪代做了什么——也知道雪代没做什么。",Corridor,Mystery_Box,,,
10480519,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480520,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480521,hide,hide,hide,hide,hide,主动减少毒品流通。保护被迫参与的女性。向外传递情报。三项。每一项都可以作为减刑依据。如果再加上她配合调查——刑期可以砍掉一半以上。,Corridor,Mystery_Box,,,
10480522,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480523,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480524,hide,hide,hide,hide,hide,她站起来。走到窗边。窗外是一面灰色的墙壁。没有风景。她的房间选在最里面是有原因的——不需要窗户。不需要看外面。但她现在站在窗边，看着那面灰色的墙。看了很久。,Corridor,Mystery_Box,,,
10480525,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480526,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480527,hide,hide,hide,hide,hide,她自己不会说这些。她不会为自己辩护。她太骄傲了。骄傲到愿意被当成反派——也不愿意拿出这些记录。因为拿出来意味着承认——她不是反派。她是一个被卖了之后，花了二十一年想办法把牢笼从里面拆掉的人。,Corridor,Mystery_Box,,,
10480528,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480529,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480530,hide,hide,hide,hide,hide,她转过来。靠在窗台上。手臂交叉在胸前。睡袍的袖子滑下去，露出手腕。手腕上有一道很旧的疤——不是割腕的那种。是某种摩擦的痕迹。大概是很久以前被绳子绑过。绑了很久。,Corridor,Mystery_Box,,,
10480531,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480532,夜鸢姬·美咲蔷薇,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10480533,hide,hide,hide,hide,hide,所以我替她说。用我的笔。用我的纸。用我的六年。,Corridor,Mystery_Box,,,
10480534,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
