ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10410301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410303,hide,hide,hide,hide,hide,印刷店里的油墨味很重。不是那种书卷气的墨香——是工业油墨的刺鼻，混着机器的铁锈味和纸张受潮的微酸。店里的印刷机在运转，发出有节奏的咔哒声。每一声咔哒，就有一张纸从机器里吐出来。,Club_away,Silent_Night,,,
10410304,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410305,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410306,hide,hide,hide,hide,hide,雪代站在印刷机旁边。她今天穿的是那件白色和服——不是平时在俱乐部穿的那件，是另一件。袖口没有绣纹，面料更硬挺，领口浆得笔直。她站的位置离机器很近，纸屑飞到她袖子上，她没有拂。她在看。,Club_away,Silent_Night,,,
10410307,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410308,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410309,hide,hide,hide,hide,hide,印刷机吐出来的请帖一张一张落在铁盘里。黑色的底，烫金的字。金字在车间顶灯下反光，一闪一闪。请帖的纸质很厚，边缘切得齐，没有毛边。她拿起一张，在手里翻了一面。用手指摸了一下烫金的字——「十二飞鸟年度晚宴」。手指从第一个字摸到最后一个字。动作很慢。像在摸一块布料的纹理。,Club_away,Silent_Night,,,
10410310,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410311,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410312,hide,hide,hide,hide,hide,这批请帖质量很好。,Club_away,Silent_Night,,,
10410313,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410314,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410315,hide,hide,hide,hide,hide,印刷店老板站在旁边。一个五十多岁的男人，戴着橡胶手套，手套上沾了黑色油墨。他看着雪代的手指在烫金字上移动，没敢接话。,Club_away,Silent_Night,,,
10410316,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410317,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410318,hide,hide,hide,hide,hide,印一百二十张。多出的二十张留着。万一有写错的——重印。,Club_away,Silent_Night,,,
10410319,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410320,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410321,hide,hide,hide,hide,hide,她从怀里拿出一张名单。纸折了两折，展开之后是一张手写的名单。字迹很小。她在名单上扫了一眼，然后递给老板。,Club_away,Silent_Night,,,
10410322,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410323,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410324,hide,hide,hide,hide,hide,地址按这个写。每一个都要对。每一个。,Club_away,Silent_Night,,,
10410325,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410326,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10410327,hide,hide,hide,hide,hide,老板接过名单。低头看了一眼。他的手在橡胶手套里动了动——大概是名单太长，他下意识地在数人数。雪代转过身，看着我。她的眼睛在油墨和纸张的灰暗背景里显得异常亮。不是那种温柔的亮。是某种被点燃了的东西。一台运转了很久的机器，终于等到了它被设计出来等待的那一天。,Club_away,Warm_Encounter,,,
10410328,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410329,白鹤姬·桂原雪代,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410330,hide,hide,hide,hide,hide,今年的晚宴——一个都不能少。,Club_away,Warm_Encounter,,,
10410331,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410332,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
10410333,hide,hide,hide,hide,hide,她说完就走了。印刷机还在咔哒咔哒地响。请帖一张一张地吐出来，叠在铁盘上。铁盘越来越满。油墨的味道浓得呛人。老板看着手里的名单，沉默了很久。然后他把名单放在桌上，开始一个一个地抄地址。手很稳。大概是印过很多类似的名单了。只是这次的数量——一百二十张——比往年多了很多。,Club_away,Warm_Encounter,,,
10410334,hide,hide,hide,hide,hide,,Club_away,Warm_Encounter,,,
