ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10380601,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380602,hide,hide,hide,hide,hide,,RestRoom,Mixed_Emotion,,,
10380603,hide,hide,hide,hide,hide,电是在七点四十二分停的。吊灯闪了一下，然后暗了。整个俱乐部沉入黑暗。只有外面的闪电偶尔把房间照亮一瞬间——白色的，冷的光，让所有东西看起来像底片。,RestRoom,Silent_Night,,,
10380604,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380605,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380606,hide,hide,hide,hide,hide,雪代点了一支蜡烛。烛火很小。她用手护着，等火稳了才松开。她把蜡烛放在茶室中间的矮桌上。烛火在她眼睛里映出两个很小的光点。,RestRoom,Silent_Night,,,
10380607,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380608,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380609,hide,hide,hide,hide,hide,茶室里弥漫着蜡的味道。热蜡，混合着旧榻榻米的草香。窗外的风声像某种动物的低吼——不是狼，是更大的东西，用整个天空做胸腔。雨打在窗格上，声音很密，像很多人在很远的地方鼓掌。,RestRoom,Silent_Night,,,
10380610,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380611,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380612,hide,hide,hide,hide,hide,她坐在对面。和服的袖口垂在榻榻米上。没有戴那支白色羽毛发饰。头发散在肩上。一只手搭在膝盖上，另一只手的手指沿着茶杯边缘慢慢画圈。茶杯是空的。,RestRoom,Silent_Night,,,
10380613,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380614,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380615,hide,hide,hide,hide,hide,你有很多问题想问吧。,RestRoom,Silent_Night,,,
10380616,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380617,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380618,hide,hide,hide,hide,hide,"烛火晃了一下。她的影子在墙上变大了，然后又缩小。她看着烛火，然后转过来看我。眼神和平时不同。不是那种""看虫子一样的眼神""。是看着一个人。一个她决定不用能力去影响的人。",RestRoom,Silent_Night,,,
10380619,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380620,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380621,hide,hide,hide,hide,hide,今晚可以问。,RestRoom,Silent_Night,,,
10380622,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380623,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380624,hide,hide,hide,hide,hide,风从窗缝里挤进来。蜡烛差点灭了。她用两只手护住。火在她手心里挣扎了一下，又稳住了。她的手指很细。烛光透过去，能看到骨头的轮廓。,RestRoom,Unreal_Memory,,,
10380625,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380626,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380627,hide,hide,hide,hide,hide,然后她没有说话。很久。不是那种想词儿的停顿——是那句话已经在嘴边了，但要把它从胸腔里推出来，需要全身的力气。她看着烛火。烛火在她瞳孔里缩成两个很小的金色针尖。窗外雨打在窗格上，很密。一根树枝被风折断，刮过外墙，发出很长的撕裂声。茶杯里的残茶在微微晃动——不知道是风，还是地震。桌面上那道很旧的划痕在烛光里显得更深了，像是有人用指甲刻过。,RestRoom,Unreal_Memory,,,
10380628,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380629,hide,hide,hide,hide,hide,,RestRoom,Unreal_Memory,,,
10380630,hide,hide,hide,hide,hide,她把护在蜡烛两边的手慢慢松开。火没有灭。她把手放在膝盖上，手指蜷了一下，又伸直。然后她抬起头。不是看我。是看着烛火背后的黑暗——那里什么都没有。但她在看。像是在黑暗里看到了另一张脸。,RestRoom,Silent_Night,,,
10380631,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380632,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380633,hide,hide,hide,hide,hide,我杀过人。不是间接的。,RestRoom,Silent_Night,,,
10380634,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380635,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380636,hide,hide,hide,hide,hide,她说这句话的时候声音很轻。但不是因为悔恨。是因为这句话太重了，太重的东西不需要大声说。她把手从蜡烛上移开。火又亮了一些。,RestRoom,Silent_Night,,,
10380637,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380638,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380639,hide,hide,hide,hide,hide,是很多年前的事了。在我来这里之前。那个人——他做的事，我没办法告诉你。但我可以说的是，我当时有两个选择。一个是不杀他，然后更多的人会死。另一个是杀了他。我选了第二个。,RestRoom,Silent_Night,,,
10380640,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380641,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380642,hide,hide,hide,hide,hide,她端起空茶杯。在手里转了一下。杯底对着烛火，杯底的颜色是青色的。像某种有毒的青。,RestRoom,Silent_Night,,,
10380643,hide,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380644,白鹤姬·桂原雪代,hide,hide,hide,hide,,RestRoom,Silent_Night,,,
10380645,hide,hide,hide,hide,hide,然后我来了这里。从女孩变成妈妈桑。从被卖进来变成签别人进来。二十一年。这个俱乐部，这个网络——我就是它的一部分。不是什么卧底。不是什么双面。我是真的。从头到尾。那本账簿是真的。凤凰卡是真的。站在走廊里看你心跳加速——也是真的。,Corridor,Silent_Night,,,
10380646,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380647,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380648,hide,hide,hide,hide,hide,烛芯爆了一下。火星跳到空中，熄在空中。她看着它消失的地方。,Corridor,Silent_Night,,,
10380649,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380650,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380651,hide,hide,hide,hide,hide,你知道我为什么不找别的地方吗。因为别的地方没有这个位置。头牌、代理人、妈妈桑——三个身份叠在一起，给你一个别人碰不到的视野。我在这把椅子上坐了十一年，看过每一个进来的人——有的贪，有的怕，有的傻。每一个我都记在账簿里。今晚把这些说出来——是因为台风。台风天讲的话，第二天可以被风吹走。,Corridor,Silent_Night,,,
10380652,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380653,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380654,hide,hide,hide,hide,hide,她把手放在桌上。手心朝上。空的。,Corridor,Silent_Night,,,
10380655,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380656,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10380657,hide,hide,hide,hide,hide,我没有什么要你带走的。没有秘密任务。没有临终托付。我就是我——你们想象中的那个反派。我只是在台风天想找个人说一下——这个反派是怎么来的。说完就完了。明天你还是经理。我还是白鹤姬。茶还是大麦茶。灯还是那盏灯。但你知道了我十九岁那年照片上的笑是假的——这一点比账簿重要。,Corridor,Mystery_Box,,,
10380658,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10380659,hide,hide,hide,hide,hide,,Corridor,Mystery_Box,,,
10380660,hide,hide,hide,hide,hide,烛火越来越短了。蜡油积了一小摊。外面的风似乎小了一点——台风眼大概快到了。那段短暂的平静，是台风最危险的部分。因为风暴还没过去。它会从另一个方向再回来。,Corridor,Unreal_Memory,,,
10380661,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10380662,白鹤姬·桂原雪代,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
