ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10280301,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280302,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280303,hide,hide,hide,hide,hide,清晨六点。窗外有乌鸦叫。不是神鸦姬养的那只——是野生的，停在电线上，叫声粗哑。榻榻米上放着翻盖手机，屏幕亮着，电量剩一格。,Club_away,Silent_Night,,,
10280304,hide,hide,hide,hide,hide,通讯录翻到第五页才找到一个还能帮忙的人。做二手车行的小林——以前帮佐藤查过几辆车，关系不深，但嘴严。电话响了六声才接。那头有晨间广播的声音，NHK的天气预报。,Club_away,Silent_Night,,,
10280305,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280306,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280307,hide,hide,hide,hide,hide,……帮忙查个车牌。,Club_away,Silent_Night,,,
10280308,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280309,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280310,hide,hide,hide,hide,hide,报了号码。品川300 47-29。小林没问为什么。只是记下来，说下午给消息。挂了电话之后我在榻榻米上坐了很久。窗外乌鸦飞走了，电线上空了一块。,Club_away,Silent_Night,,,
10280311,hide,hide,hide,hide,hide,通讯录往下翻。很多号码已经打不通了。有的人换号了，有的人换城市了，有的人只是不接了。佐藤的号码在最上面——拨了，关机。意料之中。,Club_away,Silent_Night,,,
10280312,hide,hide,hide,hide,hide,手机屏幕暗下去。我把它翻过来，看着背面磨掉漆的商标。,Club_away,Silent_Night,,,
10280313,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280314,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280315,hide,hide,hide,hide,hide,……不多了。,Club_away,Silent_Night,,,
10280316,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280317,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
10280318,hide,hide,hide,hide,hide,说的是还能信任的人。也是时间。,Club_away,Silent_Night,,,
10280319,hide,hide,hide,hide,hide,,Club_away,Silent_Night,,,
