ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
10550501,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550502,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550503,hide,hide,hide,hide,hide,傍晚六点。俱乐部还没营业。休息室里有很淡的清洁剂味道——柠檬味的，和公寓里的洗衣粉是同一个牌子。还有更淡的，化妆间的脂粉味从走廊里飘过来。景子坐在休息室的沙发上。面前放着一个便当盒。不是便利店买的。是自己做的。便当盒是深蓝色的，塑料的，盖子有点旧了——边缘有一道裂纹，但不影响使用。,Corridor,Silent_Night,,,
10550504,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550505,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550506,hide,hide,hide,hide,hide,她把便当盒推到我面前。打开盖子。里面是炸鸡块、玉子烧、西兰花、小番茄。摆得很整齐。不是餐厅那种精致——是母亲那种整齐。每一块鸡块大小差不多，玉子烧切得很均匀。番茄放在角落，形成一个颜色上的句号。,Corridor,Silent_Night,,,
10550507,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550508,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550509,hide,hide,hide,hide,hide,吃吧。明天——明天大概没空吃。,Corridor,Silent_Night,,,
10550510,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550511,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550512,hide,hide,hide,hide,hide,她递过一双筷子。不是一次性的。是木筷子，上面有很淡的清漆光泽。筷子头磨得很圆。大概是用了很久的。她自己也有一双。但没有吃。只是放在膝盖上。她看着我吃。鸡块外酥里嫩，调味很淡——不是没放盐，是放得刚好。刚好能尝到鸡肉本来的味道。,Corridor,Silent_Night,,,
10550513,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550514,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550515,hide,hide,hide,hide,hide,小澪昨天打电话来。她在寄宿学校。说交了一个朋友。叫由美。两个人一起在食堂吃咖喱饭。由美分了她半个布丁。她说——「妈妈，这里挺好的」。,Corridor,Silent_Night,,,
10550516,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550517,hide,hide,hide,hide,hide,,Corridor,Silent_Night,,,
10550518,hide,hide,hide,hide,hide,她停了一下。手指在筷子上一节一节地滑过去。不是紧张——是数。像在数什么。,Corridor,Unreal_Memory,,,
10550519,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550520,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550521,hide,hide,hide,hide,hide,她没哭。她以前每次打电话都哭。这次没哭。我哭了。但没让她听出来。我把话筒拿远了。,Corridor,Unreal_Memory,,,
10550522,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550523,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550524,hide,hide,hide,hide,hide,她抬起头。看着我。眼睛里有泪。但这次——她让泪流下来了。不是崩溃。是允许。允许自己在这一刻不撑。,Corridor,Unreal_Memory,,,
10550525,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550526,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550527,hide,hide,hide,hide,hide,经理。明天之后——我想带小澪去一次游乐场。不是奈良的那个。是大阪的那个。有摩天轮的。她小时候我答应过。一直没兑现。一直说「等妈妈忙完」。忙了十年了。,Corridor,Unreal_Memory,,,
10550528,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550529,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550530,hide,hide,hide,hide,hide,她把便当盒的盖子合上。放在一边。然后站起来。走到我面前。不是那种很正式的距离——是近的。近到能闻到她身上的味道。不是香水。是更淡的——厨房的油烟气，洗衣液的柠檬味，还有母亲特有的那种暖的、安全的味道。,Corridor,Unreal_Memory,,,
10550531,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550532,巢燕姬·谷川景子,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550533,hide,hide,hide,hide,hide,明天。不管发生什么——小澪想见你。她说「妈妈的那个经理——我想见见」。我说好。所以——你明天不能出事。,Corridor,Unreal_Memory,,,
10550534,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550535,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
10550536,hide,hide,hide,hide,hide,她说这句话的时候声音不高。但每一个字都很确定。不是请求。是要求。一个母亲的要求。她转身走了。木筷子放在便当盒上。没带走。,Corridor,Unreal_Memory,,,
10550537,hide,hide,hide,hide,hide,,Corridor,Unreal_Memory,,,
